 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2011-12-31,2011-09-30,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),89378,279551,199944,151857,81900,194384,130154,78695,28577,95088,69456,27660,14419,53404,50522,32399,9167,33837,41816,23125,10656,41460,29167,49660,34314,39407,23640,20257, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 收到的税费返还(万元),43,83,67,12,--,77,25,1045,6,--,281,45,--,35,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),2885,6310,3729,2413,1741,3966,3611,3202,5531,1352,1091,583,226,276,2561,624,930,5079,8524,6455,3152,334,-1700,3265,1745,21,7,3, 
 经营活动现金流入小计(万元),92306,285943,203739,154282,83640,198427,133790,82943,34113,96440,70828,28287,14645,53715,53083,33023,10097,38917,50340,29580,13808,41794,27467,52925,36060,39427,23647,20259, 
 购买商品、接受劳务支付的现金(万元),64193,198481,139529,98237,51364,173546,112696,63960,24173,80106,46679,20295,9335,64264,52085,36282,8425,23299,35403,20529,7710,40971,28554,46275,31821,31318,22930,18306, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),5368,14406,10088,6436,3699,11878,7155,3706,1293,4287,2552,1359,778,2621,1560,1103,176,1362,1040,516,288,741,549,482,338,325,144,87, 
 支付的各项税费(万元),6515,16789,16022,14398,3055,11518,10702,9023,1493,3409,2933,1896,963,2354,3116,2407,62,2376,403,835,679,2524,1532,1821,1158,1053,538,183, 
 支付的其他与经营活动有关的现金(万元),3488,9993,6749,4959,3233,6388,4443,3391,3614,3659,5422,2453,1054,3047,3062,2318,837,4447,7105,5385,3842,3422,656,763,494,4365,920,983, 
 经营活动现金流出小计(万元),79564,239668,172388,124030,61351,203330,134996,80081,30573,91462,57587,26003,12130,72285,59823,42110,9499,31484,43951,27264,12519,47659,31291,49341,33811,37062,24533,19560, 
 经营活动产生的现金流量净额(万元),12742,46275,31351,30252,22289,-4903,-1206,2862,3540,4978,13241,2284,2515,-18571,-6740,-9087,598,7432,6389,2315,1289,-5865,-3824,3585,2249,2365,-886,699, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,3800,3810,3810,--,--,--,--,0,--,--,--,--,2250,1600,--, 
 取得投资收益所收到的现金(万元),--,100,100,100,100,49,--,--,--,212,124,100,--,--,--,--,--,--,--,--,0,--,--,--,--,1,11,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,117,54,53,--,0,0,0,0,1,1,--,--,--,--,--,--,--,--,--,0,--,--,26,19,--,--,7, 
 处置子公司及其他营业单位收到的现金净额(万元),--,5493,5079,4129,--,6834,2933,933,1000,3109,500,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,3915,600,--,101,100,--,--,171,181,551,1158,--,2622,--,--,0,--,--,2625,574,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,5710,5233,4282,100,10798,3533,933,1101,3421,625,100,171,3981,4361,4968,0,2622,0,0,0,0,0,2650,592,2251,1611,7, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),208,1570,1171,516,325,1200,235,169,603,3053,1631,1194,447,8846,8432,5990,2802,16688,13964,7723,4706,5901,1165,2273,2261,3056,113,232, 
 投资所支付的现金(万元),6730,4806,4814,4900,4900,3238,--,--,--,250,250,250,--,1770,680,--,--,3800,--,--,0,--,--,--,--,2250,300,1300, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,47898,--,--,--,88250,88253,88253,-2134,27309,28219,-4838,--,--,--,--,--,2000,--,--,0,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,67,--,--,--,4112,1890,1600,--,--,228,228,--,--,1000,1000,--,1949,--,--,0,--,--,25,25,575,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),6938,54341,5985,5416,5225,96800,90378,90022,-1531,30612,30328,-3166,447,10616,10112,6990,2802,24438,13964,7723,4706,5901,1165,2298,2286,5881,413,1532, 
 投资活动产生的现金流量净额(万元),-6938,-48631,-751,-1134,-5125,-86002,-86845,-89089,2631,-27190,-29703,3266,-275,-6635,-5751,-2022,-2802,-21815,-13964,-7723,-4706,-5901,-1165,352,-1694,-3630,1199,-1525, 
 吸收投资收到的现金(万元),--,190,1,--,--,121300,121284,121284,--,33000,32790,500,500,1638,1924,1924,--,--,980,980,980,25041,25041,--,--,2136,--,950, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,142,1,--,--,16,--,--,--,500,--,--,--,1638,--,--,--,--,--,--,980,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),12556,18500,6000,2000,--,11000,4000,4000,2000,21000,14801,12401,8321,26354,24052,15752,7626,6695,6453,2131,1695,1000,1000,2000,2000,4000,--,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,12407,--,--,--,2120,--,--,--,6053,2989,1301,--,13477,5790,1000,--,900,--,--,0,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),12556,31097,6001,2000,0,134420,125284,125284,2000,60053,50580,14203,8821,41469,31766,18676,7626,7595,7433,3111,2675,26041,26041,2000,2000,6136,0,950, 
 偿还债务支付的现金(万元),12556,14500,5000,5000,2000,19048,9600,8600,3200,31428,22143,14178,9785,15290,14689,4210,6500,1695,4953,418,0,1800,1800,3200,2000,2000,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),158,6332,6190,6101,112,3809,3664,3528,191,1619,1213,949,283,2957,2161,1892,98,1689,1620,1600,1600,22,24,94,77,137,293,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),8000,548,--,--,--,1422,197,162,122,620,33,--,--,1062,3006,2156,--,--,--,--,0,--,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),20714,21380,11190,11101,2112,24280,13460,12289,3512,33667,23389,15128,10068,19308,19856,8258,6598,3384,6573,2018,1600,1822,1824,3294,2077,2137,293,0, 
 筹资活动产生的现金流量净额(万元),-8158,9717,-5189,-9101,-2112,110141,111824,112994,-1512,26386,27192,-925,-1246,22161,11909,10418,1027,4211,860,1094,1075,24218,24217,-1294,-77,3999,-293,950, 
 汇率变动对现金及现金等价物的影响(万元),-0,-62,2,2,0,29,1,1,--,1,-1,-1,--,11,-3,-3,--,-38,--,--,-4,-10,-8,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-2355,7300,25413,20018,15052,19264,23773,26768,4658,4174,10728,4625,993,-3034,-585,-694,-1177,-10211,-6715,-4314,-2346,12442,19221,2643,477,2734,20,124, 
 加:期初现金及现金等价物余额(万元),34701,27391,27391,27391,27391,8126,8126,8126,8126,3952,3952,3952,5976,6986,6986,6986,10355,18014,18029,18014,18014,5572,5572,2929,2929,194,174,50, 
 期末现金及现金等价物余额(万元),32346,34691,52804,47409,42443,27391,31899,34895,12785,8126,14680,8577,6969,3952,6401,6291,9178,7803,11314,13699,15667,18014,24792,5572,3406,2929,194,174, 
 净利润(万元),--,39293,--,13041,--,19857,--,8449,--,2743,--,377,--,1172,--,1013,--,5956,--,--,--,5442,--,5090,3365,3253,1409,342, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,-2483,--,-1748,--,4689,--,1481,--,-94,--,197,--,815,--,359,--,194,--,--,--,360,--,-17,-13,17,73,16, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,1637,--,794,--,2528,--,899,--,2429,--,1063,--,962,--,286,--,156,--,--,--,122,--,103,76,81,70,36, 
 无形资产摊销(万元),--,174,--,87,--,295,--,128,--,276,--,126,--,290,--,134,--,104,--,--,--,90,--,72,50,--,--,--, 
 长期待摊费用摊销(万元),--,152,--,51,--,90,--,45,--,13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,369,--,3,--,-172,--,-13,--,-3,--,--,--,1,--,6,--,--,--,--,--,--,--,--,0,--,17,5, 
 固定资产报废损失(万元),--,--,--,--,--,63,--,--,--,--,--,--,--,6,--,--,--,--,--,--,--,--,--,--,0,--,--,0, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,2,-2, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,423,--,206,--,665,--,-36,--,1159,--,451,--,1004,--,252,--,98,--,--,--,21,--,92,77,73,--,0, 
 投资损失(万元),--,--,--,--,--,-1411,--,--,--,-133,--,-100,--,-0,--,-4,--,-5,--,--,--,--,--,--,0,-1,-11,0, 
 递延所得税资产减少(万元),--,-282,--,-132,--,82,--,-527,--,-114,--,-10,--,-119,--,-59,--,-42,--,--,--,-54,--,2,2,-3,-3,-4, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,-0,0, 
 存货的减少(万元),--,-1446,--,-2078,--,287,--,368,--,-1092,--,-1368,--,2371,--,-2310,--,-229,--,--,--,-1447,--,514,489,-1396,-1861,-303, 
 经营性应收项目的减少(万元),--,-6309,--,36381,--,-45887,--,-29150,--,4701,--,-4096,--,-20958,--,-2208,--,1174,--,--,--,-9808,--,-118,-1342,-4646,-1612,210, 
 经营性应付项目的增加(万元),--,14747,--,-16370,--,14335,--,21217,--,-4608,--,5792,--,-3821,--,-6512,--,117,--,--,--,-591,--,-2154,-456,4986,1032,398, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,18,--,-323,--,--,--,-300,--,-147,--,-295,--,-45,--,-90,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,46275,--,30252,--,-4903,--,2862,--,4978,--,2284,--,-18571,--,-9087,--,7432,--,--,--,-5865,--,3585,2249,2365,-886,699, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),32346,34691,52804,47409,42443,27391,31899,34895,12785,8126,14680,8577,6969,3952,6401,6291,9178,7803,11314,13699,15667,18014,24792,5572,3406,2929,194,174, 
 现金的期初余额(万元),34701,27391,27391,--,27391,8126,8126,8126,8126,3952,3952,3952,5976,6986,6986,6986,10355,18014,18029,18014,18014,5572,5572,2929,2929,194,174,50, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,27391,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-2355,7300,25413,20018,15052,19264,23773,26768,4658,4174,10728,4625,993,-3034,-585,-694,-1177,-10211,-6715,-4314,-2346,12442,19221,2643,477,2734,20,124, 

