 报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),24638,65377,33615,23236,8973,19991,9844,2897,281,15963,12555,6674,6702,7455,7182,6286,1609,44997,32654,13540,4000,41043,29941,20566,6432,22094,22181, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),337,648,266,119,--,226,--,--,--,--,--,--,--,--,0,0,0,21,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),119,1988,1688,1657,589,1476,1177,828,316,1086,477,633,230,1165,1479,1220,327,606,1530,1147,656,972,768,337,129,295,296, 
 经营活动现金流入小计(万元),25094,68012,35569,25012,9562,21693,11021,3725,597,17048,13032,7307,6932,8620,8661,7507,1936,45624,34184,14687,4657,42014,30709,20902,6561,22389,22477, 
 购买商品、接受劳务支付的现金(万元),13729,25706,18066,11516,5014,7973,6561,4231,1442,3680,3388,1922,731,8369,13315,11494,1562,16541,8801,6118,4743,17299,16419,8938,3171,9761,8707, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),2561,7260,4853,2852,867,2318,1512,1075,548,2026,1010,1007,484,2413,1742,1230,791,2273,1635,1114,564,2181,1524,1077,905,1521,1461, 
 支付的各项税费(万元),1960,3894,3070,1425,246,5803,4454,3395,1260,5310,2039,2039,861,5099,4097,3119,1030,3420,2782,2042,1057,3185,2815,1289,880,2748,2873, 
 支付的其他与经营活动有关的现金(万元),1581,3032,2390,1498,483,3137,1635,1125,341,2174,1275,593,269,1778,992,778,329,1763,3530,1022,417,1940,1105,805,574,996,1009, 
 经营活动现金流出小计(万元),19831,39892,28379,17292,6609,19231,14162,9826,3592,13190,7713,5562,2346,17659,20147,16621,3712,23996,16749,10296,6780,24606,21864,12109,5530,15026,14051, 
 经营活动产生的现金流量净额(万元),5263,28121,7190,7720,2953,2462,-3140,-6101,-2995,3858,5319,1745,4586,-9038,-11486,-9115,-1776,21628,17435,4390,-2123,17408,8845,8794,1031,7363,8427, 
 收回投资所收到的现金(万元),--,1912,655,598,--,1531,75000,--,--,142,25077,77,--,36309,34709,15069,8900,37605,5010,5045,5010,--,14000,--,--,--,13041, 
 取得投资收益所收到的现金(万元),158,--,--,--,--,--,575,--,--,--,--,--,--,--,985,--,--,--,35,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,10,10,1,--,90,90,90,--,6,--,--,--,1,--,--,--,9,--,--,--,11,4,4,1,5,13, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),158,1922,664,599,0,1621,75665,90,0,148,25077,77,0,36310,35694,15069,8900,37614,5045,5045,5010,11,14004,4,1,5,13053, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),2045,1792,927,508,341,10578,932,895,370,11714,11119,11119,10648,3383,1092,855,125,9232,8289,6569,2258,11960,8536,6497,5128,1635,1221, 
 投资所支付的现金(万元),50418,480,480,480,60380,5,120000,60000,--,1507,25000,--,--,20004,20010,20010,9400,67000,--,--,--,5010,14600,14000,--,--,11000, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,7456,7273,7273,13762,--,--,--,--,4400,5400,5400,--,2000,--,--,--,360,360,--,--,600,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),16,381,489,324,57,650,286,--,--,--,--,--,--,--,--,--,--,--,7,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),52479,10108,9169,8585,74540,11233,121217,60895,370,17621,41519,16519,10648,25387,21102,20865,9525,76592,8657,6569,2258,17570,23136,20497,5128,1635,12221, 
 投资活动产生的现金流量净额(万元),-52322,-8186,-8505,-7986,-74540,-9612,-45552,-60805,-370,-17473,-16442,-16442,-10648,10923,14592,-5797,-625,-38979,-3612,-1524,2752,-17559,-9132,-20493,-5128,-1630,832, 
 吸收投资收到的现金(万元),--,1750,1750,--,--,73436,73436,73436,--,2000,2000,2000,2000,--,--,--,--,37900,37900,--,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,1750,1750,--,--,--,--,--,--,2000,2000,2000,2000,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,10000,10000,5000,5000,--,--,--,--,5000,500,500,--,29700,29700,10700,2000,5000,5000,5000,500,--,--,--,--,--,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,1555,1555,--,--,--,--,--,--,--,--,--,--,--,2047,--,--,556,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),0,13305,13305,5000,5000,73436,73436,73436,0,7000,2500,2500,2000,29700,31747,10700,2000,43456,42900,5000,500,0,0,0,0,0,0, 
 偿还债务支付的现金(万元),3500,19500,18000,2000,2000,6000,1500,500,500,500,500,500,--,15200,5000,5000,--,--,--,--,--,--,--,--,--,--,1500, 
 分配股利、利润或偿付利息所支付的现金(万元),104,5816,5709,5464,220,5520,5145,5016,277,3941,3270,3265,233,6031,5134,4992,104,2247,2161,2075,--,800,800,800,800,800,836, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,3962,3964,3964,669,258,208,204,--,29,--,--,--,250,500,--,--,517,471,--,--,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),3604,29278,27673,11429,2889,11778,6853,5720,777,4469,3770,3765,233,21481,10634,9992,104,2764,2632,2075,0,800,800,800,800,800,2336, 
 筹资活动产生的现金流量净额(万元),-3604,-15973,-14368,-6429,2111,61657,66583,67715,-777,2531,-1270,-1265,1767,8219,21113,708,1896,40692,40268,2925,500,-800,-800,-800,-800,-800,-2336, 
 汇率变动对现金及现金等价物的影响(万元),-240,-133,346,-332,-0,-0,-0,-0,--,-0,-0,-0,--,-1,-1,-1,-0,-0,0,0,--,0,-0,-0,--,0,-0, 
 现金及现金等价物净增加额(万元),-50903,3829,-15337,-7027,-69476,54507,17890,809,-4142,-11083,-12394,-15962,-4294,10103,24218,-14204,-505,23341,54092,5791,1128,-951,-1087,-12500,-4897,4933,6923, 
 加:期初现金及现金等价物余额(万元),99605,95776,95776,95776,95776,41269,41269,41269,41269,52352,52352,52352,52819,42249,46192,46192,46192,18909,18909,18909,18909,19859,19859,19859,19859,14927,8004, 
 期末现金及现金等价物余额(万元),48702,99605,80439,88749,26300,95776,59159,42078,37127,41269,39959,36391,48525,52352,70411,31988,45687,42249,73000,24700,20037,18909,18772,7360,14963,19859,14927, 
 净利润(万元),--,11455,--,8397,--,9029,--,5626,--,8177,--,5344,--,11508,--,6435,--,10881,--,--,--,8002,--,--,--,6725,5761, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,2652,--,371,--,-99,--,353,--,332,--,250,--,384,--,59,--,235,--,--,--,-71,--,--,--,73,46, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,1676,--,804,--,1295,--,626,--,1215,--,596,--,1091,--,509,--,884,--,--,--,543,--,--,--,372,337, 
 无形资产摊销(万元),--,853,--,292,--,127,--,62,--,120,--,60,--,107,--,50,--,39,--,--,--,25,--,--,--,22,15, 
 长期待摊费用摊销(万元),--,6,--,12,--,61,--,49,--,304,--,175,--,446,--,234,--,427,--,--,--,180,--,--,--,54,42, 
