 报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),12756,10703,25231,16022,12418,5456,11493,7165,5940,1840,11635,8699,5075,2601,16852,9391,5803,2953,12408,11682,10425, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),917,407,744,412,359,--,261,342,91,0,765,467,194,55,115,63,49,49,146,242,--, 
 收到的其他与经营活动有关的现金(万元),212,659,460,206,158,26,304,179,93,42,517,311,260,15,198,147,117,17,180,179,533, 
 经营活动现金流入小计(万元),13885,11769,26436,16641,12935,5482,12058,7685,6124,1883,12917,9477,5529,2672,17165,9601,5969,3019,12734,12103,10957, 
 购买商品、接受劳务支付的现金(万元),5867,4600,12736,8428,6021,2702,7715,6804,4100,2141,8914,8518,4839,4109,7563,5666,3967,1657,6030,5423,5682, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),5672,3235,6200,4539,3024,1561,4517,3317,2265,1243,4069,3072,2093,1173,3340,2470,1632,918,2483,1818,1112, 
 支付的各项税费(万元),3299,1914,3057,2540,1682,1169,2211,1627,1501,1082,1342,1180,858,691,2335,1720,911,781,2270,1530,1826, 
 支付的其他与经营活动有关的现金(万元),2392,1651,2842,1525,863,345,2154,1608,832,363,2007,1280,1185,638,1380,1078,804,525,908,977,862, 
 经营活动现金流出小计(万元),17229,11400,24835,17032,11591,5776,16597,13357,8697,4829,16332,14051,8975,6611,14617,10934,7313,3882,11691,9748,9481, 
 经营活动产生的现金流量净额(万元),-3344,369,1601,-391,1344,-294,-4538,-5671,-2573,-2946,-3415,-4575,-3445,-3939,2548,-1332,-1343,-862,1044,2355,1476, 
 收回投资所收到的现金(万元),--,28,--,--,--,--,--,6065,6065,6065,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),35,--,--,--,--,--,105,32,32,32,--,32,--,--,11,--,--,3,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1,--,4,4,4,--,2,--,--,--,2,1,--,--,0,0,0,--,4,5,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),3992,2420,1347,--,--,--,6777,--,--,--,--,--,--,--,--,--,--,--,--,744,841, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),4027,2448,1351,4,4,0,6884,6096,6096,6096,2,33,0,0,12,0,0,3,4,749,841, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),490,145,2361,1904,1580,1168,10191,5155,4120,246,2594,1322,240,42,190,538,139,23,485,3238,3733, 
 投资所支付的现金(万元),35233,10234,550,550,550,450,--,150,150,150,--,--,--,--,--,--,--,--,--,--,--, 
