 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),12507,7507,4359,20669,14996,9083,4277,11092,6053,6003,6824,4459, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),623,105,--,1095,568,225,--,713,229,266,301,232, 
 收到的其他与经营活动有关的现金(万元),1222,1258,106,705,422,274,151,226,11,201,201,135, 
 经营活动现金流入小计(万元),14352,8870,4466,22469,15986,9581,4427,12030,6294,6470,7326,4826, 
 购买商品、接受劳务支付的现金(万元),8589,5743,2707,8767,7026,3752,2647,2947,2465,3060,2830,2239, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),6118,3979,2300,5106,4009,2441,1407,3384,1440,2503,1381,868, 
 支付的各项税费(万元),2871,1507,1025,2108,1481,877,510,1858,816,965,968,532, 
 支付的其他与经营活动有关的现金(万元),2223,1699,177,2797,943,887,142,1920,1305,1041,839,634, 
 经营活动现金流出小计(万元),19801,12927,6209,18779,13458,7957,4706,10110,6027,7569,6017,4273, 
 经营活动产生的现金流量净额(万元),-5449,-4058,-1743,3690,2528,1624,-278,1921,267,-1099,1309,553, 
 收回投资所收到的现金(万元),12000,0,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),110,0,--,--,--,--,--,--,--,8,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,0,--,0,--,0,0,1,0,0,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),12110,0,0,0,0,0,0,1,0,8,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),3222,590,299,3163,2598,2036,867,1225,463,5193,223,384, 
 投资所支付的现金(万元),16000,12000,--,213,213,213,213,113,--,56,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),19222,12590,299,3376,2811,2249,1080,1338,463,5248,223,384, 
 投资活动产生的现金流量净额(万元),-7112,-12590,-299,-3376,-2811,-2249,-1079,-1338,-463,-5240,-223,-384, 
 吸收投资收到的现金(万元),24578,24578,--,117,68,68,68,3503,3503,4099,297,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,24578,--,117,68,68,68,--,--,--,18,--, 
 取得借款收到的现金(万元),1810,1810,1350,789,789,789,200,1067,1067,1800,--,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,0,--,--,--,--,--,--,--,1959,--,30, 
 筹资活动现金流入小计(万元),26388,26388,1350,906,857,857,268,4570,4570,7858,297,30, 
 偿还债务支付的现金(万元),2599,2599,789,567,567,567,265,2300,--,--,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),350,350,339,503,331,323,11,301,90,248,--,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),1029,817,--,--,--,--,--,--,--,1959,--,30, 
 筹资活动现金流出小计(万元),3979,3766,1128,1070,898,889,276,2601,90,2207,0,30, 
 筹资活动产生的现金流量净额(万元),22409,22622,222,-164,-41,-33,-8,1969,4479,5651,297,0, 
 汇率变动对现金及现金等价物的影响(万元),-1,-1,-0,1,1,1,-0,2,1,-1,-14,1, 
 现金及现金等价物净增加额(万元),9848,5974,-1821,150,-324,-658,-1366,2554,4285,-690,1369,170, 
 加:期初现金及现金等价物余额(万元),3980,3980,3980,3830,3830,3830,3830,1276,1276,1966,596,426, 
 期末现金及现金等价物余额(万元),13828,9954,2160,3980,3506,3172,2464,3830,5561,1276,1966,596, 
 净利润(万元),--,2026,--,5032,--,1339,--,2976,--,1863,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,242,--,722,--,187,--,309,--,108,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,207,--,267,--,90,--,108,--,105,--,--, 
 无形资产摊销(万元),--,43,--,69,--,33,--,63,--,28,--,--, 
 长期待摊费用摊销(万元),--,11,--,71,--,60,--,60,--,65,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,0,--,1,--,0,--,1,--,1,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,-13,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,46,--,35,--,17,--,133,--,55,--,--, 
 投资损失(万元),--,7,--,-1,--,-3,--,2,--,-8,--,--, 
 递延所得税资产减少(万元),--,-17,--,-129,--,-54,--,-95,--,-76,--,--, 
 递延所得税负债增加(万元),--,2,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,-227,--,-4102,--,-2318,--,-2433,--,-2333,--,--, 
 经营性应收项目的减少(万元),--,-3177,--,-5190,--,-2188,--,-3076,--,-2272,--,--, 
 经营性应付项目的增加(万元),--,-3207,--,6917,--,4460,--,3873,--,1363,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,-4058,--,3690,--,1624,--,1921,--,-1099,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),13828,9954,2160,3980,3506,3172,2464,3830,5561,1276,1966,596, 
 现金的期初余额(万元),3980,3980,3980,3830,3830,3830,3830,1276,1276,1966,596,426, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),9848,5974,-1821,150,-324,-658,-1366,2554,4285,-690,1369,170, 

