 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),20149,12251,6669,26612,18856,12231,6152,25988,25387,23062, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,30,19,--,--,17,15,38, 
 收到的其他与经营活动有关的现金(万元),223,119,38,485,260,199,95,245,316,256, 
 经营活动现金流入小计(万元),20371,12370,6707,27127,19135,12429,6247,26250,25717,23356, 
 购买商品、接受劳务支付的现金(万元),10087,5574,2363,12970,9773,6103,2278,15923,17610,17327, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3624,2459,1446,4619,3199,2331,1390,3180,2501,2094, 
 支付的各项税费(万元),1982,1277,520,2565,1702,962,475,2558,1925,1371, 
 支付的其他与经营活动有关的现金(万元),1177,794,255,2121,1704,882,360,1127,1217,1125, 
 经营活动现金流出小计(万元),16870,10104,4584,22275,16378,10278,4504,22787,23253,21917, 
 经营活动产生的现金流量净额(万元),3501,2266,2123,4852,2757,2151,1744,3464,2465,1439, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),16,11,11,7,7,7,--,8,6,10, 
