 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),124810,81256,133366,93348,62487,88403,65744,51874, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,141,--,175, 
 收到的其他与经营活动有关的现金(万元),1514,942,879,565,169,363,237,124, 
 经营活动现金流入小计(万元),126324,82198,134245,93914,62656,88907,65980,52173, 
 购买商品、接受劳务支付的现金(万元),37463,21124,46382,25416,19926,32406,21488,22430, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),27147,18254,35344,22919,13992,22807,14716,9406, 
 支付的各项税费(万元),14404,9739,18794,13074,7754,11711,9483,4197, 
 支付的其他与经营活动有关的现金(万元),5565,3728,5752,3925,2346,4688,4031,3748, 
 经营活动现金流出小计(万元),84581,52845,106272,65334,44019,71612,49718,39781, 
 经营活动产生的现金流量净额(万元),41743,29353,27973,28579,18637,17296,16262,12392, 
 收回投资所收到的现金(万元),77463,37933,25416,16403,12569,44078,--,3000, 
 取得投资收益所收到的现金(万元),380,171,265,143,85,210,--,40, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),365,3,25,888,8,149,8,2, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),78209,38107,25707,17434,12662,44437,8,3042, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),6863,2752,14518,13365,9007,9518,12225,5838, 
 投资所支付的现金(万元),104589,54539,23688,20741,19761,44530,2850,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),111452,57291,38206,34106,28768,54048,15075,5838, 
 投资活动产生的现金流量净额(万元),-33244,-19184,-12499,-16672,-16106,-9611,-15068,-2797, 
 吸收投资收到的现金(万元),185967,--,--,--,--,9262,245,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,392,245,--, 
 取得借款收到的现金(万元),1020,766,4696,--,--,--,2000,2000, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,340,340,--,500,--,500, 
 筹资活动现金流入小计(万元),186987,766,5036,340,0,9762,2245,2500, 
 偿还债务支付的现金(万元),5439,4673,4023,1800,1200,--,--,1920, 
 分配股利、利润或偿付利息所支付的现金(万元),12035,34,6978,6807,103,10289,6042,4700, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),940,157,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),18414,4864,11000,8607,1303,10289,6042,6620, 
 筹资活动产生的现金流量净额(万元),168573,-4098,-5965,-8267,-1303,-527,-3797,-4120, 
 汇率变动对现金及现金等价物的影响(万元),-711,-334,440,-100,324,402,-62,-123, 
 现金及现金等价物净增加额(万元),176362,5738,9949,3541,1551,7560,-2665,5353, 
 加:期初现金及现金等价物余额(万元),25344,25344,15395,15395,15395,7835,10500,5146, 
 期末现金及现金等价物余额(万元),201706,31082,25344,18936,16946,15395,7835,10500, 
 净利润(万元),--,18588,35897,--,16522,22584,20756,15501, 
 少数股东损益(万元),--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,-490,3215,--,251,555,403,27, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,1720,2983,--,1371,1891,1291,--, 
 无形资产摊销(万元),--,105,176,--,74,95,76,--, 
 长期待摊费用摊销(万元),--,131,199,--,72,110,24,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-1,229,--,41,26,10,920, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--, 
 财务费用(万元),--,525,-682,--,-56,-404,81,--, 
 投资损失(万元),--,-171,-265,--,-85,-210,--,--, 
 递延所得税资产减少(万元),--,0,-646,--,-78,-88,-39,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,313,-2751,--,-21,-3525,-2720,-1127, 
 经营性应收项目的减少(万元),--,9446,-15556,--,156,-10698,-6752,3525, 
 经营性应付项目的增加(万元),--,-764,5260,--,411,7021,3176,-6534, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--, 
 其他(万元),--,-47,-85,--,-22,-60,-43,80, 
 经营活动产生现金流量净额(万元),--,29353,27973,--,18637,17296,16262,12392, 
 债务转为资本(万元),--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),201706,31082,25344,18936,16946,15395,7835,10500, 
 现金的期初余额(万元),25344,25344,15395,15395,15395,7835,10500,5146, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),176362,5738,9949,3541,1551,7560,-2665,5353, 

