 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2005-06-30, 
 销售商品、提供劳务收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,0,0,--,0,0,0,--,0,--,--,--,0,--,0,--,--, 
 客户存款和同业存放款项净增加额(万元),12601400,--,--,--,--,73722200,50500600,41659600,20242200,37016100,32580800,21305000,0,59131900,44858900,24560900,2230800,2911700,13820800,14829400,8837400,75441600,39995200,28041200,13727400,29950600,20540900,22217800,15476300,34082700,29052200,17655000,4212600,36037900,36634400,32581200,12925900,15551400,13057628,11998889,9749668,11131421,14436842,7517034,0,11647601,53540700,4789016,30307936, 
 向中央银行借款净增加额(万元,1194500,1973500,1223100,903000,399400,25296100,15796200,15292600,5744400,1173200,--,--,5593400,5034000,22500,9000,--,7400,--,8008600,--,--,--,--,--,--,--,0,--,--,0,--,0,0,0,--,0,0,0,--,0,--,--,--,0,--,0,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,--,0,--,--,--,0,--,0,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,--,0,--,--,--,0,--,0,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,--,0,--,--,--,0,--,0,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,--,0,--,--,--,0,--,0,--,--, 
 处置交易性金融资产净增加额(万元),--,1504800,--,2466000,--,6141000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,0,0,--,0,0,0,--,0,--,--,--,0,--,0,--,--, 
 收取利息、手续费及佣金的现金(万元),5438200,20948500,15627100,10190100,5141300,20173800,15529000,10496800,5276000,22258100,16618900,10976800,5454300,21968200,16260300,10704400,5289400,20058700,15000900,10039100,4885900,16185300,12019600,7878100,3969300,12577400,8942800,5717600,2460300,7339900,5262100,3300500,1442800,5289000,3852400,2416100,1103800,5758700,4644957,2985391,1349650,4111238,2956241,1782066,886628,2814464,2095728,1400907,976037, 
 拆入资金净增加额(万元),--,7706500,9019100,12001200,14725900,3000200,5854100,4746200,2460700,2734700,--,--,--,1384400,1084700,839400,--,--,--,--,--,2496100,1498100,--,--,547500,3528300,2493800,--,--,0,--,2814300,0,0,--,0,0,0,1335067,0,3502244,3039826,1225722,0,1028774,0,456065,--, 
 回购业务资金净增加额(万元),--,--,2986900,--,--,6393300,10105000,2931800,--,--,--,1923200,0,1871700,--,1436200,417900,--,--,--,--,7946800,5738300,--,142500,2992100,750200,4469800,--,--,0,--,0,0,0,--,0,0,0,--,0,--,--,--,0,--,0,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,0,0,--,0,0,0,--,0,--,--,--,0,--,0,--,--, 
 收到的其他与经营活动有关的现金(万元),2650400,5166100,5850800,2641800,3142900,11938200,2570000,3721100,956600,2272100,1655200,1281600,1785600,2729300,2084400,1944500,1071900,2161800,4705400,4227300,2344900,7315800,5761600,3578300,1587700,3634800,1808700,2395900,907800,1353100,1929100,1148700,173800,1280100,123700,125000,182300,189900,81296,63156,192867,69785,27194,79541,6286,36354,64400,107052,11102, 
 经营活动现金流入小计(万元),27578300,58249400,56609500,44756600,36154300,193868700,158006700,115595900,44990700,76271700,71526700,46159500,29658600,92119500,64310800,40128100,18400200,42082000,42564200,38453100,18456600,109385600,65012800,39497600,19426900,49702400,36326900,37294900,18844400,42775700,36243400,22104200,8643500,42607000,40610500,35122300,14212000,21500000,17783880,16406143,11305993,18814688,20460102,10604362,892914,15527194,63572794,6753040,35856048, 
 购买商品、接受劳务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,2214100,--,0,0,1313700,--,0,0,0,--,0,--,--,--,0,--,0,--,--, 
 客户贷款及垫款净增加额(万元),11232300,36516900,33560400,25409900,15582900,43995200,42160800,24071900,17097900,25928800,18475500,14803000,7737300,26118400,19166200,13347300,6560300,20217300,16184800,10387700,5286000,18262400,14156800,9860600,4251500,14851100,12192500,8485700,3053500,17536500,10970400,7203900,5350500,22596400,23633400,24654400,5920700,10472900,7648999,5712067,2788254,8366304,8440261,6979736,2691368,7453821,13166025,4833966,7131872, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,14277100,13636100,7093100,2533200,--,3967400,5755800,--,2676600,1788700,920700,--,141400,--,--,--,11068600,8733300,7512900,5566900,7865800,12001500,9270800,1763800,9258600,8003600,3702700,1356300,4006900,3077100,2088400,2034800,490900,2490440,3016981,1121693,3406633,2469288,1739359,108892,1907753,916637,385821,426359, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,--,0,--,--,--,0,--,0,--,--, 
 支付利息、手续费及佣金的现金(万元),3427100,12557200,9029100,5981800,2770700,9950400,7261000,4652300,2150500,10553900,7982400,5196300,2532200,10017200,7147800,4598300,2361400,9356600,6846000,4147200,1799300,6690400,4607900,2907300,1223700,4675100,2784100,1836800,663400,2165200,1492000,945600,410100,2134300,1596100,1008700,467600,2273200,1699835,1096408,471767,1461048,1083899,620153,343954,1032830,1006206,625344,476451, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,--,0,--,--,--,0,--,0,--,--, 
 支付给职工以及为职工支付的现金(万元),666500,2358800,1633700,1099300,589200,2411500,1577700,1053500,605100,2293000,1469300,945100,499400,2211300,1451700,919200,514400,1917400,1228400,784600,401600,1647500,1051500,632500,294200,1346700,819300,495200,256100,964900,487200,346900,186900,810800,478800,289300,148500,806000,429233,275006,159037,608198,321088,177434,85863,321657,191403,131926,104573, 
 支付的各项税费(万元),554800,2207900,1678900,1208800,384000,2548700,2043600,1638800,519800,2568900,2165100,1558800,607000,2436500,1952100,1249000,654100,2430100,1904800,1422900,635600,2414900,2022500,1496500,576400,1538200,1222600,839400,449300,906000,766200,616800,383300,502500,443800,351300,95400,631200,497279,325625,167980,443318,393430,213020,100644,317814,220990,139400,97827, 
 支付的其他与经营活动有关的现金(万元),6357400,1229000,3520400,4133200,2366300,11659300,5774600,4230000,2980000,4024700,1966500,1566600,2202200,5883900,5211500,3405000,1618000,3500200,5128300,4393700,2096100,9235500,6592500,4392200,2330000,6394700,1475800,2412700,1280800,2665400,1680800,1178300,457200,2188000,734600,695600,209500,1193300,713498,159700,247754,625580,203600,197127,5594,384275,257883,204516,142007, 
 经营活动现金流出小计(万元),39839000,83955300,93384700,81557900,40543900,90983200,72453800,42739600,27327900,53759600,59282200,38451200,23135900,69203200,55360400,29673700,13050500,45605800,40992100,41662500,16214400,111374500,69846100,46193000,23740800,39609800,37635200,40222400,11766600,39033500,31513700,15857500,8144300,36915300,40485600,39288900,18420800,16179800,18418504,14598779,11951387,19985871,20080169,11900710,4514107,11418151,62433344,7171538,32427674, 
 经营活动产生的现金流量净额(万元),-12260700,-25705900,-36775200,-36801300,-4389600,102885500,85552900,72856300,17662800,22512100,12244500,7708300,6522700,22916300,8950400,10454400,5349700,-3523800,1572100,-3209400,2242200,-1988900,-4833300,-6695400,-4313900,10092600,-1308300,-2927500,7077800,3742200,4729700,6246700,499200,5691700,124900,-4166600,-4208800,5320200,-634624,1807364,-645394,-1171183,379933,-1296348,-3621193,4109043,1139449,-418498,3428375, 
 收回投资所收到的现金(万元),30588100,237373900,217306900,133818300,35009200,142749700,101394800,67548600,36171000,63121400,40660500,22383300,8459200,30639800,24268600,13712800,5449400,21273900,10415600,7297700,3885100,13542900,11829600,8598000,3107600,10797400,8893100,6219900,3776500,12682200,9896100,5709700,2289900,10233900,8711600,5672700,1438000,11519200,5395995,3373318,3691542,4928881,30252819,1127425,1220529,3132563,5035949,1746860,2086283, 
 取得投资收益所收到的现金(万元),1051600,7994100,6356000,3889000,1466400,4016600,2929600,1824000,896500,3052800,2216700,1501900,832400,1733400,1082300,612900,292200,1067100,648000,292400,121700,630600,397900,387800,121100,591100,467100,288100,94400,580400,372200,294400,159200,988600,876600,761600,126700,384600,2673,2661,0,--,6018,--,120,--,145269,--,123400, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),45100,342700,106400,86500,--,385200,145500,116900,109800,29500,700,600,--,12600,4400,3400,--,69000,6800,6700,900,75100,1500,100,200,84300,7800,4800,--,10600,2200,300,10400,5300,0,--,0,0,262,132,61,1922,207,67,0,4434,77,64,355, 
 处置子公司及其他营业单位收到的现金净额(万元),--,33000,33000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,0,0,--,0,0,0,--,0,--,--,--,0,--,0,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,0,200,200,8000,800,0,--,0,--,--,--,0,--,0,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,--,0,--,--,--,0,--,0,--,--, 
 投资活动现金流入小计(万元),31684800,245743700,223802300,137826800,36475600,147151500,104469900,69489500,37177300,66203700,42877900,23885800,9291600,32385800,25355300,14329100,5741600,22410000,11070400,7596800,4007700,14248600,12229000,8985900,3228900,11472800,9368000,6512800,3870900,13273200,10270500,6004400,2459500,11227800,9588400,6434500,1572700,11904600,5398930,3376111,3691603,4930803,30259044,1127492,1220649,3136996,5181294,1746924,2210038, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),131700,1024400,809200,380000,269900,1068100,465000,304800,123400,749000,532300,406600,206300,1864900,598800,541000,532000,1470000,503800,207100,151900,929800,439000,206000,53100,676100,614600,392000,464200,415300,294800,193700,55400,482700,199100,126000,58400,168600,121821,80966,15716,136003,61869,48397,22756,100582,57071,33808,49891, 
 投资所支付的现金(万元),23715700,232290600,195630300,121746900,41990100,265127300,212450200,135089900,49567600,94100300,62071300,36401700,11865700,58964200,38965700,23484100,12508000,28312100,17622500,13432600,6382200,16178300,13800100,9533500,3315300,12183600,10275700,8954400,3243200,15180300,10793300,8746500,2833300,12807000,10883400,8036200,2214800,9624200,3292119,4369095,3148332,9444923,35030338,2593794,2075695,5074491,6477644,2473143,1619753, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,--,0,--,--,--,0,--,0,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,1400,1400,1300,1300,1300,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,0,0,--,0,0,0,--,0,--,--,--,0,--,0,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,0,0,--,18000,0,0,--,0,260000,--,--,0,--,0,--,--, 
