 报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),28479,194076,141659,84646,28609,216545,179043,150731,108667,366206,277083,102005,17829,140606,121812,89190,73548,86894,58510,32042,20138,121997,79225,46561,22328,142917,79908,37070,12391,209465,176396,106729,64552,338685,209035,101512,68444,166176,83063,1954,834,5350,3269,2418,1300,4683,2979,2449,1108,8657,5761,4007,2977, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,165,84,84,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,2610,4,4,273,--,--,--,93,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,118,0,--,--,17,--,--,--,1,--,--,--,3,--,--,2,--,--,--, 
 收到的其他与经营活动有关的现金(万元),5010,196161,122101,79367,22340,195344,167852,83623,63287,41878,44208,35664,24153,67499,52792,35285,5547,52736,29887,26121,20452,155301,153971,133464,37097,196726,152274,80059,45244,164619,124546,86998,67303,134521,106779,53288,107644,160946,167563,1605,754,5419,9120,6881,2391,6462,6552,2246,1562,2378,13435,9525,3597, 
 经营活动现金流入小计(万元),33489,390237,266370,164016,50952,412162,346895,234354,171953,408177,321291,137669,41982,208105,174768,124559,79179,139630,88397,58163,40590,277298,233196,180025,59424,339643,232183,117128,57635,374084,300942,193727,131855,473206,315933,154800,176088,327121,250643,3558,1588,10770,12390,9299,3691,11145,9534,4696,2670,11037,19197,13532,6574, 
 购买商品、接受劳务支付的现金(万元),29102,84884,53458,37494,13922,254667,145445,135970,99575,221719,170892,115005,45593,179904,151068,101244,61019,138915,122589,96962,84999,264511,220523,165923,95799,194821,136146,82839,47350,231946,216497,127967,96170,393356,252872,172604,112574,132347,77033,903,236,3623,2587,1236,714,3780,2330,1555,763,7580,5705,3304,2509, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,2600,2700,2800,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3209,12001,8807,6235,3495,7297,4522,3461,2444,5317,4394,3327,2290,5669,4601,3604,2511,5715,4757,3735,2612,6160,5019,3892,2681,5037,4454,3317,2280,5313,4376,3315,2201,4984,3723,2662,1571,3916,2820,324,138,612,450,269,82,410,300,145,89,980,467,328,216, 
 支付的各项税费(万元),2884,10505,11499,7800,5085,33221,25958,22981,7655,52044,44092,32685,27366,61715,54592,37735,19420,26783,24134,21128,14085,50926,40551,23292,12797,16868,12044,9075,4197,33199,30761,25304,13711,23884,20167,13942,9477,11084,5538,156,54,332,50,51,16,93,84,66,16,136,78,63,15, 
