 报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),69297,44748,18024,95308,52531,34093,14675,90418,60314,39895,18455,100857,66225,43047,19602,125956,90032,53003,23343,110524,74578,51054,24637,101271,72400,47691,21699,109399,83424,50729,23173,95270,66390,39751,19942,73134,53301,32723,14230,104750,101123,70829,28338,137732,131900,74254,31437,144578,119990,71567,35751, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--, 
 收到的税费返还(万元),2557,1401,643,2925,1850,1399,577,3023,2116,1326,736,4686,3951,2835,1425,3007,2361,1397,758,3882,3289,1827,905,5042,4211,2657,1720,5379,3991,2352,1369,4247,3253,1954,1063,932,511,332,56,3812,2781,1568,1330,1947,1670,836,704,1083,725,279,107, 
 收到的其他与经营活动有关的现金(万元),989,598,263,558,676,388,162,474,1601,500,194,929,1448,502,222,771,954,651,612,936,1151,568,334,1866,1742,1228,611,1935,1544,1097,320,5738,1970,1406,378,5820,2473,2054,1649,3473,698,327,704,1693,2264,798,662,870,2751,1048,988, 
 经营活动现金流入小计(万元),72843,46747,18930,98791,55057,35880,15414,93916,64032,41720,19384,106473,71623,46384,21249,129734,93347,55051,24713,115342,79018,53449,25876,108179,78352,51576,24030,116713,88959,54179,24862,105255,71613,43111,21384,79887,56285,35109,15936,112035,104603,72724,30373,141372,135834,75888,32803,146531,123466,72893,36845, 
 购买商品、接受劳务支付的现金(万元),58442,38608,19716,64116,41721,26204,11369,59378,44244,31307,16897,65147,46280,30934,14810,89313,70984,39190,13539,75724,58981,37572,14266,73820,65414,39963,16390,78934,63439,38645,15997,62151,51263,28047,14383,45165,38090,22912,8187,71406,83749,58785,22044,110658,115440,64275,23139,107572,95253,53497,27789, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--, 
 支付给职工以及为职工支付的现金(万元),12713,8126,4185,17774,13195,8890,4591,19006,14394,9493,4707,19580,14668,9706,4882,18637,14103,9284,4266,18941,14235,9216,4559,18436,14161,9304,4680,17159,12646,8048,3952,14109,10418,6539,3137,15774,10834,6947,3024,19094,14445,9045,4317,18264,14422,9290,4426,19761,14230,9090,4410, 
 支付的各项税费(万元),4502,3856,1461,5982,4300,3109,1631,4350,3327,2647,1051,6104,4260,2864,1014,8305,5725,4082,1795,3760,2917,2242,1441,3611,2623,2243,1196,4086,3788,2725,1561,3204,3874,3165,1054,5092,4339,3040,3404,5643,4410,3200,1667,7304,5820,4509,3529,6664,5673,4096,1860, 
 支付的其他与经营活动有关的现金(万元),3495,1685,1045,6877,2885,1752,962,5247,2368,1700,741,5306,3630,2785,1359,5253,2636,1704,927,5309,2982,1931,970,5744,2799,1778,714,5416,2735,1813,773,4175,2670,1764,726,5377,2658,1918,1089,5942,1729,1479,1685,6371,3558,1333,1392,6077,4068,2912,2415, 
 经营活动现金流出小计(万元),79153,52275,26407,94748,62101,39955,18553,87981,64333,45146,23396,96137,68839,46289,22064,121508,93449,54260,20528,103734,79115,50961,21236,101610,84996,53288,22981,105594,82608,51231,22283,83639,68225,39515,19300,71409,55920,34818,15704,102085,104333,72510,29714,142597,139239,79406,32486,140074,119223,69595,36475, 
 经营活动产生的现金流量净额(万元),-6310,-5528,-7477,4043,-7043,-4075,-3139,5935,-301,-3426,-4012,10337,2784,95,-815,8226,-102,791,4185,11607,-98,2489,4640,6568,-6644,-1711,1049,11119,6351,2948,2580,21616,3387,3595,2084,8477,365,291,232,9950,270,215,659,-1225,-3405,-3518,317,6457,4243,3299,370, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,135,--,--,--,--,--,--,--,704,--,--,--,1000,--,--,0,--,--,--,0,0,--,--,--,439,120,0,--,--,--,0,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,20,--,--,--,--,--,--,--,--,--,--,0,7,--,--,0,0,--,--,--,0,--,0,--,0,--,0,--, 
