 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),52841,30951,13788,99649,61389,43106,24565,119485,82395,59910,27411,158921,98814,69294,37753,160378,111078,72064,39080,124589,95048,56848,24287,128193,104535,74027,28975,97107,89805,66799,24236,98403,68517,35337,23804,82522,56297,37463,13834,60250,66590,36162,13257,124571,58674,39785,15641, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--, 
 收到的税费返还(万元),483,355,197,507,367,261,174,296,239,185,119,475,438,286,98,360,182,51,26,102,30,25,10,169,94,94,94,293,263,263,263,301,243,243,114,--,--,0,--,39,13,11,10,7983,13,13,14, 
 收到的其他与经营活动有关的现金(万元),13113,5290,3543,8339,5888,1282,1322,3253,8299,8103,5018,7797,1523,1089,506,2497,1022,642,105,2964,832,298,237,1564,1686,1179,305,3544,2292,620,295,3753,725,432,153,5531,58,13,4,845,61,44,100,444,669,566,770, 
 经营活动现金流入小计(万元),66437,36596,17528,108495,67644,44650,26060,123035,90933,68197,32548,167193,100775,70669,38357,163235,112282,72756,39210,127656,95910,57171,24534,129927,106315,75300,29374,100945,92360,67682,24795,102457,69486,36012,24071,88053,56354,37476,13838,61134,66665,36217,13367,132998,59357,40364,16426, 
 购买商品、接受劳务支付的现金(万元),44418,25811,9978,76141,49437,31656,14136,113809,80103,63789,22955,171208,112569,79228,44604,169780,101267,64811,44726,121681,101385,56491,26410,114026,99132,73451,30298,95147,78615,60562,25124,91584,58298,27789,16008,79498,50439,33334,10556,60992,66080,37642,16662,104022,44908,32667,12714, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),7228,5119,2758,10832,7284,5260,2965,10982,7791,5266,2847,10385,7682,5158,2863,9428,6531,4098,2303,7732,5400,3883,2035,6859,5015,3688,1882,7207,5291,3599,2008,7721,5015,3549,1902,7261,5225,3011,1886,6824,5172,3350,2048,8044,5211,3510,2014, 
 支付的各项税费(万元),372,269,98,2417,2942,2024,471,2332,1478,1332,952,2013,1710,1386,565,1033,759,581,437,3258,1909,955,660,784,521,435,310,2501,2217,2155,2044,5650,5038,3212,2998,3415,2769,1621,510,3653,3448,3034,371,2198,1551,1370,852, 
 支付的其他与经营活动有关的现金(万元),20928,8846,2953,18257,11345,5706,2143,13234,16283,13333,6325,10306,5529,2851,1464,10181,7213,3678,3479,9357,5106,2644,1844,7371,2929,2695,2606,4565,4482,3681,2805,6053,4082,2318,1349,6829,3579,1773,3002,2937,5394,2957,2118,3933,7233,3132,2317, 
 经营活动现金流出小计(万元),72945,40044,15787,107646,71008,44646,19714,140357,105654,83719,33078,193912,127489,88623,49496,190423,115770,73168,50945,142028,113799,63973,30949,129040,107597,80270,35096,109420,90604,69997,31981,111008,72433,36868,22258,97003,62013,39739,15954,74405,80094,46982,21199,118197,58903,40678,17897, 
 经营活动产生的现金流量净额(万元),-6508,-3448,1742,849,-3364,4,6346,-17322,-14722,-15522,-530,-26718,-26714,-17954,-11139,-27188,-3488,-411,-11735,-14372,-17890,-6802,-6415,887,-1281,-4970,-5722,-8475,1756,-2315,-7186,-8550,-2947,-856,1813,-8950,-5659,-2263,-2115,-13272,-13430,-10765,-7831,14801,454,-314,-1471, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,1500,--,--,--,21600,5500,5500,5500,11500,--,--,--,200,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,273,-24,0,--,19069,15431,15431,--,9138,3537,3537,177, 
 取得投资收益所收到的现金(万元),--,--,--,142,--,--,--,421,421,--,--,579,--,--,--,518,626,172,172,570,544,544,--,77,77,--,--,28,28,--,0,160,90,90,--,109,17,0,--,330,68,0,--,932,667,667,41, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),3,3,3,5,0,0,--,67,24,--,--,57,21,--,--,263,62,54,18,41,41,26,1,304,266,17,12,--,--,--,0,4405,9,9,--,4,--,0,--,115,--,0,--,2251,21,21,--, 
 处置子公司及其他营业单位收到的现金净额(万元),476,476,--,1676,--,--,--,2265,--,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1980,1940,--,0,4060,--,--,--,81,--,0,--,0,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3509,5781,--,--,--,--,200,544,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,0,--,--,--,100,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),479,479,3,1823,0,0,0,4253,445,3,0,22236,5521,5500,5500,12282,4198,6007,190,811,585,570,201,926,343,17,12,2008,1968,0,0,8624,100,100,--,466,-7,0,--,19515,15499,15431,--,12321,4226,4326,218, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),251,247,200,2073,280,157,58,3274,684,591,44,3234,3498,2284,241,5566,21496,15340,3222,6616,5874,4231,141,2355,2748,1707,424,894,769,673,169,1768,1415,763,377,1670,225,186,5,4625,669,652,187,4984,1124,974,898, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,1500,--,--,--,17457,--,--,--,10000,--,--,--,--,--,--,--,--,80,--,--,--,--,--,0,--,650,650,--,20222,--,0,--,0,--,--,--,2100,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--, 
