 报告日期,2017-09-30,2016-12-31,2015-12-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),234313,262422,228918,154002, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),51133,62339,50589,51701, 
 拆入资金净增加额(万元),496127,599987,154263,501526, 
 回购业务资金净增加额(万元),--,--,300000,--, 
 收到的税费返还(万元),--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),2007,1024,13017,6403, 
 经营活动现金流入小计(万元),3045387,2665130,1835225,1589636, 
 购买商品、接受劳务支付的现金(万元),2786016,2634102,1610490,1520890, 
 客户贷款及垫款净增加额(万元),--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),101201,101991,102457,93359, 
 支付保单红利的现金(万元),--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),4509,6377,5021,4366, 
 支付的各项税费(万元),40468,48112,48231,35885, 
 支付的其他与经营活动有关的现金(万元),5859,6044,4670,6141, 
 经营活动现金流出小计(万元),2943859,2803126,1771921,1728884, 
 经营活动产生的现金流量净额(万元),101528,-137997,63304,-139249, 
 收回投资所收到的现金(万元),2731,--,--,--, 
 取得投资收益所收到的现金(万元),299,71,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),4,5,0,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--, 
 投资活动现金流入小计(万元),3034,77,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),8665,3694,674,18752, 
 投资所支付的现金(万元),--,3100,--,--, 
 质押贷款净增加额(万元),--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),921,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--, 
 投资活动现金流出小计(万元),9586,6794,674,18752, 
 投资活动产生的现金流量净额(万元),-6553,-6718,-674,-18752, 
 吸收投资收到的现金(万元),--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--, 
 发行债券收到的现金(万元),315187,199400,91383,150000, 
 收到其他与筹资活动有关的现金(万元),--,--,--,28218, 
 筹资活动现金流入小计(万元),315187,199400,91383,178218, 
 偿还债务支付的现金(万元),335799,46586,90460,--, 
 分配股利、利润或偿付利息所支付的现金(万元),39385,20203,45353,17250, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),276,--,--,--, 
 筹资活动现金流出小计(万元),375461,66789,135813,17250, 
 筹资活动产生的现金流量净额(万元),-60274,132611,-44430,160968, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--, 
 现金及现金等价物净增加额(万元),34701,-12103,18200,2968, 
 加:期初现金及现金等价物余额(万元),40471,52574,34375,31406, 
 期末现金及现金等价物余额(万元),75173,40471,52574,34375, 
 净利润(万元),86661,82404,73244,60600, 
 少数股东损益(万元),--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--, 
 资产减值准备(万元),22225,55890,32233,22445, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),1330,467,370,312, 
 无形资产摊销(万元),--,--,--,--, 
 长期待摊费用摊销(万元),--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--, 
 预提费用的增加(万元),--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,--,--, 
 固定资产报废损失(万元),-2,-4,0,2, 
 公允价值变动损失(万元),-840,255,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--, 
 预计负债(万元),--,--,--,--, 
 财务费用(万元),17763,11631,11941,4231, 
 投资损失(万元),-296,-71,--,--, 
 递延所得税资产减少(万元),-5794,-11865,-5088,359, 
 递延所得税负债增加(万元),--,--,--,--, 
 存货的减少(万元),--,--,--,--, 
 经营性应收项目的减少(万元),516578,677502,568233,583513, 
 经营性应付项目的增加(万元),-536098,-954206,-617630,-810710, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--, 
 其他(万元),--,--,--,--, 
 经营活动产生现金流量净额(万元),101528,-137997,63304,-139249, 
 债务转为资本(万元),--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--, 
 现金的期末余额(万元),75173,40471,52574,34375, 
 现金的期初余额(万元),40471,52574,34375,31406, 
 现金等价物的期末余额(万元),--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--, 
 现金及现金等价物的净增加额(万元),34701,-12103,18200,2968, 

