 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-06-30,2007-12-31,2006-12-31, 
 销售商品、提供劳务收到的现金(万元),151700,849326,666432,434320,214096,911322,575262,374223,238549,999057,543744,327084,197634,775857,627147,398398,199556,637821,454071,247436,117936,389785,288692,159194,66161,267137,189113,123341,56228,252716,167533,115984,54529,202708,144900,93785,144172,--,139357,106612, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 收到的其他与经营活动有关的现金(万元),2102,20666,9753,7861,101,30387,8186,3196,1533,10109,4464,3348,2619,12748,7178,4899,477,8425,11227,9961,5415,7487,6552,7393,3691,2842,5256,3994,2624,1993,4755,4182,2022,1048,5523,3683,1004,--,847,1760, 
 经营活动现金流入小计(万元),153802,869992,676185,442181,214197,941709,583448,377419,240082,1009166,548207,330432,200254,788605,634325,403298,200033,646246,465298,257397,123351,397272,295244,166587,69852,269980,194370,127335,58852,254709,172288,120166,56551,203756,150423,97468,145176,47674,140204,108372, 
 购买商品、接受劳务支付的现金(万元),62816,551311,425152,271832,143407,587157,352701,242353,172044,729461,373201,206872,132993,493815,407486,284717,132870,552518,350864,183416,46478,149735,114778,57639,29875,95810,73237,52989,27245,45516,29716,19067,7935,30331,18999,12433,22031,--,22408,20658, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 支付给职工以及为职工支付的现金(万元),17422,62960,48599,34834,18189,55975,40386,29007,15578,53502,40540,28404,15717,51389,36596,25693,14774,44173,30979,21856,11799,34447,24323,16643,9258,28908,19671,12675,6512,22812,14721,9460,4921,19351,12611,8917,15282,--,14602,12456, 
 支付的各项税费(万元),9583,54735,41404,26302,11610,62489,41142,31591,13874,47011,35365,28341,11333,39005,31701,22039,8944,42265,37172,31453,8234,33868,29714,24303,6199,26556,22826,18577,8626,24639,20305,15209,7313,17763,13143,8989,15494,--,9999,12721, 
 支付的其他与经营活动有关的现金(万元),7855,22978,11300,8781,28138,24402,7871,7617,3810,20148,16430,16207,13281,18340,10874,10818,6385,8961,12997,7320,1912,7574,5953,5324,5002,12638,11659,9764,2761,3666,8019,5825,2757,3896,9438,6438,4620,--,3572,2217, 
 经营活动现金流出小计(万元),97676,691983,526455,341748,201345,730024,442100,310568,205306,850121,465536,279824,173324,602549,486656,343267,162973,647918,432012,244045,68423,225624,174767,103910,50333,163912,127392,94005,45144,96633,72760,49560,22925,71340,54191,36777,57428,--,50581,48052, 
 经营活动产生的现金流量净额(万元),56125,178009,149730,100433,12852,211685,141348,66851,34776,159045,82671,50608,26930,186055,147668,60030,37059,-1672,33286,13351,54928,171648,120477,62677,19518,106068,66978,33330,13709,158076,99528,70606,33626,132416,96232,60691,87748,47674,89623,60320, 
 收回投资所收到的现金(万元),--,595,595,595,21,16141,15503,15503,--,442,442,442,--,389,389,388,--,3340,26637,--,--,341,299,299,--,262,291,262,--,230,333,3,--,202,203,1,177,--,10384,486, 
 取得投资收益所收到的现金(万元),--,16968,206,--,--,3274,3120,891,--,1915,1915,1881,6,2400,1193,1091,--,2512,1671,1613,--,1569,1569,1569,825,1361,1332,1332,915,1145,1114,1044,--,703,615,569,520,--,575,532, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,19,15,14,11,62,-0,-0,--,35,54,58,58,25,21,17,15,250,241,240,42,750,17,7,1,63,60,58,10,364,347,342,338,12,10,10,10,--,284,20, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26297,--,--,--,--,--,--,--,--,3,--,--,--,--,--,--,0,0,--,0,0, 
 收到的其他与投资活动有关的现金(万元),716,26441,22101,18228,16252,62483,49910,29330,9124,32983,26761,10135,6769,40074,38600,25759,24037,52609,50271,27262,17023,39393,42651,40265,33626,7701,4443,2434,340,3177,4572,1194,476,29579,24013,1688,4243,--,2215,990, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 投资活动现金流入小计(万元),716,44024,22916,18837,16283,81960,68534,45724,9124,35375,29172,12516,6833,42888,40203,27255,24052,58712,78820,55412,17064,42052,44535,42139,34452,9387,6126,4086,1268,4917,6365,2582,814,30496,24841,2267,4950,--,13458,2029, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),31626,159643,103950,63525,55496,138999,117129,109866,95245,387655,286926,182542,121902,253089,195011,132708,86980,286088,241528,176456,102606,276084,226543,161687,57497,211546,147359,84531,44527,173143,113763,79657,16144,89273,24562,4877,20689,--,24185,21476, 
 投资所支付的现金(万元),7500,1002,1002,1002,1002,6644,--,--,--,40739,25739,15000,--,586,--,--,--,8821,7640,7592,3000,--,--,--,--,--,--,--,--,--,--,--,--,--,99832,99832,0,--,20533,25191, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,13291,13293,13293,--,--,15000,15000,--,224,224,224,224,26,26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,99832,--,0,0,--,0,0, 
 支付的其他与投资活动有关的现金(万元),1914,40681,16748,16345,14598,64124,45666,26011,5684,25907,9221,5868,703,10191,9652,6532,5697,1217,5471,5053,88583,34523,34232,25550,5924,77163,64867,54614,27702,17245,12318,7288,4277,152,1940,0,0,--,0,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 投资活动现金流出小计(万元),41039,201326,121700,80872,71096,223058,176088,149170,100928,454301,336887,218410,122604,264089,204887,139464,92901,296152,254665,189102,194189,310607,260775,187237,63421,288709,212226,139145,72229,190388,126081,86945,20421,189257,126334,104710,20689,20028,44718,46667, 
 投资活动产生的现金流量净额(万元),-40323,-157302,-98783,-62035,-54813,-141098,-107554,-103446,-91804,-418927,-307714,-205894,-115772,-221201,-164685,-112209,-68848,-237440,-175845,-133690,-177125,-268554,-216240,-145098,-28969,-279322,-206100,-135059,-70961,-185472,-119716,-84362,-19606,-158761,-101493,-102443,-15739,-20028,-31260,-44639, 
 吸收投资收到的现金(万元),4900,19447,2023,2023,--,--,--,--,--,12000,12000,12000,--,--,--,--,--,28097,1800,720,--,1212,1212,1212,1212,2548,2548,2548,--,--,--,--,--,175460,175460,0,0,--,0,0, 
 其中：子公司吸收少数股东投资收到的现金(万元),4900,19447,2023,--,--,--,--,--,--,12000,12000,12000,--,--,--,--,--,1800,1800,--,--,1212,--,--,1212,--,2548,2548,--,--,--,--,--,--,--,0,0,--,0,0, 
 取得借款收到的现金(万元),220600,181790,168300,139500,39500,158350,71000,61000,32000,389000,247000,185000,92000,492921,407711,315911,185211,376436,313582,253082,150303,453219,433519,406416,174981,395605,367202,336309,322329,238911,75000,40000,--,316200,311700,211700,0,--,154405,17000, 
 发行债券收到的现金(万元),--,--,--,--,--,99600,100000,100000,--,119880,--,--,--,29970,30000,--,--,60000,60000,60000,60000,70000,20000,20000,--,--,--,--,--,--,--,--,--,200000,--,0,150000,--,0,144435, 
