 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 客户存款和同业存放款项净增加额(万元),336728,627510,534684,1000200,820292,884120,458204,933713,683136,606963,993281,507102,12241,1705587, 
 向中央银行借款净增加额(万元,136000,-53700,121800,56900,-39100,-25500,-5000,56001,37300,8200,19900,-10500,12300,1200, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),687743,425515,202495,683264,505057,320124,144911,566719,415918,277227,489668,411817,406379,315270, 
 拆入资金净增加额(万元),-428812,-639414,-503723,371813,339997,-78793,409414,-726787,-340000,-342910,826564,142611,196201,56535, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),95030,35193,21347,29824,54019,35708,19419,6506,9450,29529,13240,27405,9280,7340, 
 经营活动现金流入小计(万元),826688,395103,376603,2142002,1680265,1135659,1026947,836152,805804,579010,2342654,1078434,636400,2085931, 
 购买商品、接受劳务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 客户贷款及垫款净增加额(万元),870827,559366,223722,968630,684542,516167,257650,948960,737805,540109,703329,584311,481289,483591, 
 存放中央银行和同业款项净增加额(万元),113095,87510,100233,60467,42211,34337,-17930,-188216,-119001,-81544,-22022,247823,23394,461599, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),277211,151266,82817,219130,193897,126257,78794,232111,192094,133338,174238,154737,159495,116212, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),79711,58939,37111,91987,72138,52499,33087,73111,55283,41597,59934,44963,31891,28196, 
 支付的各项税费(万元),46168,36139,12791,51174,40918,32436,10637,46618,36274,27948,36853,39400,40355,32981, 
 支付的其他与经营活动有关的现金(万元),66485,52705,42419,66979,50458,39089,74840,54761,54398,47663,62979,33046,39015,23788, 
 经营活动现金流出小计(万元),1453497,945925,499092,1458367,1084164,800785,437078,1167346,956852,709111,1015310,1104278,775439,1146366, 
 经营活动产生的现金流量净额(万元),-626810,-550822,-122490,683635,596101,334874,589869,-331194,-151049,-130101,1327343,-25845,-139039,939565, 
 收回投资所收到的现金(万元),10635537,8266003,2720289,44546532,29924202,10544721,1623734,8345901,4786659,2635201,5306763,2262951,2090930,2164693, 
 取得投资收益所收到的现金(万元),4157,2181,88,11057,10642,5588,2269,23363,6787,4811,11924,6318,6051,2119, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),1,0,--,144,140,102,--,13,13,--,153,1451,519,4794, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),10639695,8268184,2720377,44557733,29934984,10550411,1626002,8369277,4793460,2640012,5318839,2270720,2097500,2171606, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),8596,5674,3522,50055,22869,7877,4178,26737,21554,23827,28901,13103,9947,12355, 
 投资所支付的现金(万元),11237819,8832774,3417241,45384378,30734489,11017686,2026810,8911614,4988948,2806334,6045094,2913454,2172958,2464496, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,4576, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),11246415,8838448,3420763,45434433,30757358,11025564,2030988,8938351,5010502,2830161,6073995,2926557,2182905,2481427, 
 投资活动产生的现金流量净额(万元),-606720,-570264,-700386,-876700,-822374,-475153,-404985,-569074,-217042,-190149,-755156,-655837,-85405,-309821, 
 吸收投资收到的现金(万元),1340,1580,140,114733,114593,21670,1660,8570,8570,8570,4410,10140,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 发行债券收到的现金(万元),7193724,5185540,2341248,4061125,3077419,1936247,740944,507098,59541,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),7195064,5187120,2341388,4175858,3192011,1957917,742604,515668,68111,8570,4410,10140,0,0, 
 偿还债务支付的现金(万元),6016000,4014000,1687000,3679716,2723610,1449514,570429,210000,0,0,--,--,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),45209,45180,4350,396,352,395,--,18677,18241,18677,19265,38592,--,12850, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,1451,1461,--,--,--,0,--,--,--,--,--, 
 筹资活动现金流出小计(万元),6061209,4059180,1691350,3681563,2725423,1449909,570429,228677,18241,18677,19265,38592,0,12850, 
 筹资活动产生的现金流量净额(万元),1133855,1127941,650038,494294,466588,508008,172175,286990,49869,-10108,-14855,-28452,0,-12850, 
