 报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-09-30,2005-06-30, 
 销售商品、提供劳务收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,0,--,--,--,0,--,0,--,--,0,--, 
 客户存款和同业存放款项净增加额(万元),44233000,29145800,31325200,31673600,42283000,39126100,38799900,30715600,52078100,30069900,27734000,5335900,64731900,62710100,61060100,26554500,13776400,13727100,28791000,--,47644700,34565600,26235300,28549000,49155500,44982400,46860900,24306700,47782700,28108900,28597800,16184800,55021800,40048800,34763800,21970800,56900400,56222700,59979000,36616100,52935100,33535900,30497600,15353900,27959200,38452800,32150200,9450400,--,16175100,--,7865100,16342700,12193600, 
 向中央银行借款净增加额(万元,--,4278600,--,2995800,8927000,7958900,6470700,5501700,30827700,25083800,9628200,3544800,5165100,--,--,4022200,7779800,72200,168700,363300,572100,174900,77800,6300,15000,--,--,--,--,--,--,3200,900,--,5400,2900,1100,1100,6000,6000,--,0,0,0,3800,12600,--,0,--,3600,--,--,0,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,0,--,--,--,0,--,0,--,--,0,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,0,--,--,--,0,--,0,--,--,0,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,0,--,--,--,0,--,0,--,--,0,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,0,--,--,--,0,--,0,--,--,0,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,0,--,--,--,-147600,--,0,--,14400,0,155800, 
 收取利息、手续费及佣金的现金(万元),32886700,22614500,14841300,7415100,28954400,21545100,14260900,7053600,26933600,20391000,13751300,6839300,28896300,21715800,15199400,7885600,27375700,19452200,13543600,6593900,24837800,18338900,12177000,5945000,23081600,17087800,11310200,5538500,18293700,13278900,8525800,4056100,13165900,9543800,6175800,2921100,10628100,7731700,5032400,2398800,10404800,7781300,5038400,2418500,8137400,5758500,3593400,0,5749500,4040200,--,--,0,--, 
 拆入资金净增加额(万元),--,--,--,--,9010600,8930800,5612800,4960800,11102500,6756400,5292500,2999200,2884800,7154900,8520800,5308700,378000,1609100,2403700,2855800,501900,177700,2007100,6131400,4001900,582800,4431100,674400,6592700,5670300,3138800,1496000,1252200,2402800,418800,0,3416600,4192600,1074900,56500,1270000,2742200,1762900,100,63000,2395800,2390600,0,666700,0,--,--,0,--, 
