 报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2005-12-31,2004-12-31, 
 销售商品、提供劳务收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,0,0,0,--,0,--,0,--,0,0, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,0,0,0,--,0,--,0,--,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,0,0,0,--,0,--,0,--,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,0,0,0,--,0,--,0,--,0,0, 
 收到原保险合同保费取得的现金(万元),31917500,24530000,16950700,9865500,28257700,21301500,14381900,8012000,24171600,17357200,11479600,6038400,21196700,15306400,10257900,5486800,19395200,14732400,10357600,5753200,17715500,13539200,9453600,4774000,16168900,12315600,8630500,4633400,15554500,11897900,8420900,4581700,13839400,10464200,7244300,3875500,9782800,7576200,5125100,2658000,9456500,7414700,5136500,2783400,7470400,5283800,3555800,1813800,5567500,5108900,4707800, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,4400,--,--,--,10500,--,--,--,--,--,--,43500,--,--,--,--,--,--,--,--,--,--,0,0,0,0,83300,--,31900,0,0,0,0,--,0,--,0,--,0,0, 
 保户储金及投资款净增加额(万元),346700,348400,216100,151900,536800,606700,501000,374400,706600,675000,519800,440100,219900,237500,156500,111400,--,--,--,1700,--,--,--,--,--,--,--,--,--,--,--,--,--,0,26900,49800,43600,0,--,0,0,0,0,0,--,0,--,0,528900,296100,17100, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,0,0,0,--,0,--,0,--,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,0,0,0,--,0,--,0,--,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,0,0,0,--,0,--,0,--,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,0,0,0,--,0,--,0,--,0,0, 
 收到的税费返还(万元),5300,3600,2700,1400,8600,5000,29900,15000,46100,40600,33200,9200,91900,51500,30600,10800,53600,38400,21100,10400,183100,132700,77400,4100,2200,1900,1300,500,11400,--,--,--,19300,17600,17300,0,86100,0,83300,0,45100,0,0,0,--,0,--,0,--,0,0, 
 收到的其他与经营活动有关的现金(万元),367400,287500,164300,64800,120200,86300,74500,23800,203700,147800,104400,42300,173000,111900,72600,31600,129800,83000,53700,32200,112100,66500,38300,16800,99100,61800,36900,21400,82000,40500,20200,12600,89500,63300,44900,29400,36900,26800,20100,52900,107600,45800,26200,198200,96700,49200,29800,32300,61500,49800,51000, 
 经营活动现金流入小计(万元),32636900,25169500,17333800,10083600,28923300,21999500,14987300,8425200,25128000,18220600,12137000,6534400,21681500,15707300,10517600,5651100,19578600,14853800,10432400,5797500,18010700,13738400,9612800,4794900,16270200,12379300,8668700,4655300,15647900,11938400,8441100,4594300,13948200,10545100,7333400,3954700,9949400,7686300,5228500,2742800,9609200,7460500,5162700,2981600,7567100,5333000,3585600,1846100,6157900,5454800,4775900, 
 购买商品、接受劳务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,0,0,0,--,0,--,0,--,0,0, 
