 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-06-30,2007-03-31,2006-12-31,2006-06-30, 
 销售商品、提供劳务收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,--, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,--,0,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,--, 
 收到原保险合同保费取得的现金(万元),20718900,49607500,40574900,29689300,20351400,43297900,33348700,24723700,16236200,37980200,28581000,20826800,13351600,33918600,25799200,18336200,12094600,32886600,26986600,19354000,10335700,32095300,25498400,17696900,10542200,31831800,25778100,18825300,11823500,31728800,25229500,17672500,10473000,27527500,23374200,16631700,9914100,29502200,24566700,17695000,9890300,19658200,11761100,7103300,17937900,10558000, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,5900,7000,7800,12000,15000,26900,1400,1800,0,100,--,0,3700, 
 保户储金及投资款净增加额(万元),403300,3758500,3575100,3198900,2340300,11234600,10596900,8379300,4573800,1212000,1068200,830800,474100,751300,435200,368300,174100,--,--,--,--,--,--,--,--,--,--,41900,4800,278300,106000,157400,218100,206500,28400,20900,24700,14100,0,0,0,21000,15600,--,82400,68200, 
 处置交易性金融资产净增加额(万元),--,8372100,8087900,7799000,5127000,--,--,--,--,--,--,22800,--,--,--,350200,236100,142800,--,--,--,--,--,--,--,--,--,0,--,--,--,0,471400,675800,172400,475500,116200,524900,1935000,0,0,3602700,1445200,527100,1041300,338800, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,--,0,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,--,0,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,--,0,--, 
 收到的其他与经营活动有关的现金(万元),210100,769700,520500,345800,142300,603500,436800,272200,123600,471700,333700,165300,100200,342200,260700,155800,83400,303900,236000,150400,70400,331000,221300,148400,79000,281700,147100,117000,67800,240800,162600,95700,121200,241900,91200,83000,95700,165900,387600,83800,70200,200200,78200,32200,171100,65300, 
 经营活动现金流入小计(万元),21332300,62600900,52894000,41033000,27961000,55289900,44382400,33393400,20947600,39704200,29998900,21845700,13940100,35982500,26495100,19210500,12588200,33333300,27222600,19504400,10406100,32426300,25719700,17845300,10621200,32113500,25925200,18984200,11896100,32247900,25498100,17925600,11283700,28657600,23673200,17218900,10162700,30222100,26916200,17780200,9962300,23482100,13300200,7662600,19232700,11034000, 
 购买商品、接受劳务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,--, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,--,0,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,--,0,--, 
 支付原保险合同赔付款项的现金(万元),14343600,28693200,24353800,19245400,13507900,27014800,21715600,16299200,10871800,23668800,18719500,14163900,9873900,20461800,16927900,11634100,5575300,19728100,16045100,10703600,5613800,11087400,8903300,6384700,3663500,10570100,8504900,5996100,3305700,7717600,5727200,3855200,1921000,8187900,8399400,6309400,3621200,11743800,9655700,7404600,4711800,11160300,6965700,4702100,5215100,2518100, 
 支付利息、手续费及佣金的现金(万元),1666400,6284300,4795900,3553400,1886400,5090700,4037300,2836300,1593500,3489000,2655000,1811700,1017000,2685800,1982300,1309900,733200,2651900,2014600,1368600,716900,2716600,2052600,1401800,747900,2750700,2107700,1506800,793200,2663200,1956500,1342700,678100,2327000,1765400,1219000,618700,2368000,1829800,1219700,529900,1594700,861400,435300,1462000,764500, 
 支付保单红利的现金(万元),354600,2005700,1681900,1257800,484200,1853000,1470300,1046200,362000,1320300,1042800,738400,245900,1068300,876500,633900,219200,1049200,866500,532300,254300,819800,682200,471700,275100,1006500,842700,633600,251500,700000,544500,384100,110000,671300,575800,436100,220100,918100,769700,577500,371100,392300,260400,160800,55500,13700, 
 支付给职工以及为职工支付的现金(万元),612700,1902400,1401200,977100,491400,1648600,1223100,867600,458700,1490100,1130900,801800,418900,1409800,1049000,719600,370200,1271700,962900,663300,334500,1225600,909700,623500,302000,1088600,819000,558100,282100,917900,698600,468100,242400,877400,588200,408800,207400,760300,702600,376000,187400,682700,310200,160000,515000,258300, 
 支付的各项税费(万元),157200,832200,620500,421900,154500,1162800,1072100,836600,70700,1350200,1322900,1012200,379200,227500,203000,209600,390200,337500,499800,379500,305500,785400,702200,589900,214500,651700,544900,413300,41400,1208000,1130500,744900,185200,594500,513700,340900,49200,1028500,986500,974200,97400,396100,219800,132000,103700,78800, 
 支付的其他与经营活动有关的现金(万元),747400,2668400,2024700,1232700,791900,2131900,1124900,952100,540500,1554900,1073200,761700,449000,1301800,1126200,648900,256400,1327200,1081900,642200,469000,1345600,759400,489200,393300,1235100,835600,574100,417100,1132100,778300,459600,286800,1029500,675800,433700,166100,795700,984700,501300,140100,651000,387700,177400,639300,346200, 
 经营活动现金流出小计(万元),19054100,42501900,34915100,26743800,17362900,46380100,43209600,34711400,20912200,41585300,26247800,19350900,13900900,28157800,22364100,15163400,7546300,26504100,21854100,15230400,8518400,19208100,16530900,12513900,7476700,18718200,14443900,9973900,5819900,14387900,10849600,7489100,3424000,13687600,12518300,9147900,4882700,17614400,14934000,11634900,6310300,14887900,9005200,5770200,8002200,3979600, 
 经营活动产生的现金流量净额(万元),2278200,20099000,17978900,14289200,10598100,8909800,1172800,-1318000,35400,-1881100,3751100,2494800,39200,7824700,4131000,4047100,5041900,6829200,5368500,4274000,1887700,13218200,9188800,5331400,3144500,13395300,11481300,9010300,6076200,17860000,14648500,10436500,7859700,14970000,11154900,8071000,5280000,12607700,11982200,6145300,3652000,8594200,4295000,1892400,11230500,7054400, 
 收回投资所收到的现金(万元),19185100,89662500,67668800,39954200,19063800,76193700,44277100,33736500,17644200,65584600,58455100,38755400,16639400,49091700,30424600,16612300,8831300,37553400,28617200,17037000,11270400,20383500,15400700,12046600,6285900,17547000,11360200,9341700,4459000,26489000,17839400,16110300,11489100,29095300,21779500,15692900,5909900,13425300,8016900,4996000,2104800,15634900,5303300,2280200,6502900,5143900, 
 取得投资收益所收到的现金(万元),3338600,12702600,9409900,6069200,2551700,9928000,7256800,5084300,3080200,9051600,6861500,4742300,2477800,8316100,5377300,3817000,2016700,7552800,4906400,3438200,1850600,6602200,4115000,2869700,1495800,5517100,3510700,2414300,1221200,4386600,3112700,1861400,1082900,3617500,3014400,1614100,838300,3979700,3894200,2193500,487800,3932100,1978200,975300,2223200,870400, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1300,10300,82300,2200,2100,11500,16800,9200,9900,19900,7600,3300,900,43700,17500,15000,400,15900,6200,3800,2900,21800,5600,4800,300,25800,6400,5500,1000,24000,10200,8200,2600,42000,10700,7700,5800,24700,10900,8000,3900,13200,3200,2000,6700,4100, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,116900,--,--,--,--,387500,385900,288100,288100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,--,0,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,800,0,0,0,514500,0,0,0,0,--,--,0,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,--, 
 投资活动现金流入小计(万元),24093200,103072900,78359200,48214800,22021700,86133200,51944500,38830000,20734300,75043600,65710100,44584900,20332300,57451500,35965800,21143200,11166300,45122100,33529800,20479000,13123900,27155100,19760000,15057100,7807700,23089900,14877300,11766100,5681200,30908500,20962300,17979900,12574600,32755600,24804600,17314700,6754000,17944200,12219700,7273800,2762100,19580200,7284700,3257500,8735200,6018700, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),234400,961900,672600,360200,201600,531000,246000,145800,82100,838400,187600,123800,70300,504800,264600,179400,123700,372400,211700,96100,49700,529300,179100,137500,25800,510800,312400,258500,155800,484900,291300,141100,47400,326100,99300,89300,53100,295000,171900,129200,21100,331000,173600,83300,277400,34800, 
 投资所支付的现金(万元),24315800,117887200,91592400,67017700,34967500,93120300,56041300,32737700,17991200,65409500,60188600,42445400,18155000,62161900,37813700,26470800,12719800,48004600,33563900,23491500,12068600,46249000,31586100,21937500,8934200,34866800,24425600,19203900,9978200,43002700,30452200,25186000,12935300,48349700,30642800,20712200,10026100,28967000,22492600,11815400,5242500,28102800,10583200,5273600,20260200,12548100, 
 质押贷款净增加额(万元),855600,1551500,875300,446400,159700,748300,457100,231400,70500,1130500,876700,563100,17000,1347800,974200,680300,631900,2028300,1511300,921600,119400,757200,568800,324800,106600,834400,743200,499200,253200,1014600,728800,478800,226400,454900,348900,191000,79000,273200,201400,125000,41400,340900,123800,41500,134300,54200, 
 取得子公司及其他营业单位支付的现金净额(万元),75300,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,--,0,--, 
 支付的其他与投资活动有关的现金(万元),29900,39900,39900,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,196000,--,0,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,--, 
 投资活动现金流出小计(万元),25511000,120440500,93180200,67864200,35328800,96603500,56744400,37928200,19505000,68338900,62041400,43132300,18242300,64377200,39052500,27330500,13475400,51145400,37031800,25030700,13063800,47535500,32334000,22399800,9066600,36449000,25533700,20015400,10387200,44502200,31574600,25817500,15128100,49130700,31827500,21192500,10158200,29535200,22865900,12069600,5305000,29280000,11076600,6031200,20671900,12637100, 
 投资活动产生的现金流量净额(万元),-1417800,-17367600,-14821000,-19649400,-13307100,-10470300,-4799900,901800,1229300,6704700,3668700,1452600,2090000,-6925700,-3086700,-6187300,-2309100,-6023300,-3502000,-4551700,60100,-20380400,-12574000,-7342700,-1258900,-13359100,-10656400,-8249300,-4706000,-13593700,-10612300,-7837600,-2553500,-16375100,-7022900,-3877800,-3404200,-11591000,-10646200,-4795800,-2542900,-9699800,-3791900,-2773700,-11936700,-6618400, 
