 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),353307,279071,108267,499087,357410,228528,71585,438972,294683,232448,62118,442065,269389,357864,330884,339662, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),4469,4363,95,4917,2732,1343,1006,2756,1725,212,182,3399,2846,6836,1062,2429, 
 收到的其他与经营活动有关的现金(万元),9966,5037,2242,11789,10678,6248,2612,11672,7326,3524,1847,13293,9420,8925,12341,7599, 
 经营活动现金流入小计(万元),367741,288471,110603,515794,370820,236119,75203,453400,303734,236184,64147,458756,281655,373625,344288,349690, 
 购买商品、接受劳务支付的现金(万元),230237,155410,69611,333057,236029,161777,65710,288858,191569,138569,73972,295830,177659,225460,222298,224295, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),51735,34092,18833,66910,52632,31179,17541,60528,42976,27323,15168,57282,38484,49394,40485,35612, 
 支付的各项税费(万元),10633,7850,5569,12882,9742,7444,5123,13703,10913,7472,4489,13319,11157,16803,13791,11724, 
 支付的其他与经营活动有关的现金(万元),35033,24993,9439,48665,30560,18895,9155,42753,33025,17556,8525,40459,28953,42388,39081,23992, 
 经营活动现金流出小计(万元),327638,222345,103452,461515,328962,219295,97529,405843,278483,190919,102154,406890,256252,334045,315654,295623, 
 经营活动产生的现金流量净额(万元),40104,66127,7151,54279,41858,16824,-22326,47558,25251,45265,-38007,51867,25403,39581,28633,54067, 
 收回投资所收到的现金(万元),493949,318330,151480,563798,441794,268171,111340,538078,235986,170078,100828,363370,322541,292765,658329,285700, 
 取得投资收益所收到的现金(万元),4404,2436,1030,6121,4183,2221,1020,5812,3810,2604,1394,4936,2757,2643,3666,1331, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),11,29,4,18,15,11,1,22,14,1,-17,36,-60,387,300,109, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),389,389,--,--,5,--,--,1792,343,343,--,873,604,4555,8113,466, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),498753,321184,152513,569937,445996,270402,112360,545703,240152,173025,102205,369215,325842,300350,670407,287607, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),15893,8371,7178,170033,90279,84470,32680,7026,5870,3690,2108,8859,5906,7450,49845,6973, 
 投资所支付的现金(万元),567770,310828,182600,588532,448984,318169,122246,529580,282523,169721,87584,422046,378008,338540,642491,314578, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,278,--,--,--,--,--,367,947,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,1201,--,--,--,--,1181,--,1035,10,--,0,1975,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),583662,319199,189778,759766,539263,402639,154926,536884,289575,173411,90727,430914,383915,346357,695257,321551, 
 投资活动产生的现金流量净额(万元),-84909,1985,-37265,-189829,-93267,-132237,-42565,8819,-49422,-385,11478,-61700,-58072,-46007,-24850,-33944, 
 吸收投资收到的现金(万元),196,1651,--,100995,100740,101645,100645,103,103,103,103,--,--,1308,1612,245, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,350,--,--,--,--,103,--,103,--,--,--,--,--, 
 取得借款收到的现金(万元),500,500,200,3800,800,2400,1600,3213,2470,1950,800,1800,1300,2500,12700,22480, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),15397,11242,3507,10581,18083,12039,4273,18766,14645,14645,6895,17360,15828,15828,14587,115, 
 筹资活动现金流入小计(万元),16093,13393,3707,115376,119622,116083,106518,22082,17217,16697,7797,19160,17128,19636,28900,22840, 
