 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2006-12-31,2006-06-30,2005-12-31,2004-12-31, 
 销售商品、提供劳务收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,--,--, 
 客户存款和同业存放款项净增加额(万元),41679100,76629000,72191700,51420800,63826800,182927300,168317000,116692800,85046300,116312900,151122700,152878700,79355200,94765300,103755300,81858000,73396900,61301700,43322500,58591500,53876100,137356200,79646700,101680800,86989300,121227400,72652500,80394700,--,99282900,85796200,49324700,43970800,194827300,171489500,148540500,104776000,98941800,75758300,42625400,29851600,93847700,80562900,58688100,77762100,54102100,55427900,29805000, 
 向中央银行借款净增加额(万元,673000,11047300,10590800,8156000,5365700,39511800,25318400,16749500,6568500,--,--,--,5894700,1160500,5519100,--,--,7311600,21635800,10609900,1477500,409000,--,55800,122600,53000,15100,--,--,180600,179800,133800,--,--,--,--,--,--,0,--,--,--,0,0,0,0,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,--,--, 
 处置交易性金融资产净增加额(万元),--,9242400,12628800,11075100,--,21109900,9602400,9199300,--,6214200,17378600,14912800,5601600,3336200,7118500,4169700,5211100,--,13953100,--,--,--,--,--,--,--,--,--,--,371100,--,288600,330700,3731600,--,--,--,--,0,--,--,--,0,0,0,0,--,--, 
 收取利息、手续费及佣金的现金(万元),24050000,91174200,68076600,44818000,21784000,84215500,62385500,41892700,20683800,88417100,66082700,43654900,21785600,83840500,61915500,39662600,19509700,73943800,54987800,35905600,17695900,68520100,50580300,32996500,15869800,55101500,40195500,25712000,12081600,43068700,31372100,20636700,9790100,37816900,27944200,18662700,9157900,32419100,27714700,17877400,8785400,30271200,21715400,13467600,22518700,10334800,17911000,14666600, 
 拆入资金净增加额(万元),12099100,7985700,11786500,12966400,11218200,--,5409400,1276600,1167200,11003800,11560500,11147000,--,3625600,9410100,9851600,3850600,3881600,4185600,2141300,2295400,4227800,1155900,2202200,2722000,1450900,7721800,4287400,696400,2940700,2419700,5002400,992200,--,--,--,--,1508400,351800,4864500,980500,721300,2135100,771200,793500,586800,--,357700, 
