 报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-06-30,2004-12-31,2003-12-31, 
 销售商品、提供劳务收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0, 
 客户存款和同业存放款项净增加额(万元),134562300,132619400,92580100,92537200,71712400,100283700,96374100,72474800,90527200,86741700,52129200,23763300,101609700,93575400,82196600,53946600,101606000,118113200,136532500,110082400,93447700,68836000,35950100,49105300,53828300,57071500,87590200,98114400,117955300,48477500,59540200,59669600,122575200,111885100,83223900,93208600,169163500,113521500,115641700,101147100,97131200,62938400,53279300,31605600,45506400,43842800,40035500,24858000,43621400,40097300,38617900,26180800,43551900,29202200,34356300,34529000, 
 向中央银行借款净增加额(万元,--,--,--,--,16863800,4690400,4896800,--,45138600,20064400,39085500,1934500,6744400,7346600,5531700,11442600,14733200,19072600,2948500,1234400,7091700,4284900,2976300,1189200,4856600,5130100,3449300,1379900,804100,1241700,0,70900,1180000,770200,846000,790200,601900,1401200,1689200,476000,511100,599900,106400,--,4811100,1165500,1360600,182500,1231900,1165700,44000,57600,--,--,--,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,0,0,--,--,2593200,--,--,--,0,--,--,--,0,--,--,--,0, 
 收取利息、手续费及佣金的现金(万元),66775200,49792300,32987600,16146700,61427100,45666800,30314900,14658000,55968700,40886700,27997100,14211300,61769300,46123700,31589200,15701300,60751100,44802200,29805800,14722400,53769600,39318700,26148600,13046800,52367400,38218100,25420500,12603100,41708600,30015900,19280900,9411100,31352700,22671300,14780000,7214300,26667500,19657600,12950500,6401200,27251100,20176900,13183000,7860400,29624600,20795200,13129200,6244300,22036600,16358400,10450300,4963900,17327900,8191400,14244500,12367300, 
 拆入资金净增加额(万元),7976300,6084400,563800,--,2105200,--,6712600,3497400,--,--,--,--,649600,--,--,--,--,7300,10889800,--,--,--,--,--,12342000,18539600,12407700,1018000,--,--,0,--,1403300,6321800,4647400,1950500,5647100,7213700,--,0,1556000,6693000,1215100,5736000,10157400,16565400,7899600,1306700,-6571800,-4423200,-2174600,-4090200,9638700,--,--,379000, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0, 
 收到的其他与经营活动有关的现金(万元),14293500,9084000,7761600,6114700,30468600,11942300,14319400,5349400,5921600,355800,4843700,4309400,21098600,11534100,--,--,4699000,--,--,--,8750400,9225000,12218800,--,7660600,8516600,--,--,5518200,46114500,27504900,8559000,40156500,5029900,3361500,275400,18426800,18677500,12925700,2117900,10602500,12542000,6140900,--,2072900,1037600,--,0,3172400,770600,--,0,697200,39200,1167800,2468500, 
 经营活动现金流入小计(万元),253426900,221310600,153612700,120504700,194012000,173373700,165419600,101206700,197556100,148048600,124055500,49702800,206605100,169679600,146111300,86801600,181789300,181995300,180176600,126039200,163059400,121664600,77293800,63341300,131054900,127475900,128867700,113115400,165986200,125849600,106326000,77710600,196667700,146678300,106858800,103439000,220506800,160471500,143207100,110142200,137051900,102950200,73924700,47809900,102183500,83782200,62740700,32631900,48671100,52733800,45807700,27154000,71511100,43422300,50295800,49816900, 
 购买商品、接受劳务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0, 
 客户贷款及垫款净增加额(万元),96410500,86231200,55042500,23536300,98517700,88567000,71572200,41082700,91425100,77425000,61985000,34886100,83361500,72202400,43244000,32544900,90198000,85475300,82606100,55136700,75183600,67530100,57719600,46217400,52568200,57683000,41200700,24737400,68359900,58917600,55648400,29641200,75599800,64939800,48397300,40321100,162304500,141324500,102317200,51271500,45195100,44181400,39397200,22961400,42501900,41118600,23971600,15519100,19795600,20642800,17099200,5965400,9404200,14015400,19396200,38289800, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,11941300,27492200,15291500,--,--,--,--,--,16997000,19550500,20225300,16597600,14116600,17690400,13511300,10449300,7315300,10620200,9539000,21210300,20395400,18866800,30163100,15847600,53966400,35167200,24754000,27695900,42738500,17704500,14231700,7602300,12309400,20131700,16053400,9603900,32703800,21941500,13337700,4556600,6379700,4534400,342800,-1291000,4113000,2411600,2968400,4134500, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0, 
 支付利息、手续费及佣金的现金(万元),31763200,24133500,16469700,8513400,27472200,20597800,14176600,7280200,24838200,19060800,13494400,7312100,27128800,20948400,14913100,7928000,24829000,17857600,11641800,5999800,20889900,15144700,10171500,5191200,21552000,15678600,10515200,5221600,16828000,11591000,7392400,3705400,11121800,7641600,4860600,2311700,10712600,8086200,5373100,2856900,10948900,7891600,5117300,2591900,10624000,7416100,4918200,2322600,8719500,6047800,4078600,1917500,6455600,2617900,4673700,4190700, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0, 
 支付给职工以及为职工支付的现金(万元),8361300,6312700,4483400,2757300,8147800,6261500,4435100,2708900,8050400,6175700,4402300,2740700,8006700,6158200,4419400,2713000,7690900,5936300,4217300,2654200,7185100,5448500,3897400,2464500,6418500,4813600,3441600,2148600,5897000,4347000,3105000,1878600,5022500,3702200,2660500,1631100,4286200,3132900,2205300,1358000,3905900,2994100,2178600,1402800,3543500,2501100,1800600,1222100,2739900,1955200,1367000,802900,2329500,1128900,2007800,1585700, 
 支付的各项税费(万元),5706400,4204300,3610500,1106700,6780300,5276900,3951900,1324200,8267400,6448000,5246300,1403200,8503500,6578700,5474200,1289900,8555200,6444400,5288700,1153400,6987600,5858700,4813800,1123200,6119800,5059300,4203600,1055100,4646200,3964800,3175800,835400,4264800,3281300,2791300,684100,5088900,4503300,2560000,603000,3325000,2744000,2261800,426600,3094300,2435100,2010300,442200,3249100,2840300,2843700,334700,2300900,1609400,668600,912400, 
 支付的其他与经营活动有关的现金(万元),24734500,36546300,27416500,30043800,12480400,11923100,9114000,8610800,15363000,--,7615600,15276200,12395200,--,5337200,1728900,8561000,5263500,11900700,4546700,12851200,--,--,1596300,10688700,--,6819400,2072100,11622000,4465800,3122200,672000,15792700,9071200,7038100,5301900,7385400,5131300,10954900,4301500,18890900,16525600,11443500,2798900,--,--,4277600,270000,--,--,591900,2316500,--,--,--,0, 
 经营活动现金流出小计(万元),187191100,164205100,117705800,82236500,153398400,135507600,103249800,62737600,179348000,153317000,120622200,64769100,139395700,116138100,79371800,46785100,169097500,140527600,135879900,87334000,140775400,126049800,102587900,70961800,104662500,93854700,75719500,56445100,144550500,108782500,103919700,56651100,165768000,123803300,90501800,77945800,232516100,179882700,144859800,77651900,94575200,94468400,76451800,47213700,97045200,84882600,64151600,32709600,45530500,61580100,57566600,30125100,70122800,41260800,60369600,55886800, 
