 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),388079,251016,115481,427699,286132,192583,98178,372804,428894,267766,432267,397300,419704, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),19665,11802,3210,15322,13018,7390,3492,18660,19066,9622,18737,15270,10938, 
 收到的其他与经营活动有关的现金(万元),6596,5034,1650,3758,2374,1831,1074,12286,3944,1535,1997,2776,2166, 
 经营活动现金流入小计(万元),414341,267851,120341,446779,301523,201804,102744,403750,451903,278923,453000,415347,432808, 
 购买商品、接受劳务支付的现金(万元),265617,166346,78731,296346,191485,120063,56691,233843,289276,198039,327181,320386,343118, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),32774,22020,11399,40430,29057,19181,9821,36225,33315,16153,27850,23146,21671, 
 支付的各项税费(万元),30039,19207,9223,34475,27765,18399,6488,34701,39643,19957,28812,21560,22881, 
 支付的其他与经营活动有关的现金(万元),30947,19895,9209,37557,25194,17710,7272,38366,37877,17488,32525,31599,30515, 
 经营活动现金流出小计(万元),359377,227468,108561,408809,273501,175353,80273,343136,400111,251638,416367,396691,418186, 
 经营活动产生的现金流量净额(万元),54964,40383,11780,37971,28023,26451,22471,60614,51792,27285,36634,18655,14623, 
 收回投资所收到的现金(万元),337200,280700,121900,296001,226001,159501,50001,87000,--,--,1000,782,45, 
 取得投资收益所收到的现金(万元),3386,2680,1249,2516,1808,1048,563,647,184,184,153,203,215, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),59,38,25,292,192,157,10,38,85,19,191,87,242, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,27,1139,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,495,419,349,--,89,50,50,49,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),340645,283419,123173,299303,228420,161055,50573,87774,318,252,1420,2211,501, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),12828,8933,4284,10140,7803,6500,2378,8413,5257,2898,13332,14083,10051, 
 投资所支付的现金(万元),431830,364900,212900,317430,265930,157530,71030,126000,505,505,925,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),444658,373833,217184,327570,273734,164031,73408,134413,5762,3403,14257,14083,10051, 
 投资活动产生的现金流量净额(万元),-104013,-90414,-94010,-28267,-45314,-2975,-22835,-46640,-5444,-3150,-12836,-11872,-9550, 
 吸收投资收到的现金(万元),115,77,--,106035,716,716,--,3316,--,--,150,1092,44102, 
 其中：子公司吸收少数股东投资收到的现金(万元),115,77,--,716,716,716,--,3316,--,--,150,1092,1338, 
 取得借款收到的现金(万元),4182,1691,638,2804,3189,2194,552,21244,46939,24998,56037,41450,65093, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,110, 
 筹资活动现金流入小计(万元),4297,1768,638,108838,3906,2911,552,24560,46939,24998,56187,42541,109305, 
 偿还债务支付的现金(万元),1960,1430,264,3523,3584,1929,848,47440,58476,24506,51761,44391,55147, 
 分配股利、利润或偿付利息所支付的现金(万元),21933,21924,2299,19448,19435,19420,2233,18663,18325,17410,10680,3991,42394, 
 其中：子公司支付给少数股东的股利、利润(万元),3339,3339,2294,3402,3402,3402,2193,3817,2312,2312,1564,1876,1809, 
 支付其他与筹资活动有关的现金(万元),1752,1753,866,122,--,--,--,3,321,321,1010,1622,294, 
 筹资活动现金流出小计(万元),25646,25107,3429,23093,23019,21349,3081,66106,77122,42238,63452,50004,97835, 
 筹资活动产生的现金流量净额(万元),-21349,-23338,-2791,85746,-19113,-18438,-2528,-41546,-30183,-17240,-7265,-7463,11470, 
 汇率变动对现金及现金等价物的影响(万元),-545,-352,-49,1162,815,221,-3,1524,984,409,-586,-224,-101, 
 现金及现金等价物净增加额(万元),-70943,-73721,-85071,96611,-35588,5258,-2895,-26048,17149,7304,15946,-904,16442, 
 加:期初现金及现金等价物余额(万元),150103,150103,150103,53491,53491,53491,53491,79540,62391,62391,46445,47349,30907, 
 期末现金及现金等价物余额(万元),79160,76382,65032,150103,17903,58749,50596,53491,79540,69695,62391,46445,47349, 
 净利润(万元),--,30570,--,45193,--,25171,--,39731,43508,27370,33434,24859,22906, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,1276,--,2300,--,1908,--,963,7057,3073,1897,987,618, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,3552,--,6559,--,3188,--,5972,6226,3255,6076,4830,4815, 
 无形资产摊销(万元),--,239,--,475,--,238,--,446,411,--,387,--,--, 
 长期待摊费用摊销(万元),--,30,--,44,--,22,--,47,19,--,43,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-12,--,-44,--,-25,--,17,-29,--,-38,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,372,--,-953,--,-272,--,-606,971,669,2756,2405,1904, 
 投资损失(万元),--,-2806,--,-2668,--,-846,--,-849,-346,-268,-427,-1286,-543, 
 递延所得税资产减少(万元),--,-368,--,-363,--,-443,--,226,-1054,--,-46,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,3269,--,-14178,--,4655,--,-4240,14643,11543,-6269,-8546,-8693, 
 经营性应收项目的减少(万元),--,-13233,--,-10284,--,-12806,--,10037,-12035,-25200,-6277,-11118,-7803, 
 经营性应付项目的增加(万元),--,17495,--,11890,--,5660,--,8868,-7579,7271,5100,6435,1172, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,-427,--,89,244, 
 经营活动产生现金流量净额(万元),--,40383,--,37971,--,26451,--,60614,51792,27285,36634,18655,14623, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),79160,76382,65032,150103,17903,58749,50596,53491,79540,69695,62391,46445,47349, 
 现金的期初余额(万元),150103,150103,150103,53491,53491,53491,53491,79540,62391,62391,46445,47349,30907, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-70943,-73721,-85071,96611,-35588,5258,-2895,-26048,17149,7304,15946,-904,16442, 

