 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),324969,214312,497767,331216,391472,414029,291919, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),6642,4125,8263,6139,7475,6063,3403, 
 经营活动现金流入小计(万元),331611,218437,506030,337354,398947,420093,295322, 
 购买商品、接受劳务支付的现金(万元),256968,162634,403373,263865,309677,346679,231788, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),31125,20518,39831,30034,32935,28753,16509, 
 支付的各项税费(万元),2609,1816,3713,2929,2554,3583,1958, 
 支付的其他与经营活动有关的现金(万元),32154,22249,46218,34654,40856,44445,31340, 
 经营活动现金流出小计(万元),322856,207217,493135,331482,386023,423459,281596, 
 经营活动产生的现金流量净额(万元),8755,11220,12895,5872,12924,-3366,13726, 
 收回投资所收到的现金(万元),--,--,120,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),11,10,28,--,4,0,1, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),90,80,1249,1169,363,509,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),101,90,1397,1169,367,510,1, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),27777,12466,27579,19793,20625,15668,7275, 
 投资所支付的现金(万元),914,914,1370,120,774,485,700, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,2897,2743,547,--,--, 
 支付的其他与投资活动有关的现金(万元),410,210,1511,1016,200,303,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),29101,13590,33357,23672,22145,16456,7975, 
 投资活动产生的现金流量净额(万元),-29000,-13500,-31959,-22503,-21778,-15946,-7975, 
 吸收投资收到的现金(万元),26392,926,1669,1030,17480,7069,660, 
 其中：子公司吸收少数股东投资收到的现金(万元),1652,926,1669,1030,2101,3769,540, 
 取得借款收到的现金(万元),42920,23120,41113,23610,28205,19930,6290, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),7951,4686,12317,9281,7386,4504,960, 
 筹资活动现金流入小计(万元),77263,28732,55099,33921,53071,31502,7910, 
 偿还债务支付的现金(万元),25703,9843,28605,15900,25070,8030,2940, 
 分配股利、利润或偿付利息所支付的现金(万元),2113,1408,1778,1386,4279,1186,420, 
 其中：子公司支付给少数股东的股利、利润(万元),74,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),6120,4170,9908,6453,5077,7204,2380, 
 筹资活动现金流出小计(万元),33935,15420,40291,23739,34425,16420,5740, 
 筹资活动产生的现金流量净额(万元),43327,13311,14808,10182,18646,15082,2170, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),23083,11031,-4256,-6449,9791,-4230,7922, 
 加:期初现金及现金等价物余额(万元),13782,13782,18039,18039,8247,12478,4556, 
 期末现金及现金等价物余额(万元),36866,24813,13782,11590,18039,8247,12478, 
 净利润(万元),--,7458,10835,--,3869,3922,--, 
 少数股东损益(万元),--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--, 
 资产减值准备(万元),--,905,571,--,779,627,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,3251,4900,--,3210,1600,--, 
 无形资产摊销(万元),--,187,272,--,145,80,--, 
 长期待摊费用摊销(万元),--,364,802,--,603,369,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,27,183,--,133,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--, 
 财务费用(万元),--,1697,2384,--,1889,995,--, 
 投资损失(万元),--,-102,84,--,35,137,--, 
 递延所得税资产减少(万元),--,-215,-804,--,-997,-1370,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--, 
 存货的减少(万元),--,4754,-4298,--,144,-976,--, 
 经营性应收项目的减少(万元),--,-10784,-3448,--,-8969,-8861,--, 
 经营性应付项目的增加(万元),--,3680,1188,--,6783,-529,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--, 
 其他(万元),--,-2,226,--,5300,641,--, 
 经营活动产生现金流量净额(万元),--,11220,12895,--,12924,-3366,--, 
 债务转为资本(万元),--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--, 
 现金的期末余额(万元),36866,24813,13782,11590,18039,8247,12478, 
 现金的期初余额(万元),13782,13782,18039,18039,8247,12478,4556, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),23083,11031,-4256,-6449,9791,-4230,7922, 

