 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),123308,79903,38499,153426,109645,70319,31683,130809,125203,100871,96763, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),1761,1130,440,1636,1235,593,329,1878,2614,1902,2272, 
 收到的其他与经营活动有关的现金(万元),1000,480,366,600,685,164,714,764,316,521,3317, 
 经营活动现金流入小计(万元),126069,81514,39305,155662,111565,71076,32726,133451,128133,103293,102352, 
 购买商品、接受劳务支付的现金(万元),73319,45747,22624,87540,64475,41184,20209,77673,81890,55600,66596, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),29888,20463,9384,37999,26859,17757,8334,29089,22427,18475,14517, 
 支付的各项税费(万元),5934,3939,2622,5674,4093,2822,1960,4213,3892,4071,3029, 
 支付的其他与经营活动有关的现金(万元),10411,6744,5140,11285,8059,5621,3915,8934,9256,8641,11187, 
 经营活动现金流出小计(万元),119552,76893,39770,142498,103487,67384,34417,119909,117466,86787,95329, 
 经营活动产生的现金流量净额(万元),6517,4621,-465,13164,8079,3692,-1691,13542,10667,16506,7023, 
 收回投资所收到的现金(万元),51833,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),291,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),41,41,--,7,7,6,--,4,11,1,78, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,42,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),52166,41,0,7,7,6,0,4,53,1,78, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),3566,1945,389,4528,3620,2122,434,2792,2644,2464,2351, 
 投资所支付的现金(万元),72943,--,1405,122,122,122,122,115,--,--,2572, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),1405,1405,--,8089,8089,8089,--,13283,5172,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),77914,3350,1794,12739,11831,10333,556,16189,7817,2464,4923, 
 投资活动产生的现金流量净额(万元),-25749,-3308,-1794,-12732,-11825,-10327,-556,-16185,-7763,-2463,-4845, 
 吸收投资收到的现金(万元),81122,81122,--,--,--,--,--,--,--,--,4395, 
 其中：子公司吸收少数股东投资收到的现金(万元),1,1,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),16100,13600,7500,16500,16500,13000,6500,13802,7564,8463,18351, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),97222,94722,7500,16500,16500,13000,6500,13802,7564,8463,22746, 
 偿还债务支付的现金(万元),14503,9500,4000,12704,8704,7704,2521,10324,7894,14300,13055, 
 分配股利、利润或偿付利息所支付的现金(万元),4980,4818,184,3401,3118,535,185,2357,1657,1650,11789, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),1564,1410,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),21048,15729,4184,16105,11822,8240,2707,12682,9552,15950,24845, 
 筹资活动产生的现金流量净额(万元),76175,78994,3316,395,4678,4760,3793,1120,-1988,-7487,-2098, 
