 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),9950,41667,19621,13406,6802,36851,31066,19752,15691,44237,32161,27716,16245,49022,23836,51701,36940,24197, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),139,19136,19111,15911,2985,3333,4128,2798,1477,1481,1005,747,183,6880,6551,1700,3979,251, 
 经营活动现金流入小计(万元),10090,60803,38732,29317,9787,40184,35194,22550,17168,45717,33166,28463,16428,55902,30387,53401,40919,24448, 
 购买商品、接受劳务支付的现金(万元),15349,37752,27047,17721,6574,29114,23010,17985,12200,35554,32556,22744,12212,46068,36709,31071,33018,24534, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),1132,4033,2663,1590,870,2968,1862,1191,511,2832,1878,1165,429,3115,2073,3055,2841,1572, 
 支付的各项税费(万元),370,2691,2854,2045,474,2984,2899,2583,881,3286,2522,2179,895,3891,3377,2518,3271,3241, 
 支付的其他与经营活动有关的现金(万元),2877,23943,18188,17033,13630,5111,5421,4619,1427,2247,1796,1449,677,7940,7083,2769,4228,1412, 
 经营活动现金流出小计(万元),19727,68419,50752,38389,21548,40177,33192,26378,15019,43918,38752,27538,14212,61014,49242,39412,43357,30759, 
 经营活动产生的现金流量净额(万元),-9637,-7616,-12020,-9072,-11761,7,2002,-3829,2149,1799,-5586,926,2216,-5112,-18855,13989,-2438,-6312, 
 收回投资所收到的现金(万元),--,10000,10000,10000,10000,30000,15000,--,1500,--,--,--,--,--,--,--,--,118, 
 取得投资收益所收到的现金(万元),--,74,74,74,77,225,110,--,290,--,--,--,--,--,--,5,--,--, 
