 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),30649,135335,85675,55843,36859,126530,94641,59117,30909,94259,51906,38221,25526,98369,88202,71649,67202, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),1202,1018,976,679,609,427,198,115,52,779,540,441,365,2087,2012,1350,20, 
 收到的其他与经营活动有关的现金(万元),5385,1371,6202,1289,584,1161,937,730,1378,2038,1156,964,332,2274,626,1354,1119, 
 经营活动现金流入小计(万元),37235,137724,92853,57811,38052,128118,95777,59962,32339,97076,53602,39626,26223,102731,90840,74353,68340, 
 购买商品、接受劳务支付的现金(万元),22875,80589,62595,35935,21241,86881,64711,38908,27778,61112,26465,17187,12917,58144,58142,38003,41243, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),7984,27602,20286,13339,6844,24869,18658,12557,5876,22240,16343,10649,4873,19090,15810,12426,9738, 
 支付的各项税费(万元),2033,7352,4952,3253,1431,4916,3766,2814,1693,6014,4259,2852,1296,4748,3179,3825,3220, 
 支付的其他与经营活动有关的现金(万元),3098,6728,1716,2476,955,6658,3884,2883,1031,5748,4090,2400,1256,3935,3664,3196,2143, 
 经营活动现金流出小计(万元),35991,122270,89547,55003,30472,123325,91019,57164,36377,95114,51156,33088,20343,85917,80795,57450,56344, 
 经营活动产生的现金流量净额(万元),1244,15454,3305,2808,7580,4793,4758,2799,-4039,1963,2445,6538,5880,16814,10045,16903,11996, 
 收回投资所收到的现金(万元),--,--,--,--,--,1052,1048,1048,--,--,--,--,--,--,--,--,35, 
 取得投资收益所收到的现金(万元),7,24,16,12,8,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),8,208,48,23,6,22,103,8,1,4,7,7,--,197,190,40,64, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),2051,2099,1268,1208,255,478,88,115,--,422,196,196,--,--,352,808,2250, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),2066,2331,1331,1243,268,1552,1238,1171,1,426,202,202,0,197,542,848,2348, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),4548,15129,13125,11144,8877,19292,20237,14860,7673,17408,11785,9053,2889,17190,19492,13839,11264, 
 投资所支付的现金(万元),--,--,--,--,--,3000,3000,3000,--,1000,1000,1000,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),1,3000,54,54,--,--,1000,--,--,--,--,--,--,--,65,227,150, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),4549,18129,13179,11198,8877,22292,24237,17860,7673,18408,12785,10053,2889,17190,19557,14066,11414, 
 投资活动产生的现金流量净额(万元),-2483,-15798,-11848,-9955,-8609,-20740,-22999,-16690,-7672,-17982,-12583,-9850,-2889,-16993,-19016,-13219,-9066, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,--,--,31131,--,--,--,--,--,--,4450, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
