 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2012-06-30,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),48650,201565,147495,102616,47489,163238,113772,76682,37118,158342,109043,66568,33029,134198,98800,64710,111996,103612,50265,99638,97312,68281, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),1365,2013,2003,1277,1207,1209,1209,1209,--,861,861,861,--,658,658,658,124,320,320,550,132,644, 
 收到的其他与经营活动有关的现金(万元),454,1183,475,359,46,1023,1016,990,717,3156,644,477,15,2292,1680,460,1073,3100,1701,436,1393,449, 
 经营活动现金流入小计(万元),50469,204761,149973,104252,48742,165471,115998,78882,37835,162359,110548,67907,33045,137147,101138,65828,113193,107032,52286,100625,98836,69374, 
 购买商品、接受劳务支付的现金(万元),27288,133317,98616,64700,31095,80669,54240,36715,18612,92070,61511,36227,16912,76069,59265,37513,61936,65128,32109,70309,62035,41683, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),8062,26094,19695,12642,7195,23835,18918,12681,7398,19493,15779,10718,4718,16935,12729,8512,14276,13790,7095,14138,11459,7175, 
 支付的各项税费(万元),1585,13975,8404,7107,1823,11901,6931,6652,1793,13336,8553,6717,2941,11258,8636,5356,6406,5796,2527,5884,5255,3514, 
 支付的其他与经营活动有关的现金(万元),5354,14356,12285,8085,3851,13402,9789,7441,3234,12398,8898,5428,2721,9150,6472,4325,9558,6182,2998,7833,6854,7519, 
 经营活动现金流出小计(万元),42289,187742,139000,92534,43964,129808,89878,63490,31036,137297,94740,59089,27291,113412,87102,55706,92176,90895,44728,98164,85603,59892, 
 经营活动产生的现金流量净额(万元),8179,17019,10973,11718,4778,35663,26120,15392,6799,25062,15808,8818,5754,23736,14037,10122,21017,16136,7558,2461,13233,9482, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,200,200,--,--,--,100,21,205, 
 取得投资收益所收到的现金(万元),74,2228,2156,1626,802,2566,2189,1604,927,353,139,6,--,4,4,4,2,2,2,2,2,3, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),778,753,130,136,60,364,439,86,22,24,22,18,--,181,16,16,143,22,9,414,163,150, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),20700,99334,97704,73534,39405,294617,244260,181660,65910,51000,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),21552,102315,99989,75296,40267,297547,246888,183350,66858,51377,161,24,0,185,220,220,146,24,11,516,186,358, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1729,21096,13107,6089,2946,13862,8845,6489,1583,8993,5663,3250,1797,9606,5997,4715,8148,7544,4637,13115,12686,8615, 
 投资所支付的现金(万元),400,105,131,105,--,--,--,--,--,--,58900,--,--,--,400,400,--,--,--,852,1101,10, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
