 报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),77295,48762,22100,72799,47803,28433,11622,54872,33843,20740,8958,46507,32533,20552,8300,42515,29657,19244,7127,40221,28035,32753,26437, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),3682,2299,469,1060,1831,1101,452,3130,1465,870,494,1420,1469,1153,592,1525,1148,613,2197,415,317,585,1745, 
 经营活动现金流入小计(万元),80978,51061,22569,73858,49634,29534,12074,58003,35308,21609,9451,47927,34002,21705,8892,44039,30804,19856,9325,40635,28352,33338,28182, 
 购买商品、接受劳务支付的现金(万元),13751,8611,3925,32016,26905,16586,5040,23575,14098,8236,3471,15813,12987,7593,3469,20147,15188,10499,8013,16497,13305,19108,13174, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),7116,4656,2454,9644,7226,5115,2903,8326,6241,4242,2353,6552,4682,3115,1674,5062,3815,2590,1380,4149,3055,3471,2531, 
 支付的各项税费(万元),10802,6387,2733,9358,6894,4202,1959,6359,4858,3149,1446,6894,5987,3993,1386,5377,3690,2263,942,4355,2952,4434,3503, 
 支付的其他与经营活动有关的现金(万元),35507,23461,9044,21240,11778,5627,2555,7873,5985,4046,1767,9611,5799,3614,1568,4036,2684,1625,1649,3339,2279,3906,2458, 
 经营活动现金流出小计(万元),67176,43115,18156,72258,52803,31530,12456,46133,31182,19673,9036,38870,29455,18316,8098,34623,25377,16978,11983,28339,21591,30917,21666, 
