报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),167203,160702,163199,141800,134656,135750,100664,92410,75938,89485,87868,106911,95950,133178,112263,139512,159255,194917,127915,178814,228034,200654,202239,214172,186841,237324,297402,262317,210143,280241,303491,202978,179633,192976,132263,131930,119016,121146,103193,101133,99347,111845,105777,46063,40431,34989,42314,32512,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
应收票据(万元),27730,56755,34482,38636,37316,43889,51250,33837,30668,35349,27463,21459,20590,36808,30015,38600,45574,70152,83560,51465,45457,59621,46378,53408,49696,57181,39417,34723,94896,88691,63745,36611,36717,32559,13904,12884,21197,15133,11577,8836,12959,15679,17526,17313,15898,20169,10596,11451,
应收账款(万元),204525,221660,213277,161696,183130,197221,195491,184937,201341,206814,219780,177364,215504,218091,215014,218934,246796,240433,262259,236479,296927,317332,325331,272169,244351,221836,225584,196994,213648,219683,268786,144693,183189,194371,181315,85848,89221,68577,80275,52194,67980,74275,70740,58396,63988,60497,55636,46322,
预付款项(万元),29646,23322,28445,29418,27496,20889,26451,22993,21793,20129,25046,23638,38730,24200,41340,37949,49348,43608,48133,52737,79077,56647,91320,74595,95650,118381,118666,156997,89986,126932,120400,99530,56494,55629,45717,29357,22377,17632,22617,16112,29000,29962,32130,23651,21207,15177,17168,14489,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
应收股利(万元),--,3773,--,--,12,--,--,--,--,12,--,--,--,--,--,--,--,--,--,--,--,662,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
其他应收款(万元),26019,26308,39440,40724,39980,28022,28472,28860,9623,8702,9664,11595,10184,12615,11115,14127,11103,13033,14045,14748,35570,31776,28934,26528,23042,24944,23281,28964,26440,27648,22097,12944,20885,12478,8429,6863,4043,6980,6323,7714,9472,7067,8241,6549,3551,5316,4008,4777,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
存货(万元),174302,157700,169520,168411,136967,148667,164598,153019,141043,137905,144491,152016,171285,182793,223589,212927,203954,208643,250450,252137,262484,252340,277554,249680,281796,306420,329545,321613,365381,351525,290246,258783,175035,149717,142317,134931,98470,107379,104513,124393,125321,106462,90184,86143,74478,70502,71776,60676,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
