报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),258998,410813,303100,301417,303339,442066,413791,371039,637235,625045,407060,306090,123559,229181,208372,133388,270428,306892,191205,242362,218243,191007,202002,240041,133361,74720,62704,53313,37745,47438,40146,33854,57603,37672,43520,66205,39220,17651,70542,70701,39216,41888,53269,37862,37917,32806,38257,76774,73916,29908,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,--,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,1463,1463,4350,6332,8117,10953,19721,18796,21154,25199,26053,27837,31292,33132,35166,30404,30178,29558,24755,17161,16937,18158,16985,16716,24481,9803,--,--,--,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,--,--,0,
应收票据(万元),10100,19403,6976,14466,13265,13978,9894,10154,12121,9890,15099,17825,23186,19670,25426,10990,20184,8607,7098,7461,11122,5490,2351,3189,1575,2882,3483,90,838,1438,1401,2132,1711,3341,4079,723,4710,2667,7786,2510,365,6059,2835,3365,5388,5288,8357,4735,7658,2580,
应收账款(万元),346757,300941,297136,297697,264779,255475,234697,228464,204059,183087,174278,163969,148505,148299,148717,190960,149193,133007,184522,200746,192138,144579,135473,130658,170971,74483,72480,75006,70331,55512,43813,57111,45558,42509,43437,49735,61651,41173,31958,51005,46428,25941,29521,28062,36775,47507,28429,32614,38434,13954,
预付款项(万元),48887,27399,37466,59172,54168,33306,113603,84855,81668,63238,33591,15432,29310,12497,31125,12716,28381,23142,94798,94167,95351,29916,42500,47945,55676,14202,28251,25996,29460,12667,24678,17564,35080,33109,40478,42737,49489,44292,37464,33026,42653,29399,76155,64503,48855,49996,27630,10144,5920,14037,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,--,--,0,
