报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2006-12-31,2005-12-31,
货币资金(万元),267141,361294,253689,233115,196739,275879,158092,178135,195036,175578,92511,106107,103028,132073,107527,127227,164738,181859,147988,151037,64255,90948,53816,37660,25363,50256,33409,46597,60080,72023,55262,46515,47757,47942,41809,40355,39018,41446,37164,40778,4963,8849,2893,6811,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,0,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,0,0,0,--,
交易性金融资产(万元),269,--,--,--,6,--,--,--,--,--,26,250,58,238,123,155,163,148,48,--,--,--,--,317,--,--,--,--,--,27,--,0,--,0,3,3,3,3,--,--,0,0,0,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,0,0,0,--,
应收票据(万元),202657,243130,179931,121448,99897,114821,62936,52147,56749,109474,57514,54244,51088,42912,10739,10997,4138,13313,4389,7095,3264,6472,4710,698,1405,2730,3277,946,1791,979,276,347,232,388,328,270,432,299,416,128,329,51,15,1060,
应收账款(万元),739748,753994,709819,693439,590450,620556,555955,531617,458755,497477,371606,329173,276110,275902,260883,268242,227273,212722,158846,136651,104424,97338,96075,88355,75160,67703,63006,54894,40499,39053,39327,35893,26843,27133,23859,19464,17491,16259,17803,17129,11563,12230,9456,7873,
预付款项(万元),16016,15436,8387,7784,7442,6693,7343,5738,4379,3099,2603,3147,3600,2525,3490,3109,5796,4691,2275,3088,2234,1095,6472,2682,3023,1263,1434,2729,1219,1545,2755,3042,2600,828,1194,432,322,308,800,631,479,332,200,457,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,0,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,0,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,0,0,0,--,
应收利息(万元),938,922,1638,1128,851,1708,1958,1717,1347,583,410,309,619,426,452,823,2204,1615,923,361,886,856,658,306,161,129,251,468,407,300,93,171,306,384,828,840,623,497,--,--,0,0,0,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,0,0,0,--,
其他应收款(万元),36335,28306,39487,39667,26788,21662,23170,22980,15320,10187,23325,12276,9539,7490,9994,13228,8431,4072,6927,5987,6650,4216,7424,7476,6740,4076,4748,5014,4248,2935,3682,2546,1859,1405,1551,1074,897,951,3911,987,976,659,5816,961,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,0,0,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,0,0,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,0,0,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,0,0,0,--,
