报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2006-12-31,2005-12-31,
货币资金(万元),132243,196093,192712,193313,171616,166364,149425,158904,182139,178094,140707,80250,81593,81004,77803,138456,129643,120211,171159,131711,136586,114179,117393,124098,123768,117985,130568,148178,66977,55463,45381,52265,51433,67262,79355,84857,81723,77662,66879,66700,81409,12151,11982,9396,8464,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,0,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,0,0,0,--,
交易性金融资产(万元),16,1396,1386,1562,1226,27,328,80,152,96,388,18,23,18,19,191,157,590,3489,2393,1142,93,558,202,12,391,846,1252,778,127,308,15,16,19,21,19,21,15,11,38,30,27,713,190,24,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,0,0,0,--,
应收票据(万元),137939,163884,179300,149933,134864,101789,112308,97228,94942,78446,73193,82415,75684,50188,49202,56056,59177,49911,22979,36308,36006,29436,22945,32365,31664,19274,18634,20130,34213,24476,9444,11486,17637,13545,14141,3785,3268,4085,7635,13313,4979,4961,1876,2223,1366,
应收账款(万元),256690,243460,233972,197116,213491,202669,182857,167840,157256,134976,102555,83644,93009,93959,80665,81011,87633,90669,48279,48610,59347,57122,48039,42044,52102,45960,39349,31154,35445,38190,37851,25543,28706,29398,19526,17177,19502,21634,13037,16559,28100,24844,18953,14815,13698,
预付款项(万元),28241,49246,41802,40414,28112,31501,41341,19093,16301,29682,12193,19876,18031,17879,17606,22588,16751,24774,23424,25939,21119,21762,18726,21383,20441,23362,18499,15942,13367,14099,10314,10643,10086,6584,4943,3653,3154,3823,2783,1681,1725,1552,1468,1501,2318,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,0,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,0,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,0,0,0,--,
应收利息(万元),133,--,132,--,--,--,152,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,0,0,0,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,0,0,0,--,
其他应收款(万元),12919,9857,13778,30808,3274,3570,3565,1608,1689,10731,8976,6898,8611,2789,5524,3786,2375,2314,2410,6961,5571,5388,3158,2892,4267,5975,4976,4598,4700,4440,2130,2746,1911,2067,259,870,302,667,431,1022,271,1197,950,4295,4925,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,0,0,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,0,0,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,0,0,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,0,0,0,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,0,0,0,--,
存货(万元),197188,187515,176812,169209,147680,157094,137116,130289,129870,136082,101697,108248,112284,108084,101875,81308,75866,81693,66392,53639,57103,59701,53386,52334,52680,59687,61240,60264,52466,50807,38200,31586,29176,30455,20635,15874,14152,17518,20394,24699,23643,29213,22298,19482,14398,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,0,0,0,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,0,0,0,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,1,0,0,--,
其他流动资产(万元),72724,25181,26728,20449,22523,25909,50082,50131,13546,32681,9617,49117,49887,49307,74906,50067,151,732,162,103,435,350,378,38,53,91,18,39,56,119,82,141,27,868,23,0,0,0,0,7,7,0,0,20,24,
流动资产合计(万元),838093,876633,866623,802803,722787,688923,677172,625172,595893,600789,449324,430464,439121,403227,407599,433465,371752,370894,338293,305663,317309,288031,264582,275356,284987,272725,274129,281557,208002,187723,143710,134424,138992,150197,138904,126234,122121,125404,111171,124018,140164,73946,58242,51923,45215,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,0,0,0,--,
可供出售金融资产(万元),57953,61864,74688,80758,60763,48768,42476,48917,21721,22071,13386,75,70,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,0,0,0,0,0,0,0,0,--,
