报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2007-12-31,2006-12-31,2005-12-31,
货币资金(万元),68192,60243,30616,41006,50528,30305,29684,27802,37250,15784,29400,29728,30388,26480,34512,39726,33517,34578,57531,67393,67532,75689,103332,106735,94479,55856,84066,92079,67047,40453,56282,34237,47116,26931,43972,34439,41918,36198,40750,43857,47493,12090,11461,4515,2845,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,3731,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
应收票据(万元),--,--,20,338,--,--,--,658,--,276,139,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,1,--,0,--,--,--,0,0,0,0,
应收账款(万元),21592,17051,21088,16701,12189,10768,8963,18578,9271,5640,5713,1562,1838,1236,1595,1159,1283,980,1238,1361,2183,1725,2061,1372,2975,1647,1667,1276,1231,878,905,867,1048,1060,1078,958,697,625,537,257,299,373,348,385,250,
预付款项(万元),10635,9952,17648,20935,16696,10931,11484,9859,10308,7166,10591,20586,7293,7646,7847,7460,11494,11421,11074,8961,59920,40106,34257,30190,52627,60838,53228,29915,14643,13505,15428,16172,13633,11600,11794,7715,7066,3120,7629,5453,5955,2913,1411,1244,1120,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
应收利息(万元),--,--,--,--,--,--,--,--,29,--,--,--,7,5,18,12,47,13,22,13,450,316,231,6,38,31,2,20,5,14,--,5,--,0,1,4,--,24,24,36,--,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,1950,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,
其他应收款(万元),32112,33993,24268,22297,24465,22998,26045,26715,28563,28272,27224,27637,29569,29701,33903,31944,35937,34582,33686,32052,34365,31112,30982,23611,22054,24306,12545,11353,11766,11647,13052,12470,9269,8595,6384,5582,6296,4842,4139,3930,3983,3011,2226,7237,7725,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
存货(万元),83165,82085,87260,82800,76634,68644,72570,84882,72435,70562,72781,70088,70602,66737,71388,72635,71644,66297,63510,69914,88799,76323,78346,71941,65188,58603,55890,63643,51734,46060,46487,48811,40736,36262,37183,32403,28357,24224,20835,22848,18887,14957,13633,8165,5779,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,
其他流动资产(万元),8357,9659,9588,9671,11903,25461,33836,37979,35180,18653,20283,20321,20906,22548,22926,19161,19788,19872,13649,13589,1662,1392,1098,959,1260,941,1354,1044,853,765,806,593,812,580,791,850,482,549,594,364,363,77,523,39,8,
流动资产合计(万元),224054,212984,190489,193748,192415,169106,182582,206474,193035,146352,166131,169922,160603,154353,174139,172098,173709,167742,180710,193283,254912,226662,250307,234814,238620,202221,208753,199330,147278,113322,132960,113156,112612,85029,101203,81953,84817,69582,74508,76746,76980,33421,29601,25316,17727,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
可供出售金融资产(万元),2995,1335,1335,1335,3381,3381,5429,5479,5479,67233,67233,66895,66800,66800,66800,66800,66800,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,6240,7240,7240,7240,7240,7240,6040,6040,4840,4840,4840,4840,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,
长期股权投资(万元),1000,8939,9657,--,--,--,--,--,--,--,--,--,--,--,--,--,--,68240,68240,68240,2240,2240,2240,2240,3500,800,800,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,
固定资产原值(万元),--,74952,--,74594,--,73106,--,73481,--,72907,--,71448,--,75155,--,73883,--,67489,--,66348,--,65046,--,62004,--,52566,--,50177,--,47415,--,44934,--,42243,--,38640,--,31730,--,26316,--,--,20528,16439,--,
累计折旧(万元),--,42495,--,40222,--,38855,--,38408,--,36144,--,33376,--,35544,--,33192,--,30324,--,27541,--,30918,--,28035,--,22419,--,19905,--,17385,--,14815,--,12261,--,10052,--,8299,--,7020,--,--,5267,3520,--,
固定资产净值(万元),--,32457,--,34372,--,34251,--,35073,--,36763,--,38071,--,39610,--,40690,--,37165,--,38807,--,34128,--,33969,--,30148,--,30271,--,30029,--,30119,--,29981,--,28588,--,23432,--,19296,--,--,15262,12919,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,0,0,--,
固定资产(万元),33636,32457,33526,34372,35100,34251,34317,35073,35740,36763,37758,38071,39722,39610,40098,40690,36465,37165,37792,38807,34507,34128,34036,33969,30050,30148,29876,30271,30064,30029,30515,30119,29837,29981,29920,28588,24023,23432,20131,19296,15635,15372,15262,12919,7057,
在建工程(万元),--,38,29,16,16,16,127,65,--,--,--,--,--,--,--,--,10295,9894,8881,8640,12653,11541,11119,10072,7329,6539,6308,5330,6555,5797,3115,2567,28,18,--,0,--,0,--,--,--,0,0,0,0,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,
无形资产(万元),2983,3036,3093,3165,3225,3267,2954,2948,2993,2974,2948,2919,2904,2952,2998,3047,3078,2987,3037,3083,3117,3078,3141,2904,2788,2822,2856,2890,652,670,191,200,192,207,221,220,211,223,106,111,116,23,26,4,2,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,
商誉(万元),67760,67760,67760,67760,67760,67760,67760,67760,67760,67760,67760,--,--,--,--,--,--,--,--,--,--,--,--,--,1005,1005,1005,1005,1005,1005,1005,1005,2728,2728,2728,2728,2728,2728,--,--,--,0,0,0,0,
长期待摊费用(万元),34702,35546,36769,37581,38252,38123,38671,39171,40829,41703,43011,43366,52924,49490,51949,51560,46903,47067,46895,47163,46459,49487,49274,48839,35224,36506,36444,38551,31151,31587,28886,29440,25211,25173,25546,24162,18341,18140,15560,9603,8574,7228,7039,5347,3759,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
