报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),115513,215786,215330,209658,196908,207201,207653,75427,69050,76840,82379,79642,81321,90819,95370,88681,78979,79989,73020,78422,69957,68263,66801,59328,56765,62391,61529,64957,82893,91553,109099,132327,139928,142868,142368,24617,20530,14865,5434,2071,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收票据(万元),3951,5199,4990,5061,3088,3510,2327,3983,4427,4281,2620,2342,4774,5299,4347,1774,2581,3176,4394,1288,866,1121,688,902,1278,875,261,268,215,52,--,--,28,112,0,91,0,0,0,80,
应收账款(万元),79305,76081,86293,80213,71769,62348,68078,64494,46458,42913,48742,45622,44707,41331,40178,39560,37988,33235,36537,32234,31814,27053,29569,25600,23417,21577,23974,24779,21836,19227,19335,21396,21388,17562,17875,16508,14655,14299,11351,6949,
预付款项(万元),1471,2509,841,1322,1611,1239,1054,933,2764,3331,949,827,1213,6545,618,1776,1654,1718,1530,745,1308,1123,1578,9580,10168,4850,5674,11344,5618,7591,4819,2346,2346,1237,26,303,236,342,195,919,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收利息(万元),618,660,1374,2613,2138,1347,518,1604,1598,1325,1014,773,820,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收股利(万元),--,--,6,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,209,0,0,--,--,
其他应收款(万元),5539,8339,6443,5932,6126,7848,6248,4898,4616,4841,3574,3147,2602,2929,2208,1750,2208,1801,1706,852,792,938,647,543,744,582,678,670,685,652,536,956,433,283,250,5356,217,122,2099,49,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
存货(万元),80323,73567,65402,62984,43865,42004,38578,32105,33201,33464,36519,38855,35162,33583,29655,29970,27216,25480,24662,17980,18748,17969,16922,15531,16322,15810,14667,17206,13943,8500,6226,7074,5463,4700,5062,0,5243,5248,6005,6188,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
其他流动资产(万元),80714,5372,5438,2687,640,2174,586,506,683,55,371,--,--,82,43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
流动资产合计(万元),367433,387512,386116,370476,326146,327670,325042,183951,162797,167050,176168,171207,170598,180588,172420,163512,150625,145399,141849,131521,123486,116467,116205,111484,108693,106085,106783,119224,125190,127574,140015,164099,169587,166761,165581,47084,40880,34877,25084,16256,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
可供出售金融资产(万元),100,100,100,190,90,90,90,90,90,90,90,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,618,680,779,782,728,676,642,632,584,550,552,544,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
投资性房地产(万元),46455,44363,44363,43992,34397,32462,32462,25240,25207,24893,24900,22788,735,742,748,724,730,737,743,749,904,762,666,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
固定资产原值(万元),131957,--,125052,--,120206,--,117340,--,111669,--,109761,--,103731,--,98734,--,98345,--,97214,--,85046,--,84229,--,81724,--,66040,--,21738,--,14162,--,12372,--,11806,0,10449,9035,--,--,
累计折旧(万元),40942,--,38099,--,40495,--,37439,--,34468,--,31359,--,29157,--,24598,--,21793,--,18907,--,13284,--,10933,--,8520,--,6791,--,5741,--,5021,--,4439,--,3896,0,3461,3201,--,--,
固定资产净值(万元),91015,--,86952,--,79711,--,79901,--,77202,--,78402,--,74574,--,74135,--,76552,--,78307,--,71762,--,73296,--,73204,--,59249,--,15998,--,9142,--,7933,--,7910,0,6988,5834,--,--,
固定资产减值准备(万元),18,--,18,--,18,--,18,--,18,--,18,--,19,--,18,--,1,--,18,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
固定资产(万元),90997,87660,86934,74681,79693,79533,79883,76519,77184,79661,78384,74215,74555,75728,74117,75372,76551,77229,78289,71027,71762,72022,73296,74777,73204,59634,59249,23626,15998,9322,9142,8280,7933,7798,7910,6904,6988,5834,6349,4983,
在建工程(万元),26525,25297,23914,25491,15303,11097,7858,9297,8746,6718,5931,5614,4627,3901,2976,2835,2745,3185,2784,2494,2618,3508,2813,2807,4845,18926,18604,52079,53883,50063,41894,20383,7256,2247,243,1073,1028,0,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
生产性生物资产(万元),161,112,90,61,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
无形资产(万元),42036,42178,39308,34686,34894,24627,24456,22187,22283,20526,20606,21114,21227,21372,21092,21223,21353,21513,21614,21745,21871,22042,22134,14090,14178,14253,14340,8067,8094,8144,8163,6249,5550,5586,5621,5654,5690,5760,0,0,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
商誉(万元),2998,2998,2998,5074,5107,5143,5155,12039,12025,11978,11988,19767,19679,19679,17489,17489,17489,17489,17489,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
长期待摊费用(万元),1918,2085,2138,2103,1748,1642,1493,1456,1521,1494,1400,1296,1345,1332,1173,1234,1244,1084,1020,986,974,910,951,1037,782,516,461,613,318,121,46,30,1,-6,9,14,18,26,44,42,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
递延所得税资产(万元),1354,1355,1355,1191,1193,1170,1170,884,876,893,893,443,419,430,421,436,436,433,433,333,320,298,298,224,224,227,227,183,183,164,157,171,171,141,141,138,154,151,65,22,
其他非流动资产(万元),21014,5392,5807,6968,4439,5400,3962,3756,2193,1874,1507,1698,23482,1441,1494,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,417,443,
非流动资产合计(万元),233558,211540,207006,194437,176904,161163,156529,152086,150804,148906,146482,147664,146746,125267,120142,119896,121099,122220,122916,97334,98450,99542,100157,92935,93233,93556,92882,84568,78475,67814,59402,35113,20912,15765,13925,13783,13879,11771,6876,5491,
资产总计(万元),600991,599052,593122,564913,503050,488833,481570,336037,313601,315955,322650,318871,317343,305855,292562,283408,271724,267619,264765,228855,221936,216009,216362,204420,201926,199641,199665,203792,203664,195388,199417,199212,190498,182526,179506,60867,54759,46648,31960,21747,
短期借款(万元),40818,41767,35383,27516,11165,5217,200,200,200,200,--,--,350,450,--,350,400,450,1462,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,10,0,0,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应付票据(万元),46170,42752,44020,48515,25881,36615,32189,26352,18950,22768,21666,20878,18067,18353,21794,20755,12012,19301,18650,16176,12900,8682,14179,9170,10061,10420,11429,13963,9629,9339,8573,7873,7544,7030,6358,4537,3721,4140,2478,2052,
应付账款(万元),50113,41122,48484,39295,31346,23811,31483,31531,27433,31372,40305,35211,35594,32884,27779,25690,31928,23056,25479,19295,20026,24307,22001,20668,20716,20689,21469,21546,26290,20703,23732,24911,20315,18114,18494,14490,12915,11563,11207,7319,
预收账款(万元),1842,1531,1442,1766,889,1259,938,1098,1012,1038,783,970,1261,742,819,996,401,1106,707,--,123,--,128,--,28,--,169,--,--,--,245,--,0,63,22,735,1069,1609,324,349,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应付职工薪酬(万元),2462,1391,3379,1694,1623,1422,2148,1095,778,980,1886,936,920,1114,767,744,675,765,701,465,473,482,469,469,495,506,634,478,471,465,460,411,403,399,390,448,446,463,258,405,
应交税费(万元),3485,3674,3573,4637,3417,3213,4052,4310,2409,904,2440,2382,2472,1689,2140,3509,2651,2171,2483,1226,212,-1699,-1800,-3668,-4553,-4532,-4696,-4197,-2912,-2304,-932,776,1576,1291,1263,1136,1183,1113,129,864,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1234,--,--,--,--,--,--,189,2539,--,--,--,0,--,0,0,0,0,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
其他应付款(万元),2315,2642,3553,2962,2373,2380,1953,3815,1516,5248,5439,14791,14658,15232,12786,12809,12847,14130,13106,155,131,125,125,380,521,590,522,417,202,29,145,523,218,43,98,16,13,28,40,328,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
一年内到期的非流动负债(万元),--,--,--,265,363,628,573,551,617,593,800,806,765,983,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2180,--,0,--,0,0,0,0,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
流动负债合计(万元),147205,134879,139835,126651,77056,74544,73536,68953,52914,63103,73318,75974,74089,71448,66085,64854,60913,60978,62605,37316,35099,31896,35102,27021,27268,27673,29526,32396,36218,28233,34404,34494,30056,26940,26626,21361,19346,18926,14437,11316,
长期借款(万元),--,--,--,117,152,41,228,342,426,550,689,837,495,512,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2155,2131,2107,2082,2058,2034,0,0,0,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
长期应付款(万元),--,--,--,167,185,189,206,210,215,45,43,85,207,226,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
长期递延收益(万元),8949,8974,5539,964,989,1013,1039,1188,1214,1238,1256,1078,987,606,741,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,
递延所得税负债(万元),2210,2208,2206,2138,2135,2164,2162,1018,1013,1002,1001,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,828,681,729,774,400,400,400,400,400,400,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
非流动负债合计(万元),11160,11183,7745,3386,3460,3407,3636,2758,2869,2835,2988,2000,1688,1344,741,828,681,729,774,400,400,400,400,400,400,0,0,0,0,0,0,2155,2131,2107,2082,2058,2034,0,0,0,
负债合计(万元),158365,146061,147579,130037,80516,77951,77172,71711,55783,65938,76306,77974,75777,72792,66826,65682,61594,61707,63379,37716,35499,32296,35502,27421,27668,27673,29526,32396,36218,28233,34404,36650,32187,29047,28708,23419,21380,18926,14437,11316,
实收资本(或股本)(万元),154232,154232,154232,154232,154232,154232,154232,143040,143040,143040,143040,143040,71520,71520,71520,71520,71520,35760,35760,17880,17880,17880,17880,17880,17880,17880,17880,17880,17880,17880,17880,17880,17880,17880,17880,13380,13380,13380,13380,1000,
资本公积(万元),129163,129235,129235,129235,129235,129235,129235,1616,1616,1616,1616,1616,51680,51680,51680,51680,51680,87440,87440,105320,105320,105320,105320,105320,105320,105320,105320,105320,105320,105320,105320,105320,105320,105320,105320,7,7,7,7,0,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
盈余公积(万元),12252,12180,12252,11421,11421,11421,11421,10141,10141,10141,10141,8179,8179,8179,8179,7029,7029,7029,7029,6192,6192,6192,6192,5284,5284,5284,5284,4105,4105,4105,4105,2728,2728,2728,2728,1425,1425,1425,414,1247,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
未分配利润(万元),128092,138952,130704,121506,114546,105371,100110,100228,93700,86106,82483,80726,102980,94548,88490,81705,74610,70661,66347,61932,57219,54464,51602,48624,45897,43621,41791,44218,40237,39924,37742,36655,32392,27552,24870,22635,18566,12909,3723,8184,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,1,0,0,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-180,-182,-202,-184,-174,-143,-135,-109,-122,-136,-136,-126,-95,-73,-33,-22,-9,-1,0,0,1,1,0,0,
归属于母公司股东权益合计(万元),430665,440878,432972,422835,411322,401185,395989,255572,248996,241249,237654,233649,234130,225726,219671,211748,204658,200708,196374,191139,186436,183712,180859,176999,174258,171968,170138,171396,167446,167156,165014,162562,158311,153479,150798,37447,33379,27722,17523,10431,
少数股东权益(万元),11961,12113,12571,12042,11212,9696,8409,8754,8822,8769,8690,7249,7436,7337,6065,5978,5472,5205,5012,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
所有者权益(或股东权益)合计(万元),442626,452991,445543,434876,422534,410882,404398,264326,257818,250018,246344,240897,241566,233063,225736,217726,210130,205912,201386,191139,186436,183712,180859,176999,174258,171968,170138,171396,167446,167156,165014,162562,158311,153479,150798,37447,33379,27722,17523,10431,
负债和所有者权益(或股东权益)总计(万元),600991,599052,593122,564913,503050,488833,481570,336037,313601,315955,322650,318871,317343,305855,292562,283408,271724,267619,264765,228855,221936,216009,216362,204420,201926,199641,199665,203792,203664,195388,199417,199212,190498,182526,179506,60867,54759,46648,31960,21747,		
  
