报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),7471,9994,7804,7080,4649,8012,9092,9134,11739,13562,8415,7347,16962,10166,15521,8581,10472,7315,9760,4926,2949,9684,1542,5733,6908,17731,35773,32146,21036,25316,25996,32748,33910,33979,36169,6301,8933,8734,4544,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
交易性金融资产(万元),1000,--,430,5456,2851,--,1615,0,11,6,21,20,30,22,--,--,--,--,--,39,3,37,3,3,3,11,3,2,3,2,2,3,3,3,3,3,35,2,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收票据(万元),1106,7032,3687,4868,2349,5216,1854,1074,1500,956,362,1022,1742,5602,1258,2895,1197,2978,507,645,503,2016,323,611,873,1388,200,590,1456,2041,795,380,1229,4112,868,482,305,73,43,
应收账款(万元),17143,17904,24413,25805,26638,30215,31455,31648,30250,31833,32625,40586,34327,36843,44861,39164,33618,36051,32891,30113,29126,30136,28670,25680,23520,25060,22448,24353,22215,26700,23583,22982,20184,18147,20596,17173,12922,9085,9460,
预付款项(万元),2605,150,2349,2058,3634,302,3016,1760,3368,209,2804,3491,2653,1829,5622,6701,6177,4752,6805,5792,5712,4697,11409,9578,12121,7988,6962,4376,6601,7555,8000,3606,4130,1916,4887,2530,1119,2619,844,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收利息(万元),--,--,--,--,0,--,0,0,0,--,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,42,48,48,58,129,359,285,--,--,0,0,0,0,
应收股利(万元),--,--,--,0,0,100,100,0,0,--,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他应收款(万元),--,1017,5679,2403,4035,4505,1942,1525,1354,1209,12720,3098,2416,1491,2932,2401,3298,2567,2949,2057,1812,1368,1969,1636,2142,1154,1771,2065,1657,1811,3206,2639,1511,1368,1485,1320,451,220,1791,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7257,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
存货(万元),8856,8336,7737,8004,8989,8689,8070,8198,7239,7489,6972,8166,7616,8459,10864,8572,8428,8357,11301,8774,8168,6578,8615,6700,--,5646,9007,7606,10061,8490,9736,5838,6643,5075,3932,2818,1917,4566,917,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
一年内到期的非流动资产(万元),0,--,0,0,0,--,0,0,0,--,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他流动资产(万元),31169,30865,11024,7001,7001,4212,8301,6632,8110,8087,0,0,14,4523,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9,--,--,0,0,0,0,
流动资产合计(万元),70927,75298,63123,62675,60146,61252,65443,59971,63572,63351,63919,63731,65759,68935,81059,68314,63191,62020,64213,52347,48274,54516,52530,49941,52825,58978,76206,71186,63076,71974,71448,68555,67904,64599,67939,30628,25682,25299,17599,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
可供出售金融资产(万元),--,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
持有至到期投资(万元),--,--,0,0,0,--,0,0,0,--,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
长期应收款(万元),25869,27621,30736,33521,38044,44776,48709,53170,54730,56822,62649,60033,65394,43953,49187,40268,40765,32891,33851,31406,31957,26287,24677,23421,22808,17162,5066,75,--,--,--,--,--,--,--,0,0,0,0,
长期股权投资(万元),278,178,90,90,0,--,0,0,0,--,0,0,0,0,542,390,--,--,2070,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
投资性房地产(万元),508,5167,5283,5399,5514,5630,5746,5268,5372,5475,5579,5682,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
固定资产原值(万元),--,47483,--,94802,--,47358,--,48574,--,48613,--,47997,--,56799,--,52744,--,27175,--,21550,--,20835,--,18440,--,17958,--,17673,--,16836,--,16600,--,16123,--,0,14595,8112,8067,
累计折旧(万元),--,14845,--,47401,--,11618,--,10919,--,9392,--,9876,--,11386,--,9778,--,8860,--,6774,--,6080,--,5417,--,4841,--,4227,--,3671,--,3118,--,2568,--,0,1571,1331,891,
固定资产净值(万元),--,32639,--,47401,--,35739,--,37655,--,39220,--,38122,--,45413,--,42966,--,18316,--,14776,--,14755,--,13023,--,13118,--,13445,--,13165,--,13482,--,13555,--,0,13023,6781,7177,
固定资产减值准备(万元),--,--,--,13184,--,--,--,48,--,48,--,48,--,48,--,48,--,48,--,48,--,48,--,48,--,48,--,48,--,48,--,48,--,48,--,0,48,48,0,
