报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),22691,25472,29429,45295,22742,31258,32690,34614,35828,20988,21253,30779,27214,29953,20941,16680,14915,25627,34915,70744,47155,61480,54713,58496,55626,53645,59193,61218,58038,53730,65642,78485,69624,4232,12396,17219,9341,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,--,
交易性金融资产(万元),26,35,39,43,51,51,52,48,3052,3048,3048,47,3032,3026,6020,31,85,68,68,67,72,67,80,75,72,74,77,79,89,98,109,99,99,83,601,66,173,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应收票据(万元),384,638,1330,2069,416,688,1856,2155,876,2572,4495,2250,564,1706,1758,1390,2595,2743,6383,2720,1142,1182,805,308,2720,160,881,2165,3890,234,497,240,89,365,510,630,257,
应收账款(万元),51358,40923,36816,42494,44993,37275,34215,39770,41063,44166,44096,51093,50604,51385,50288,54578,56829,59246,46408,58362,63384,52373,49822,52772,44025,44076,46810,47657,40272,40245,32985,30466,32965,27744,18242,12277,10255,
预付款项(万元),22727,16521,26331,10995,19600,16259,18524,12356,12329,10147,7727,4430,8192,9095,5306,7386,3210,12471,14658,9627,23273,32124,27429,17712,11735,11132,15397,9065,10014,21098,17473,9914,8904,10905,7108,9215,2278,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,--,
应收利息(万元),--,567,581,595,886,882,1177,1176,776,351,144,127,10,10,20,12,2,395,266,437,423,646,364,171,889,986,635,293,--,471,384,374,--,0,0,0,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,--,
其他应收款(万元),14231,7309,8057,6184,2874,9725,8522,6447,10924,10161,9471,7739,5681,3439,3447,3239,5257,5325,4883,3842,5040,3386,2397,2669,4535,3609,2703,1926,5565,2869,6799,1950,4333,2550,2987,3032,3853,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,--,
存货(万元),65002,74444,61244,53811,66388,59691,49609,48213,46863,43447,44225,43877,39859,43518,39371,37285,46068,44406,40061,39907,50183,45148,27028,26643,37563,38685,33699,33235,42571,41314,33919,32897,33614,31272,29799,17625,14539,
