报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),14652,19595,8321,13433,9892,12522,10556,4536,5731,17355,8114,9640,9595,19477,39089,43177,19847,46930,54108,44731,25090,16877,13390,13744,19019,21198,22986,24089,24894,34948,4438,5221,5661,3702,727,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,2,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收票据(万元),148,582,224,234,251,368,928,753,333,955,276,487,381,564,1668,803,3665,5061,811,380,2158,2920,1001,1196,505,2393,303,595,15,1418,347,4220,248,398,0,
应收账款(万元),11335,15388,13518,13262,13940,16257,16962,18510,18371,22352,27552,24522,24991,26560,25430,25178,23303,23080,24115,24777,18178,19153,17870,17092,14664,16598,13055,12250,10424,11298,7927,5999,9471,4699,3431,
预付款项(万元),1406,1947,4838,2086,1835,1363,3182,2759,2817,8029,7831,6436,8188,4189,10128,8235,7359,2567,10264,3632,6643,1393,2657,8081,3631,2816,2590,4460,2936,3508,3320,1160,1933,386,209,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他应收款(万元),5213,4441,1799,1444,2101,1673,2871,1711,1906,2270,7466,2057,4519,2091,9006,4663,4490,3609,16872,4323,3345,1110,3703,3758,1756,1155,1667,1468,1909,1192,1805,1546,1256,446,161,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
存货(万元),8272,6676,7336,6492,5584,5321,9472,10602,8847,8182,11883,13540,13792,13366,15632,15359,14239,13262,16468,14109,17475,9239,9549,10618,10472,6035,7213,8763,11064,4779,7857,5029,5477,2943,1069,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他流动资产(万元),894,1926,645,509,355,318,10,20,39,39,--,--,--,--,--,--,18000,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
流动资产合计(万元),41918,50556,36681,37460,33958,37822,43981,38891,38045,59181,63121,56681,61466,66246,100952,97415,90903,94508,122637,91952,72890,50692,48170,54489,50047,50195,47814,51625,51242,57143,25694,23174,24045,12575,5598,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
可供出售金融资产(万元),1000,1000,1000,1000,1000,1000,7400,7400,7400,7500,7400,7400,7400,7400,6400,2228,2147,2111,2131,1899,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
长期股权投资(万元),--,345,343,343,346,346,329,329,841,841,888,500,1154,1154,--,6400,6452,6452,6400,12056,5484,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
投资性房地产(万元),7418,7550,--,--,--,--,--,--,--,--,447,455,462,470,477,485,492,500,508,515,523,530,538,545,553,561,568,576,583,591,0,0,0,0,0,
固定资产原值(万元),--,101510,--,109789,--,108045,--,101366,--,100986,--,96675,--,98609,--,76121,--,68563,--,24781,--,24415,--,16323,--,15915,--,8594,--,8559,0,8494,7005,0,0,
累计折旧(万元),--,30677,--,29368,--,25352,--,21973,--,18240,--,18323,--,15633,--,11689,--,9217,--,4007,--,3319,--,2730,--,2169,--,1749,--,1450,0,1182,935,0,0,
固定资产净值(万元),--,70833,--,80422,--,82693,--,79393,--,82747,--,78352,--,82976,--,64432,--,59346,--,20774,--,21097,--,13593,--,13746,--,6845,--,7109,0,7312,6070,0,0,
固定资产减值准备(万元),--,321,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
固定资产(万元),68723,70512,78329,80422,82144,82693,77134,79393,81390,82747,76525,78352,79841,82976,64655,64432,58279,59346,46530,20774,20729,21097,13452,13593,13594,13746,7049,6845,6960,7109,7235,7312,6070,2640,2322,
在建工程(万元),4038,3870,8119,6906,5923,5783,9174,8608,8139,7736,10557,9544,9117,8492,10607,10294,16124,14255,16108,11587,9148,7586,9284,7260,3330,2070,6301,4049,2570,1260,956,589,907,988,245,
工程物资(万元),134,134,135,135,135,135,237,237,238,240,165,165,271,449,203,183,574,590,816,--,--,--,--,--,--,--,--,--,--,--,0,0,0,405,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
无形资产(万元),17699,17816,20231,20364,20383,19656,19661,19370,18892,19158,19067,19119,18584,19148,16358,15844,16169,14788,14630,14487,12961,13031,13081,6808,6854,6873,2919,2937,2955,2959,2974,2921,2955,3004,865,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
商誉(万元),14842,14842,13632,13632,13633,13632,14447,14447,19342,14447,16547,16547,16547,16547,6351,6351,5590,5529,5271,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
长期待摊费用(万元),160,195,183,183,376,225,211,20,18,24,70,116,172,229,302,359,420,454,498,553,609,--,--,--,--,--,--,--,--,--,0,0,0,0,12,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
递延所得税资产(万元),734,760,755,757,758,758,622,622,622,622,596,596,596,596,736,736,660,660,581,505,376,374,322,322,281,281,219,219,195,194,120,119,195,115,23,
其他非流动资产(万元),--,1,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
非流动资产合计(万元),114748,117024,122728,123743,124698,124229,129216,130427,136882,133315,132264,132795,134146,137461,106089,107313,106909,104684,93473,62377,49831,42617,36676,28530,24613,23531,17057,14626,13263,12113,11285,10942,10126,7152,3467,
资产总计(万元),156666,167580,159409,161203,158656,162051,173197,169318,174928,192496,195385,189476,195612,203707,207042,204727,197811,199192,216111,154329,122721,93310,84847,83019,74660,73727,64871,66252,64505,69257,36979,34116,34171,19727,9065,
短期借款(万元),29045,31315,31315,32700,27070,27800,33070,20270,21270,20770,13500,13200,19200,19200,15200,16500,14000,14000,14000,14000,17000,15000,9000,7000,4000,2000,2000,2000,1000,3200,4803,6803,6040,972,800,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应付票据(万元),4994,5429,2658,587,509,868,677,1119,4211,8417,7792,2391,4051,8364,10598,5390,3089,5021,5766,10990,12931,4465,3996,7088,4648,4124,517,2358,2600,2375,2840,2541,4040,885,848,
应付账款(万元),14437,17050,13774,14640,14493,15865,15953,17492,15405,17586,19821,20027,22320,21972,24823,23937,22875,21361,18408,13608,11086,10776,9907,8290,8015,8513,5270,4221,5904,8120,9049,7109,6420,3258,1627,
预收账款(万元),2534,3850,6006,5902,3699,2975,4314,4681,3825,3331,5446,6176,5026,5113,4965,5151,5449,3018,5221,2103,3156,1739,2654,1897,1939,1120,2461,3223,1349,965,2624,1786,1417,870,291,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应付职工薪酬(万元),683,855,552,508,585,824,492,711,715,859,747,667,605,766,544,516,442,535,402,362,339,295,296,292,289,282,282,285,293,304,310,307,307,198,107,
应交税费(万元),646,1180,811,764,820,1314,788,620,698,1282,1204,680,940,882,149,100,866,1071,458,660,267,757,447,193,47,763,179,224,-90,616,605,322,88,165,294,
应付利息(万元),45,16,38,130,95,101,440,389,78,1134,936,563,285,1260,701,516,234,1074,841,561,280,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应付股利(万元),--,--,922,922,1219,1235,1358,1510,1510,1510,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,85,0,39,39,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他应付款(万元),3628,2142,2060,2085,1639,1030,9304,19031,20659,1609,7228,8594,3492,8766,2770,3565,2506,3175,17246,3229,2256,2663,1473,1750,278,1024,295,644,583,842,1076,403,1897,2030,1167,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
一年内到期的非流动负债(万元),7400,7400,7850,7950,7800,7812,3929,3947,1670,1670,4600,5000,4600,4600,3650,3650,500,500,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
流动负债合计(万元),63412,69237,65985,66189,57928,59824,70326,69771,70041,58168,61274,57296,60518,70923,63399,59326,49960,49756,62341,45513,47314,35695,27774,26511,19218,17827,11004,12955,11639,16421,21308,19357,20210,8416,5173,
长期借款(万元),10100,11000,14000,14000,17500,18400,23100,18200,16312,6312,7100,7100,7900,7900,21100,21100,24500,24500,30200,4250,4500,4500,5000,5000,5000,5000,5000,5000,5000,5000,0,0,0,0,0,
应付债券(万元),--,--,--,--,--,--,--,--,--,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
长期应付款(万元),--,--,--,173,436,623,877,1128,1366,1628,387,405,486,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
长期递延收益(万元),1722,1768,1883,1958,2073,2148,2002,2076,2148,2226,1916,1994,2064,2134,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,57,28,28,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他非流动负债(万元),--,--,19,76,126,176,226,300,350,377,--,--,--,--,2198,2284,2401,2430,2463,1780,1809,1837,1868,1898,1928,1958,957,987,1017,1047,911,936,985,0,0,
