报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),13121,11274,14455,27285,21002,18465,15808,20991,25526,29592,19487,20196,16104,16910,17635,22111,19142,25378,20563,32343,33981,36518,40620,41057,42246,72124,11426,14046,10260,10694,6715,3171,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,29,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),8166,11884,5200,13101,14425,15576,15262,9359,19177,19352,17171,13119,16839,19672,15556,14187,12682,14114,7448,13903,17550,18582,10882,12533,7396,11993,4339,8407,14662,6522,3726,1325,
应收账款(万元),42979,56287,56608,46414,49392,55040,57846,42200,33913,38169,37468,28955,33278,42901,47765,35961,42405,47954,51251,30441,36390,38081,40949,29921,34854,32229,31726,19818,26870,20170,15912,14506,
预付款项(万元),1330,1128,1512,739,1606,667,1531,1176,533,954,736,414,1228,870,1243,658,800,1462,627,996,602,1006,1004,697,7781,7653,3560,1510,1269,2512,905,915,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,165,--,--,--,116,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),2017,2296,2296,2015,2526,2178,2418,1816,1946,1775,1934,1744,1941,1954,2144,1942,2142,2182,2141,1857,2081,1382,1478,1353,3072,2328,3075,1269,1169,531,1046,1212,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),36376,31521,36978,39631,37863,33665,34364,30531,26853,24426,27286,27030,28697,28172,31464,35687,34207,27885,26077,30023,23182,24368,23692,22491,19593,19527,21004,23447,20907,22714,14559,12028,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),3695,3374,4461,4619,3458,3384,2465,2823,2178,1403,1772,2540,2011,1925,4018,3792,2941,1738,2576,1956,1781,1595,1880,2050,--,--,--,--,--,--,--,--,
流动资产合计(万元),107683,117764,121510,133804,130271,128974,129694,108895,110126,115671,105854,93998,100100,112404,119825,114338,114320,120713,110683,111683,115567,121533,120505,110219,114942,145854,75129,68498,75137,63143,42862,33186,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),50,50,50,50,50,1551,1551,1551,1551,1551,1551,1551,50,50,50,50,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,50,50,50,50,50,50,50,50,50,50,50,50,50,50,148,239,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,88909,--,86855,--,80838,--,80131,--,71930,--,67318,--,63651,--,62287,--,60429,--,51750,--,47434,--,45885,--,42011,--,41512,30475,26235,--,--,
累计折旧(万元),--,33897,--,31565,--,29479,--,27184,--,25337,--,23449,--,21564,--,19686,--,19250,--,17920,--,16595,--,15345,--,13965,--,12855,11919,11064,--,--,
固定资产净值(万元),--,55012,--,55290,--,51359,--,52947,--,46593,--,43869,--,42087,--,42602,--,41179,--,33830,--,30839,--,30540,--,28045,--,28658,18556,15172,--,--,
