报告日期,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),4768,6737,1191,526,
结算备付金(万元),--,--,--,--,
拆出资金(万元),--,--,--,--,
交易性金融资产(万元),--,--,--,--,
衍生金融资产(万元),--,--,--,--,
应收票据(万元),5052,2930,3512,1762,
应收账款(万元),14078,11079,8738,5824,
预付款项(万元),147,383,267,217,
应收保费(万元),--,--,--,--,
应收分保账款(万元),--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,
应收利息(万元),--,--,--,--,
应收股利(万元),--,--,--,--,
其他应收款(万元),415,374,413,4969,
应收出口退税(万元), --,--,--,--,
应收补贴款(万元),--,--,--,--,
应收保证金(万元),--,--,--,--,
内部应收款(万元),--,--,--,--,
买入返售金融资产(万元),--,--,--,--,
存货(万元),8967,9839,8481,7370,
待摊费用(万元),--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,
其他流动资产(万元),646,217,2909,--,
流动资产合计(万元),34072,31558,25512,20668,
发放贷款及垫款(万元),--,--,--,--,
可供出售金融资产(万元),--,--,--,--,
持有至到期投资(万元),--,--,--,--,
长期应收款(万元),--,--,--,--,
长期股权投资(万元),--,--,--,--,
其他长期投资(万元),--,--,--,--,
投资性房地产(万元),--,--,--,--,
固定资产原值(万元),8668,8472,8275,7922,
累计折旧(万元),2690,2365,1759,1143,
固定资产净值(万元),5977,6107,6516,6779,
固定资产减值准备(万元),--,--,--,--,
固定资产(万元),5977,6107,6516,6779,
在建工程(万元),600,--,--,--,
工程物资(万元),--,--,--,--,
固定资产清理(万元),--,--,--,--,
生产性生物资产(万元),--,--,--,--,
公益性生物资产(万元),--,--,--,--,
油气资产(万元),--,--,--,--,
无形资产(万元),1207,1271,1388,1514,
开发支出(万元),--,--,--,--,
商誉(万元),--,--,--,--,
长期待摊费用(万元),56,54,--,--,
股权分置流通权(万元),--,--,--,--,
递延所得税资产(万元),288,227,198,123,
其他非流动资产(万元),302,442,124,52,
非流动资产合计(万元),8431,8101,8226,8468,
资产总计(万元),42503,39659,33738,29137,
短期借款(万元),--,--,--,512,
向中央银行借款(万元),--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,
拆入资金(万元),--,--,--,--,
交易性金融负债(万元),--,--,--,--,
衍生金融负债(万元),--,--,--,--,
应付票据(万元),--,174,--,--,
应付账款(万元),4842,3538,4415,5263,
预收账款(万元),161,132,465,477,
卖出回购金融资产款(万元),--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,
应付职工薪酬(万元),487,746,714,414,
应交税费(万元),1309,1445,866,637,
应付利息(万元),--,--,--,--,
应付股利(万元),1808,--,--,--,
其他应交款(万元),--,--,--,--,
应付保证金(万元),--,--,--,--,
内部应付款(万元),--,--,--,--,
其他应付款(万元),49,165,163,160,
预提费用(万元),--,--,--,--,
预计流动负债(万元),--,--,--,--,
应付分保账款(万元),--,--,--,--,
保险合同准备金(万元),--,--,--,--,
代理买卖证券款(万元),--,--,--,--,
代理承销证券款(万元),--,--,--,--,
国际票证结算(万元),--,--,--,--,
国内票证结算(万元),--,--,--,--,
递延收益(万元),--,--,--,--,
应付短期债券(万元),--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,
其他流动负债(万元),--,--,--,--,
流动负债合计(万元),8655,6199,6622,7465,
长期借款(万元),--,--,--,--,
应付债券(万元),--,--,--,--,
长期应付款(万元),--,--,--,--,
专项应付款(万元),--,--,--,--,
预计非流动负债(万元),--,--,--,--,
长期递延收益(万元),1862,1750,1741,1775,
递延所得税负债(万元),--,--,--,--,
其他非流动负债(万元),--,--,--,--,
非流动负债合计(万元),1862,1750,1741,1775,
负债合计(万元),10518,7949,8363,9240,
实收资本(或股本)(万元),7035,7035,7035,6000,
资本公积(万元),17642,17642,17642,5685,
减:库存股(万元),--,--,--,--,
专项储备(万元),--,--,--,--,
盈余公积(万元),802,802,245,553,
一般风险准备(万元),--,--,--,--,
未确定的投资损失(万元),--,--,--,--,
未分配利润(万元),6505,6230,452,7659,
拟分配现金股利(万元),--,--,--,--,
外币报表折算差额(万元),--,--,--,--,
归属于母公司股东权益合计(万元),31985,31710,25375,19897,
少数股东权益(万元),--,--,--,--,
所有者权益(或股东权益)合计(万元),31985,31710,25375,19897,
负债和所有者权益(或股东权益)总计(万元),42503,39659,33738,29137,		
  
