报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),118427,132424,160207,162784,204374,98990,107076,180035,120303,67436,67817,93596,29788,21510,22360,34251,12020,15024,13783,30276,10247,19699,25360,30779,25366,25646,32664,36674,39293,44995,54132,61663,60769,65922,75821,78431,79425,2978,2009,1594,186,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收票据(万元),29936,31833,31045,75831,8688,11112,10025,17378,18323,14506,10673,14103,960,4949,6006,4097,2703,1490,1806,1990,1064,2364,4375,306,285,50,790,1565,443,620,1007,3345,320,320,637,0,94,0,100,0,15,
应收账款(万元),484898,461840,501568,404888,347664,354702,336728,405911,283297,342981,246940,239303,172857,154258,147510,137174,132873,110138,103781,96386,90713,78340,68935,58081,57118,56464,50980,46363,48539,42079,37372,33240,35116,28212,21992,21132,21421,14043,11764,4967,2776,
预付款项(万元),57846,45065,58483,47537,48292,39199,17598,44616,89477,11532,12875,9890,17251,5608,2541,1243,10086,8123,3165,2001,8681,7057,3465,1602,2698,2329,1927,1434,3965,3758,2737,2636,4912,2717,1311,368,849,769,605,701,180,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收利息(万元),--,462,415,370,93,93,126,90,--,--,--,--,--,--,--,--,--,--,--,--,--,71,178,103,604,443,399,199,855,629,445,240,315,315,625,284,0,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
