报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),84708,86360,80706,66284,65091,75972,49876,49118,63208,43116,50472,66216,51239,61595,71641,77330,69048,101653,120246,98597,121727,139855,122604,131181,132020,132727,130663,137658,161395,183460,181273,213756,15087,34649,16408,10891,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
交易性金融资产(万元),--,--,5,--,--,23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
应收票据(万元),86509,102022,88163,82444,75241,77722,64655,64368,59789,44244,53264,41077,68972,59930,37613,44055,52593,41971,48082,42514,30704,23558,40448,34734,25095,26345,20990,26566,20288,10273,12450,9056,7247,11272,684,2352,
应收账款(万元),42264,54668,61222,60516,52911,59286,71088,65893,51496,60629,57613,60173,54803,59707,66124,59409,45871,45460,45744,43942,42365,45713,55604,63669,51526,41404,51304,51063,43613,33763,34535,27270,25766,22193,8677,3393,
预付款项(万元),17507,10916,24964,41917,16030,8086,12352,10664,13685,10671,11935,11196,8353,6847,9299,9517,10192,4593,18268,10184,12172,8688,16527,12080,16169,15536,18778,10936,14793,14250,15962,3021,7690,5081,2905,2603,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
应收利息(万元),--,--,0,0,0,0,0,0,11,12,--,19,122,247,59,33,51,51,20,26,752,752,262,262,1650,1143,860,238,1785,1264,0,282,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
其他应收款(万元),3231,2430,4703,5922,1413,271,257,220,286,159,447,443,545,349,2740,2259,2468,2081,2986,4103,4651,4026,2116,1867,2757,2209,1460,1340,803,573,1754,596,499,218,507,89,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
存货(万元),53622,40747,27518,25829,43161,29332,24157,27932,31103,32746,31584,48010,29891,23906,39393,20497,26578,17341,18857,32869,36818,24087,20679,25207,34159,28431,24459,18826,18951,10755,8353,4814,9125,5398,2620,2777,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
其他流动资产(万元),7745,5243,8219,3922,10940,10580,8975,13249,11423,17145,16061,21380,17649,18902,13287,8006,5966,5589,599,2168,3080,2095,2000,2000,2150,2000,2000,2000,2000,2000,0,0,0,0,0,0,
流动资产合计(万元),295586,302387,295500,286834,264787,261272,231360,231445,231001,208723,221378,248514,231574,231484,240156,221105,212767,218739,254802,234404,252271,248774,260240,270999,265526,249796,250514,248629,263627,256337,254326,258796,65414,78812,31800,22105,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
可供出售金融资产(万元),424,424,424,424,424,424,80,80,--,80,80,80,80,80,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
