报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),74790,90300,87410,83984,79132,59167,65848,61730,69204,75406,80907,71158,82668,91088,102106,87715,96508,103243,121044,98487,113134,121034,126896,128008,127970,140649,145283,144382,153842,156193,161586,164791,23278,18194,6152,13748,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
交易性金融资产(万元),47,56,--,42,41,64,--,41,91,156,78,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
应收票据(万元),--,4,4,--,--,3,26,11,94,109,662,115,808,2,1012,400,--,543,1724,1242,--,500,500,--,800,800,813,--,--,--,0,--,0,0,0,0,
应收账款(万元),153164,116627,70064,54398,47027,30739,29969,31268,31656,37598,31473,42681,41805,42059,31264,43571,40559,37021,29894,40615,41553,36308,30810,33130,35702,32952,25789,35524,37624,36204,29844,18760,14472,7186,6364,4218,
预付款项(万元),3036,2704,2035,1248,1523,1265,1237,944,1224,1128,741,1389,1270,931,702,1289,721,670,398,1346,268,358,320,14111,6155,7335,3416,5244,1025,1275,1330,4579,5409,6021,7770,2861,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
应收利息(万元),66,56,14,--,43,--,--,42,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
其他应收款(万元),7217,5971,5935,7082,7211,8264,5960,7481,7896,8747,11226,11702,11713,12616,11024,13374,11686,13375,5906,6753,6793,7264,6086,6263,6598,6460,5371,2962,233,228,628,566,642,392,2138,7022,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
存货(万元),115757,83999,62765,34055,19685,10729,10445,11647,11062,11059,10795,10181,10132,11596,15259,16863,17933,16431,16205,17684,18409,21528,22539,18009,17642,16325,15483,13463,13156,7879,7635,3045,2854,2983,3054,755,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
其他流动资产(万元),64,153,346,376,326,359,337,312,488,11,55,--,596,596,596,--,--,--,--,12305,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
流动资产合计(万元),354141,299872,228573,181184,154988,110590,113822,113475,121731,134216,135938,137226,148993,158888,161963,163212,167408,171283,175171,178432,180158,186992,187152,199520,194867,204522,196156,201575,205881,201778,201022,191741,46654,34776,25477,28605,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
可供出售金融资产(万元),5000,5000,3600,3600,3600,1600,1600,1600,1000,1000,700,700,700,300,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,882,944,950,973,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
投资性房地产(万元),76,78,80,82,85,87,89,91,94,96,98,100,103,105,107,109,111,114,116,118,120,122,125,127,129,131,134,136,138,140,143,145,147,152,0,0,
固定资产原值(万元),117102,--,92051,--,82547,--,77801,--,74926,--,73839,--,45134,--,45015,--,29428,--,26110,--,17427,--,15603,--,13369,--,12708,--,11868,--,11162,--,10075,9543,0,0,
累计折旧(万元),21509,--,19802,--,17564,--,15516,--,13548,--,11520,--,10461,--,9214,--,8135,--,7156,--,7014,--,6340,--,5730,--,5119,--,4524,--,3923,--,3436,2958,0,0,
固定资产净值(万元),95593,--,72249,--,64983,--,62285,--,61378,--,62319,--,34673,--,35801,--,21293,--,18954,--,10413,--,9263,--,7639,--,7589,--,7344,--,7239,--,6639,6585,0,0,
固定资产减值准备(万元),98,--,98,--,98,--,98,--,98,--,98,--,98,--,98,--,98,--,98,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
固定资产(万元),95496,70978,72152,64336,64886,61136,62188,60383,61280,61605,62222,34014,34575,35136,35703,20791,21196,21617,18856,10168,10413,8938,9263,7447,7639,7742,7589,7441,7344,7476,7239,6783,6639,6585,6807,3952,
在建工程(万元),41187,59060,54138,56028,53296,52051,48766,42274,38024,30900,29281,50273,46277,40151,37876,39940,36770,32609,30309,31269,27652,26099,21582,13342,11009,7470,5705,7364,1949,620,638,358,122,44,150,101,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,2,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
无形资产(万元),19519,19835,20147,20402,20691,20999,21319,21028,21328,21633,21878,22182,22485,22788,23091,22360,22637,22738,23011,23285,23524,23797,24070,24343,23035,23269,23100,10373,10518,9006,6911,7040,5766,6010,4509,459,
开发支出(万元),10441,10022,9824,8890,8609,8430,8355,7790,7319,7114,6682,5982,5547,5254,5087,5505,4602,4367,3965,3445,3008,2816,2765,2669,4229,4158,4000,1956,1864,1505,1385,1174,928,516,0,0,
商誉(万元),1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,0,
长期待摊费用(万元),3705,282,360,447,525,548,587,662,739,806,894,866,874,802,865,927,986,1046,1108,1070,1091,1140,1194,1315,1303,1359,1415,1477,1334,1380,1426,1472,1518,1599,0,43,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
递延所得税资产(万元),3709,2076,3599,3302,3733,3153,3493,2778,2400,1969,2468,1996,2284,2220,1805,1693,1669,1776,1738,1199,1107,514,367,481,474,425,404,384,375,278,235,213,207,193,140,70,
其他非流动资产(万元),13558,15689,16188,10436,10428,9801,8800,11086,10210,8444,6073,5152,3844,2737,2072,4984,2873,2258,2584,2347,3662,3554,3178,--,--,--,--,--,--,--,0,--,0,0,0,0,
非流动资产合计(万元),194618,184948,182017,169451,167780,159733,157125,149620,144322,135496,132225,123193,119499,112363,109483,99209,92771,88452,83616,74829,72505,68908,64472,51651,49746,46481,44273,31059,25450,22332,19904,19112,17255,17026,13533,4625,
资产总计(万元),548759,484820,410590,350635,322769,270322,270947,263095,266052,269712,268163,260419,268492,271252,271446,262421,260179,259735,258787,253261,252662,255900,251624,251172,244613,251003,240429,232634,231331,224111,220927,210852,63909,51802,39010,33230,
短期借款(万元),60551,30000,26000,26000,26000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,800,500,0,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
应付票据(万元),2905,5271,4975,1103,780,--,151,700,1199,307,89,--,--,2336,5842,5109,7706,5244,8119,3971,6058,7069,6055,14739,11833,15059,8416,9743,12225,2000,0,--,0,0,0,0,
应付账款(万元),115014,107904,64007,29532,14630,582,5330,1877,4105,4220,7292,4643,4020,2503,3276,2454,2456,2130,2411,1128,1100,1090,1173,865,612,1575,712,499,160,539,107,215,170,103,688,1716,
预收账款(万元),71,108,110,370,138,121,221,206,156,122,79,171,81,61,14,42,28,58,79,46,48,63,16,126,50,88,36,39,93,319,494,135,123,857,1245,1291,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
应付职工薪酬(万元),838,731,1303,671,612,538,817,547,542,501,783,492,403,332,496,320,289,200,354,186,176,167,319,114,102,91,226,83,100,86,195,92,92,110,70,46,
应交税费(万元),14287,6046,4914,3273,3421,1499,1632,435,116,1732,2222,1549,1822,1778,1240,1207,1334,1665,1341,1502,1709,1429,1576,968,1943,1182,1137,502,265,1441,3478,1679,2901,2411,3205,3800,
