报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),38556,45430,48090,61566,73447,74271,76442,81022,82840,89560,80028,84206,84894,85237,74076,74300,75237,74036,72634,68607,69304,71516,71915,71524,76952,77149,80979,81646,83075,7728,4630,3000,3843,823,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,618,1852,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
应收票据(万元),1400,400,723,673,1550,790,--,--,--,818,--,--,--,475,--,100,--,--,--,--,700,700,--,--,--,--,--,--,--,--,0,--,--,0,
应收账款(万元),4548,4883,7959,7024,6928,9890,9735,7868,6823,4478,12987,13628,12171,12186,23410,21963,22648,23727,19420,21674,20211,17891,18244,17065,15679,13440,15130,13274,11878,9610,9629,9668,6135,4596,
预付款项(万元),146,92,91,16,4,3,20,23,16,13,5,3,9,14,211,200,184,10,833,769,2196,370,4181,5367,5419,5419,1366,1367,110,50,50,51,51,77,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,0,
应收利息(万元),59,69,355,134,318,197,265,294,334,397,961,814,1045,403,1201,880,891,717,575,1184,1117,858,595,884,505,904,--,--,--,--,0,--,--,0,
应收股利(万元),--,--,--,--,20,20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,122,--,--,--,--,--,0,--,--,0,
其他应收款(万元),393,392,45,35,72,19,85,37,82,44,72,99,123,136,162,40,41,52,114,32,30,18,13,21,--,23,14,14,55,10,5,9,520,2731,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,0,
存货(万元),--,--,--,--,--,--,--,--,--,--,7,6,5,--,--,--,--,--,5,4,3,3,156,151,65,25,101,86,41,40,32,30,103,73,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,0,
其他流动资产(万元),35486,30514,25693,14330,342,315,245,236,176,176,323,329,385,405,23,23,445,586,541,409,390,391,--,--,--,--,--,--,--,--,0,--,--,0,
流动资产合计(万元),80588,81781,82956,83778,82681,85505,86792,89480,90270,95487,94383,99085,98633,98854,99083,97506,99445,99128,94123,92678,93952,91748,95104,95013,98741,96960,97591,96387,95158,17438,14346,12758,11269,10153,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,0,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,0,
