报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),2153,9070,4371,4211,3260,5009,9398,6071,11972,16288,16147,18295,17680,18085,18638,23057,17183,21580,26094,27933,29115,31704,31383,32767,8286,14001,16051,14555,8963,5990,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),19,21,--,--,--,--,--,1006,1006,--,--,--,--,138,115,10,5,2,61,71,106,162,12,50,50,--,--,--,--,--,
应收账款(万元),19454,18289,20605,16637,14786,14196,16791,18648,18052,18679,20580,18937,18310,20468,20194,17280,19169,17893,20004,19977,19655,16950,16428,13615,10657,6429,5710,4530,1308,714,
预付款项(万元),3284,2093,3473,3101,2758,2905,3236,3639,3643,3830,3915,3446,3083,3305,4260,6309,1247,1225,3440,2962,2506,3308,10660,11035,11347,6063,2900,101,663,640,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
应收利息(万元),79,30,26,36,14,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
其他应收款(万元),572,452,906,783,819,612,664,611,563,683,980,634,877,909,580,316,294,282,316,224,280,192,330,316,510,263,503,580,454,444,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
存货(万元),4230,3697,3887,4706,3909,3738,3844,3462,4816,3810,6086,6969,6022,5679,4916,4364,5790,5904,3742,3024,2342,2675,2445,2556,3060,2397,1633,1409,2675,3003,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
其他流动资产(万元),9600,6600,6600,9100,12600,12116,7588,9088,4021,21,39,320,661,996,--,--,6423,6423,6423,6423,6423,6423,--,0,--,--,--,--,2000,2000,
流动资产合计(万元),39391,40253,39868,38575,38145,38587,41521,42526,44074,43311,47746,48601,46632,49580,48703,51335,50110,53309,60079,60614,60426,61414,61259,60337,33910,29153,26798,21176,16063,12791,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
固定资产原值(万元),--,12048,--,11958,--,11950,--,12097,--,12051,--,12209,--,12187,--,763,--,710,--,662,--,650,--,631,--,619,573,549,--,--,
累计折旧(万元),--,1517,--,1314,--,1101,--,1024,--,814,--,666,--,577,--,559,--,533,--,534,--,515,--,495,--,477,461,446,--,--,
固定资产净值(万元),--,10531,--,10644,--,10849,--,11073,--,11237,--,11543,--,11610,--,204,--,176,--,129,--,135,--,136,--,143,112,103,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),10427,10531,10613,10644,10745,10849,10968,11073,11147,11237,11468,11543,11545,11610,231,204,197,176,119,129,128,135,138,136,139,143,112,103,96,119,
在建工程(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,10371,10309,10001,10001,--,--,--,--,--,0,--,--,--,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
无形资产(万元),135,157,178,201,223,250,287,214,235,228,224,249,218,193,350,233,253,274,295,279,177,189,196,114,114,110,124,19,18,9,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
长期待摊费用(万元),--,--,10,12,14,16,18,20,22,24,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),424,420,477,432,400,394,281,276,332,353,288,288,288,312,310,263,266,266,266,258,224,203,194,169,146,111,283,200,32,18,
其他非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
非流动资产合计(万元),10986,11107,11278,11288,11382,11508,11554,11584,11735,11842,11979,12080,12051,12115,11261,11008,10717,10717,679,666,528,528,528,419,399,363,519,322,147,146,
资产总计(万元),50378,51360,51146,49863,49527,50095,53076,54110,55809,55154,59725,60680,58683,61695,59964,62344,60827,64026,60758,61280,60954,61941,61787,60756,34309,29516,27317,21498,16209,12937,
