报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2011-12-31,2011-09-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),5057,3735,7561,4201,12227,18768,2818,7440,274,384,530,833,1018,1092,4165,9379,11435,14357,13082,14027,16355,20820,29173,4124,5200,7339,7141,323,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),120,67,22,117,159,1000,--,105,60,--,399,2,130,1550,300,940,738,218,1280,1879,14,1228,648,500,611,865,--,--,
应收账款(万元),23437,21200,19985,18538,17169,20602,28791,10318,10784,12769,13919,13410,12192,16433,20602,21766,23121,25253,26000,24497,18146,20595,25084,14530,14041,11138,9836,5250,
预付款项(万元),1543,931,3333,2965,3361,2550,2278,4074,2705,2048,2447,2749,6659,3380,5959,6542,6144,6740,6043,5374,6197,5419,3980,2373,3077,4304,160,214,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,50,--,138,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),5107,2711,2979,2928,3784,2921,7072,707,1000,859,1476,1058,1477,1048,939,1125,1138,830,708,837,985,910,1105,1142,1086,1054,1502,604,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),13651,16542,19787,20573,17913,15935,15237,16826,16645,15499,16932,17080,16245,14844,14930,12901,11919,10481,8976,6227,7162,6259,5068,6781,7768,5510,4508,3533,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,1,2,2,--,--,--,--,--,--,
其他流动资产(万元),525,800,754,696,904,620,605,1200,1248,1114,1051,1022,781,781,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动资产合计(万元),49440,45984,54422,50018,55516,62395,56800,40670,32715,32672,36753,36153,38501,39127,46895,52652,54494,57879,56089,52892,48861,55370,65058,29450,31783,30210,23146,9923,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),500,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,46,46,80,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,62,62,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,38026,--,37757,--,37696,--,37487,--,35375,--,35384,--,35333,--,13791,--,11264,--,8245,--,8105,--,5041,4809,4732,--,--,
累计折旧(万元),--,9521,--,8741,--,8051,--,7284,--,6583,--,5671,--,4702,--,3944,--,3404,--,3053,--,2704,--,2074,1940,1495,--,--,
固定资产净值(万元),--,28505,--,29016,--,29646,--,30204,--,28792,--,29713,--,30632,--,9847,--,7860,--,5193,--,5401,--,2967,2869,3237,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),4169,28505,28697,29016,29265,29646,29974,30204,28459,28792,29233,29713,30163,30632,9598,9847,7746,7860,5053,5193,5366,5401,2549,2967,2869,3237,1666,619,
在建工程(万元),3503,3893,3766,3664,3741,3678,3742,15575,17225,16865,15873,15648,12830,12844,31158,30589,30381,27750,24848,24432,23899,22593,15273,13276,8256,1733,628,1186,
工程物资(万元),417,417,417,417,417,417,413,455,454,448,897,894,1712,867,430,133,--,--,--,--,--,--,97,97,317,494,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),2140,4648,4720,4745,4774,4802,4703,6859,6893,6938,6979,6949,5881,5914,5947,4118,4138,2764,2782,2775,2793,2810,2828,2881,2899,2929,56,66,
开发支出(万元),55,55,55,55,37,28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),47170,47341,47994,47994,47994,47994,40331,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),254,253,232,255,281,295,328,320,203,214,224,235,246,257,268,279,281,291,301,312,322,333,346,380,392,426,472,518,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),1613,1982,1661,1538,1507,1636,1853,1176,1016,1069,730,814,788,820,752,708,664,709,641,551,501,500,--,301,278,245,164,103,
其他非流动资产(万元),1635,1336,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,455,--,--,--,--,--,
非流动资产合计(万元),61455,88429,87542,87684,88061,88541,81423,54588,54250,54326,53937,54253,51621,51333,48153,45673,43210,39374,33625,33263,32880,31637,21548,19903,15011,9063,3048,2555,
资产总计(万元),110895,134413,141964,137702,143577,150936,138223,95258,86966,86999,90690,90406,90122,90460,95048,98325,97705,97253,89714,86154,81741,87007,86606,49352,46794,39273,26194,12478,
短期借款(万元),2920,28920,28920,26140,26200,410,--,4000,4000,--,--,--,--,3000,3000,5000,2000,2000,--,--,2000,2000,2000,2000,--,500,1580,500,
