报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),40169,41315,37852,58814,28650,31855,51895,81130,103010,103733,51366,58168,89066,89883,69217,96852,92441,104206,--,33889,20131,8017,3558,1037,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),336,54,26,106,--,1,38,--,--,--,66,20,261,--,--,--,--,--,--,157,--,300,--,--,
应收账款(万元),18065,20699,13299,6881,17271,10664,13595,4033,12165,12743,8708,4893,14308,13561,10637,8339,21144,21374,--,6273,4659,3729,2781,2079,
预付款项(万元),1700,3908,1767,1088,1331,1037,1012,904,2656,2265,1316,1847,2055,8484,920,895,535,765,--,669,378,331,467,37,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,119,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),1012,936,987,920,902,1051,1051,942,865,876,809,14749,569,359,299,282,530,704,--,135,77,53,87,35,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),51003,50970,49823,40285,47834,48806,43410,35338,36932,35056,32340,27801,28625,26922,27574,23672,27987,27373,--,20511,10054,14181,14123,6836,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,70,11,28,45,24,35,6,8,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),56685,55104,70867,69925,71029,67653,58143,46346,1377,1547,64492,56108,529,726,25718,23906,22,25,--,1438,268,154,--,--,
流动资产合计(万元),168971,172985,174620,178020,167086,161078,169172,168739,157030,156254,159102,163712,135413,139935,134366,153945,142659,154446,66760,63073,35566,26766,21017,10024,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),2455,455,500,500,500,500,500,1530,1500,1500,1500,1500,1000,1000,1000,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),4734,396,374,484,575,585,636,437,557,368,396,404,390,397,424,426,1668,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,7951,--,7746,--,7760,--,5136,--,4486,--,2409,--,3226,--,2937,--,1067,--,998,633,--,--,--,
累计折旧(万元),--,4063,--,3537,--,2907,--,1714,--,1324,--,1069,--,1102,--,885,--,519,--,410,228,--,--,--,
固定资产净值(万元),--,3888,--,4209,--,4853,--,3422,--,3162,--,1340,--,2124,--,2051,--,548,--,588,406,--,--,--,
固定资产减值准备(万元),--,485,--,485,--,74,--,74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),3210,3403,3463,3725,4461,4779,5056,3349,3535,3162,1368,1340,2106,2124,2126,2051,558,548,--,588,406,353,197,114,
在建工程(万元),12,9,9,9,2,--,--,--,--,--,1898,1871,--,--,--,--,--,--,--,--,--,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),2048,2130,2211,2286,2367,7067,7302,5341,5510,5672,5844,5979,6123,6284,6377,6516,175,93,--,98,15,17,18,4,
开发支出(万元),144,118,118,118,118,118,118,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),10229,10229,10229,10229,10229,10229,10229,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),1048,1084,1140,1155,1105,1221,1291,1345,1418,1461,1138,381,362,399,162,170,102,60,--,--,71,149,144,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),281,297,282,228,443,389,422,351,306,313,242,219,235,255,227,182,125,129,--,59,40,32,17,12,
其他非流动资产(万元),--,200,200,200,200,200,200,200,--,--,--,--,14501,14501,14501,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),24161,18322,18527,18934,20001,25088,25755,12551,12826,12476,12386,11695,24717,24960,24818,9345,2629,831,744,744,532,550,377,130,
资产总计(万元),193132,191306,193147,196954,187087,186166,194927,181290,169856,168730,171488,175407,160129,164895,159184,163290,145288,155277,67504,63817,36099,27315,21394,10154,
短期借款(万元),--,--,--,--,--,100,100,--,--,--,--,--,--,--,--,--,--,--,--,--,1500,2000,500,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,220,220,395,500,155,--,--,--,--,--,--,--,--,
应付账款(万元),--,9329,11012,10000,10862,10745,12585,13351,11452,11989,11554,12046,10626,9365,8639,11231,9709,14039,--,9174,1946,2135,2892,1982,
预收账款(万元),1786,2464,2582,3069,2413,2689,2275,2861,1844,2295,3161,4043,2590,2931,2467,3280,487,461,--,915,270,423,188,220,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),1942,1392,1298,2227,1539,1417,1387,1565,1327,1328,1156,1747,1199,976,835,981,1147,1113,--,863,--,--,--,41,
应交税费(万元),790,861,553,3716,1310,641,1089,2691,868,880,452,2872,818,1320,542,3154,1422,1742,--,1044,1487,1203,1054,600,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,7221,--,--,--,--,--,--,--,--,--,--,
