报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),14932,8509,8723,6043,4417,7368,10004,12450,16923,19266,22276,24874,25437,31078,30660,6101,7927,7142,7732,5063,10139,7865,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),3590,6199,4640,2843,2982,6788,3341,3484,2457,6644,9195,10530,8958,13861,11337,15310,12170,5661,2454,2708,3297,1141,
应收账款(万元),22820,27363,25385,27633,26728,25455,32840,35415,37817,39998,27600,29335,24549,25930,32069,27051,29735,21438,23740,21447,22432,18995,
预付款项(万元),6905,5563,3742,2307,2100,1505,2247,1829,1619,785,2301,2911,3254,2558,3787,5911,1936,3078,3824,3665,2188,3745,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,0,--,--,10,19,21,129,91,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,218,218,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,
其他应收款(万元),1265,1171,993,1278,1801,5307,1497,1393,1076,1519,1182,977,917,865,783,869,862,1018,1554,1491,1007,850,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),43683,27140,30605,27955,32015,31881,38615,35319,31731,27442,33422,33724,40120,32862,30100,30375,28887,34483,33199,24211,22928,28096,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),2123,419,958,1468,1655,1580,1616,1036,384,--,--,89,1622,415,--,--,--,--,--,--,--,--,
流动资产合计(万元),95319,76363,75045,69527,71916,80101,90161,90926,92006,95663,95995,102462,104986,107661,108736,85616,81518,72819,72503,58586,61991,60692,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,54022,--,51403,--,51165,--,46427,--,45892,--,45406,--,45231,--,45123,45039,43949,42343,39749,--,--,
累计折旧(万元),--,15966,--,14973,--,13881,--,16891,--,13693,--,14946,--,13892,--,12684,11445,9052,7063,6322,--,--,
固定资产净值(万元),--,38056,--,36430,--,37284,--,29535,--,32199,--,30460,--,31339,--,32440,33594,34897,35280,33427,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),38166,38056,35777,36430,36887,37284,29077,29535,29621,30054,30478,30460,30902,31339,31843,32440,33594,34897,35280,33427,18749,10631,
在建工程(万元),3161,3220,5616,5568,5953,4402,15858,15481,13775,12591,10569,10375,7277,1661,835,506,25,46,--,690,9943,7651,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,77,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),9660,9720,9781,9811,9876,9941,10443,5567,5603,5645,5681,5725,5767,5799,5839,5874,5960,6125,6257,6418,2432,1950,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),863,994,1189,974,930,981,1019,962,845,845,795,703,663,703,637,631,607,492,446,495,630,573,
其他非流动资产(万元),535,457,--,--,93,111,411,5422,7321,7270,3147,3280,3601,3940,--,--,--,--,--,--,--,--,
非流动资产合计(万元),52384,52448,52363,52783,53739,52718,56808,56967,57165,56405,50671,50543,48209,43443,39153,39450,40185,41560,41983,41030,31831,20806,
资产总计(万元),147703,128811,127408,122310,125655,132819,146968,147893,149171,152068,146666,153005,153194,151104,147889,125066,121703,114379,114485,99616,93822,81498,
短期借款(万元),20993,15000,17000,18998,13990,13000,18198,17700,23700,23700,34700,37700,37700,37000,38667,35665,36379,33700,30700,24500,22000,7500,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),13054,7130,3333,3319,3398,2264,4351,6031,8492,7213,4975,4047,2765,2765,--,2000,907,380,3123,1283,8821,9284,
应付账款(万元),13262,12683,16879,19211,19449,23667,27671,24910,22965,23991,26096,24710,22680,22782,20127,20357,21495,19179,17286,18828,14085,9377,
预收账款(万元),28959,19237,17582,7260,11338,12409,14012,13396,8058,7999,8190,10059,17060,13511,13785,13049,10954,15109,23425,12819,11113,15717,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),605,644,635,657,627,616,942,967,941,862,1079,968,1044,863,906,889,738,631,517,464,302,207,
应交税费(万元),134,138,196,316,133,117,146,127,60,2440,662,1928,451,536,1343,1511,1344,964,288,576,-298,-950,
应付利息(万元),44,37,36,34,39,42,47,46,54,56,60,63,70,69,60,56,59,62,56,162,119,75,
应付股利(万元),--,--,--,--,--,--,--,146,--,--,--,848,0,--,--,--,--,--,--,--,--,312,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),852,686,122,153,323,304,381,336,400,305,487,369,306,360,1274,610,806,499,251,363,203,7208,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),8000,10000,7000,5000,6000,8000,--,--,--,--,--,--,--,--,--,--,--,--,--,4000,1500,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),85902,65555,62782,54948,55296,60418,65747,63659,64669,66565,76249,80694,82076,77886,76163,74137,72682,70524,75647,62995,57845,48729,
长期借款(万元),--,--,3000,5000,8000,10000,18000,18000,15000,13000,--,--,--,--,--,--,--,--,--,1000,4000,4500,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,737,737,737,642,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),2533,2685,1806,1951,3096,2241,2386,2532,2677,2822,2714,2845,--,3106,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,2975,--,3006,3237,3498,4070,4592,4963,5502,5222,
非流动负债合计(万元),2533,2685,5543,7688,11833,12883,20386,20532,17677,15822,2714,2845,2975,3106,3006,3237,3498,4070,4592,5963,9502,9722,
负债合计(万元),88435,68240,68325,62636,67129,73302,86134,84191,82346,82387,78963,83539,85051,80991,79169,77374,76179,74594,80239,68958,67347,58451,
实收资本(或股本)(万元),20200,20200,20200,20200,20200,20200,20200,20200,20200,20200,20200,20200,20200,20200,20200,15100,15100,15100,15100,15100,15100,15100,
资本公积(万元),22422,22422,22422,22422,22422,22422,22422,22422,22422,22422,22422,22422,22422,22422,22422,7553,7553,7553,7553,7553,7553,7553,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),3296,3296,3191,3191,3191,3191,3191,3191,3191,3191,3001,3001,3001,3001,2537,2537,2537,1984,1453,985,581,279,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),13350,14653,13270,13861,12714,13705,15022,17889,21013,23868,22081,23844,22521,24490,23561,22503,20334,15149,10140,7019,3240,115,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),59268,60571,59083,59674,58526,59517,60835,63702,66826,69681,67703,69466,68143,70112,68720,47693,45524,39786,34246,30658,26475,23047,
