报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),11060,15346,16214,14837,7659,11658,57249,2428,2136,4339,1868,7076,13010,2176,1091,2603,2517,10043,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),4251,6919,3742,5157,5119,4870,2523,2950,2556,3525,2559,2357,1461,2716,1375,4396,1237,1616,
应收账款(万元),24344,23586,23366,23513,25412,18436,19223,18570,19153,16937,16463,15521,16452,14321,14906,13139,11579,10617,
预付款项(万元),1742,346,997,1587,1344,850,769,674,626,85,239,220,315,223,430,97,189,898,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
其他应收款(万元),96,20,92,15,40,10,45,10,--,--,35,22,5,323,229,167,101,10,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
存货(万元),17078,14776,15861,14846,13504,9974,9720,10870,11149,11505,12686,12343,12363,11651,12128,10140,9283,8818,
