报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),13584,11684,17631,6393,4391,5491,3135,2307,2295,1499,2181,1284,1171,1058,2892,1008,2815,2412,2004,1759,1188,3039,274,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,732,32,68,32,--,--,--,--,--,--,--,42,47,47,50,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),248,671,1172,1738,591,753,1108,244,315,571,283,233,332,--,3,88,--,--,40,396,83,--,--,
应收账款(万元),15562,15082,14201,14429,12770,13257,11921,14037,12657,12479,11199,10859,8097,6572,7485,5508,4595,4174,4977,3504,3585,2442,3018,
预付款项(万元),864,194,288,82,197,153,212,674,617,934,772,712,561,214,202,1486,1315,598,559,1741,1614,184,1735,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),81,53,157,525,426,429,147,180,83,445,162,78,62,94,54,251,692,508,120,139,502,3,54,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),4766,4659,4556,4178,5450,5456,7874,9487,9255,9301,7904,9531,9772,8927,7245,8546,7465,5716,5750,4016,3392,1233,556,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),333,190,46,27,170,10,29,-1,51,122,20,18,44,165,30,21,1,--,--,--,--,--,2,
流动资产合计(万元),35439,32533,38051,27371,23996,25549,24426,27661,25306,25418,22552,22715,20039,17030,17912,16908,16883,13408,13491,11601,10411,6950,5639,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,12349,--,11908,11800,11934,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2638,1460,--,
累计折旧(万元),--,3209,--,2876,2552,2346,--,--,--,--,--,--,--,--,--,--,--,--,--,--,519,341,--,
固定资产净值(万元),--,9141,--,9032,9248,9588,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2119,1119,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),8936,9141,8894,9032,9248,9588,7805,7798,7915,7926,8011,7926,7900,7343,7988,5680,5562,2216,2271,2580,2119,1119,504,
在建工程(万元),4,--,--,--,--,--,417,199,190,242,53,249,203,178,5,1047,274,3888,3116,1850,147,16,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),2295,2310,2325,2341,2371,2402,2463,2479,2494,2509,2525,2540,2556,2570,2586,2602,2617,2365,2380,2435,2435,77,--,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),48,45,35,48,70,92,244,289,328,299,338,344,339,315,364,146,99,113,6,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),374,356,362,367,300,271,344,91,91,5,206,47,47,40,132,40,41,33,33,23,23,12,14,
其他非流动资产(万元),73,33,225,125,22,25,119,41,43,312,87,287,287,--,152,--,--,--,--,--,--,--,--,
非流动资产合计(万元),11730,11885,11843,11913,12011,12379,11392,10898,11060,11293,11220,11393,11332,10447,11228,9515,8593,8615,7807,6889,4725,1224,518,
资产总计(万元),47169,44418,49894,39284,36007,37928,35817,38559,36366,36711,33772,34108,31371,27477,29140,26423,25477,22023,21298,18490,15136,8175,6157,
短期借款(万元),2000,1000,5000,5800,5800,6320,5470,5169,5869,5869,6365,5813,6296,6033,5719,5729,4979,660,--,--,--,1550,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),4136,2558,3547,4292,2795,4346,2902,3245,1323,492,306,--,--,318,330,--,--,--,--,299,582,--,--,
应付账款(万元),5497,5936,6249,5739,6426,6845,8886,9796,10009,9861,7994,8211,6403,4651,6534,4629,4348,3250,3949,3423,3703,1342,2499,
预收账款(万元),76,71,218,96,110,42,266,277,165,303,178,1097,1210,--,166,654,301,356,417,467,431,144,834,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),268,236,183,626,273,469,330,595,534,320,632,487,326,193,315,216,215,172,145,167,143,132,113,
应交税费(万元),276,279,119,419,219,257,567,295,208,275,435,424,232,127,727,173,57,129,328,7,260,89,31,
应付利息(万元),3,1,--,9,9,9,10,136,110,51,35,158,120,61,45,136,99,24,24,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),58,64,729,68,68,45,135,215,107,379,235,98,102,5,206,279,473,66,83,580,419,1527,1718,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
