报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),20684,7701,6822,11219,9334,13988,13854,10793,18292,18974,11920,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),243,392,715,1051,674,369,--,--,13,31,--,
应收账款(万元),15271,12597,11133,10260,9305,10125,7807,5807,4596,5065,3944,
预付款项(万元),574,584,573,716,804,314,295,422,19,57,411,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),54,42,60,66,51,84,129,109,312,109,136,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),3658,3422,3108,2740,2668,2602,2502,3201,3625,2098,1442,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
存货(万元),12510,10768,9536,6321,7677,6366,10219,12093,8237,4906,4462,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,
流动资产合计(万元),52996,35506,31947,32373,30512,33848,34805,32425,35094,31241,22315,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),9911,10122,9763,9709,8970,8652,7667,7228,6211,4678,3450,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,3369,3364,3341,--,3300,--,3208,--,--,--,
累计折旧(万元),--,1356,1324,1292,--,1230,--,1081,--,--,--,
固定资产净值(万元),--,2013,2040,2049,--,2071,--,2126,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),1981,2013,2040,2049,2013,2071,2103,2126,2101,2185,2288,
在建工程(万元),--,--,--,--,--,--,--,--,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),759,771,785,792,793,816,692,697,711,730,749,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),519,521,504,479,426,429,332,335,267,187,197,
其他非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),13171,13426,13093,13030,12202,11968,10794,10386,9290,7781,6685,
资产总计(万元),66167,48932,45040,45403,42714,45816,45599,42811,44384,39021,29000,
短期借款(万元),--,--,--,--,--,--,--,--,--,--,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,
应付账款(万元),5973,4886,3542,3569,2696,3726,3542,2015,3249,2730,2530,
预收账款(万元),5728,3516,2967,2650,3141,5412,9124,11131,9858,7426,6317,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),39,83,96,733,114,748,860,216,880,943,1143,
应交税费(万元),1812,2116,1583,2333,1393,2395,2002,1261,952,1210,1014,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,--,
应付股利(万元),--,938,--,--,506,--,--,--,2883,706,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),2883,3286,3393,2559,3974,2559,2550,2536,2473,2478,1968,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),16434,14824,11582,11844,11824,14840,18079,17159,20296,15493,12972,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),32,32,32,32,32,32,32,32,32,32,32,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),19,19,19,--,--,--,--,--,--,--,--,
长期递延收益(万元),310,306,74,109,214,413,434,403,236,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),361,357,125,141,246,445,466,435,268,32,32,
负债合计(万元),16796,15181,11707,11985,12070,15285,18545,17594,20564,15525,13004,
实收资本(或股本)(万元),10000,7500,7500,7500,7500,7500,7500,7500,7500,6771,5177,
资本公积(万元),25885,12582,12582,12582,12572,12572,12411,12411,12377,4838,107,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),2447,2435,2249,2249,1879,1689,1082,703,515,2337,1992,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),10997,11184,10971,11082,8691,8703,6003,4510,3436,9579,8544,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),49329,33700,33303,33413,30642,30464,26996,25124,23829,23525,15820,
少数股东权益(万元),43,51,31,5,3,66,58,93,-8,-28,176,
所有者权益(或股东权益)合计(万元),49371,33751,33333,33418,30644,30530,27054,25217,23821,23496,15996,
负债和所有者权益(或股东权益)总计(万元),66167,48932,45040,45403,42714,45816,45599,42811,44384,39021,29000,		
  
