报告日期,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),2702,4335,11477,11006,7380,4141,
结算备付金(万元),--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,
应收票据(万元),313,267,75,302,417,118,
应收账款(万元),10231,7043,7733,6605,5641,5963,
预付款项(万元),619,548,379,222,189,319,
应收保费(万元),--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,
其他应收款(万元),1607,1107,860,1247,1108,927,
应收出口退税(万元), --,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,
存货(万元),8456,9158,6128,5819,4494,6293,
待摊费用(万元),--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,
其他流动资产(万元),256,280,0,11,5,--,
流动资产合计(万元),24184,22739,26653,25211,19235,17761,
发放贷款及垫款(万元),--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,
投资性房地产(万元),725,731,741,763,784,--,
固定资产原值(万元),8556,8540,8543,8134,7416,--,
累计折旧(万元),1945,1830,1604,1135,762,--,
固定资产净值(万元),6611,6710,6940,6999,6654,--,
固定资产减值准备(万元),--,--,--,--,--,--,
固定资产(万元),6611,6710,6940,6999,6654,1111,
在建工程(万元),132,132,132,183,84,3130,
工程物资(万元),--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,
无形资产(万元),1128,1141,1167,1089,1115,1139,
开发支出(万元),--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,
递延所得税资产(万元),217,180,226,199,175,166,
其他非流动资产(万元),--,--,--,8,8,8,
非流动资产合计(万元),8813,8893,9206,9241,8819,5553,
资产总计(万元),32997,31632,35859,34452,28054,23314,
短期借款(万元),5650,5250,3890,1700,4100,2100,
向中央银行借款(万元),--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,
应付票据(万元),479,427,130,192,93,425,
应付账款(万元),1898,1796,2939,4202,2172,2123,
预收账款(万元),3866,4555,5680,8097,5541,5277,
卖出回购金融资产款(万元),--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,
应付职工薪酬(万元),655,664,1513,1298,1258,1249,
应交税费(万元),484,337,1343,1654,709,534,
应付利息(万元),--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,
其他应付款(万元),351,397,429,384,231,266,
预提费用(万元),--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,
流动负债合计(万元),13383,13426,15924,17527,14105,11973,
长期借款(万元),--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,
预计非流动负债(万元),571,511,635,499,378,334,
长期递延收益(万元),1500,1500,1500,1500,1500,--,
递延所得税负债(万元),--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,
非流动负债合计(万元),2071,2011,2135,1999,1878,334,
负债合计(万元),15455,15438,18059,19526,15982,12307,
实收资本(或股本)(万元),6971,6971,6971,6971,6971,6971,
资本公积(万元),743,743,743,743,743,743,
减:库存股(万元),--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,
盈余公积(万元),1496,1496,1496,1129,766,623,
一般风险准备(万元),--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,
未分配利润(万元),8311,6963,8522,5977,3324,2483,
拟分配现金股利(万元),--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,
归属于母公司股东权益合计(万元),17520,16173,17731,14819,11803,10820,
少数股东权益(万元),22,22,68,108,269,187,
所有者权益(或股东权益)合计(万元),17543,16195,17800,14927,12072,11006,
负债和所有者权益(或股东权益)总计(万元),32997,31632,35859,34452,28054,23314,		
  
