报告日期,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),3061,6887,13200,12600,10865,17172,11458,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,318,33,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),3816,947,2323,2484,2767,826,239,
应收账款(万元),30040,24248,26583,25074,23108,15472,13641,
预付款项(万元),463,707,832,338,154,78,243,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,263,--,
应收股利(万元),--,--,--,--,2053,1933,1927,
其他应收款(万元),772,956,1089,648,180,253,335,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),3749,4457,3062,1629,1607,1512,1315,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,
其他流动资产(万元),6145,11253,1008,808,357,8618,354,
流动资产合计(万元),48046,49455,48414,43614,41091,46128,29513,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,
固定资产原值(万元),84276,82624,71777,--,66775,60836,--,
累计折旧(万元),35674,35664,33427,--,36691,31306,--,
固定资产净值(万元),48602,46960,38350,--,30084,29530,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,
固定资产(万元),48602,46960,38350,33296,30084,29530,28186,
在建工程(万元),360,12,4880,3437,64,38,8,
工程物资(万元),--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,
无形资产(万元),5275,5305,3230,3268,3319,805,852,
开发支出(万元),--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,
长期待摊费用(万元),2321,2184,291,370,608,218,150,
股权分置流通权(万元),--,--,--,--,--,--,--,
递延所得税资产(万元),429,353,217,284,164,93,108,
其他非流动资产(万元),1183,424,414,1490,88,736,655,
非流动资产合计(万元),58170,55239,47382,42145,34327,31421,29958,
资产总计(万元),106216,104694,95797,85759,75417,77549,59471,
短期借款(万元),--,--,--,1000,--,14667,1829,
向中央银行借款(万元),--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,
交易性金融负债(万元),236,76,--,--,--,16,--,
衍生金融负债(万元),--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,
应付账款(万元),10597,12675,12405,12142,8190,4990,5326,
预收账款(万元),669,2158,1354,690,344,114,--,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,
应付职工薪酬(万元),6013,5040,5728,3727,4316,3450,3181,
应交税费(万元),4260,3807,2640,2582,4196,2494,2325,
应付利息(万元),--,--,--,64,--,163,--,
应付股利(万元),--,--,404,--,8701,--,--,
其他应交款(万元),--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,
其他应付款(万元),4000,7507,9534,10244,8042,5421,5273,
预提费用(万元),--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),756,542,572,--,665,1177,506,
其他流动负债(万元),20,24,10,7,17,--,--,
流动负债合计(万元),26549,31829,32647,30455,34470,32493,18440,
长期借款(万元),3725,2625,1667,3121,4010,3059,3352,
应付债券(万元),--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,
长期递延收益(万元),697,748,--,--,--,--,--,
递延所得税负债(万元),--,--,48,8,--,--,--,
其他非流动负债(万元),--,--,--,--,6,--,--,
