报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2005-12-31,2004-12-31,
货币资金(万元),42835900,46726600,48653100,46357200,50139000,45730400,51723000,46452500,49093500,45004800,48115700,49238000,50597900,49181300,50606700,48957400,50714900,46153900,47634200,48163100,46751500,42639100,42756300,41943000,39591303,39089144,36695710,34828883,35764874,32346063,29324876,25677215,26161582,20584877,20511895,19346433,18403040,15734638,16260126,17460352,16157889,13600250,14142393,13463306,10777238,8963053,10673626,6491438,6854923,7246210,7159166,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,0,0,0,0,0,--,--,0,--,--,0,--,--,0,
拆出资金(万元),10513800,11171900,8083900,12308500,7841000,6914400,11889200,19683600,13645000,14248300,13780600,20252800,3486200,2774300,2196900,3228100,3105000,3609500,2682800,2687600,4348800,5583600,8542000,10588392,11210756,12122600,11141530,6147934,2748599,1827345,3125346,2263427,2333223,1662234,2412235,2500985,2618104,2807219,2364391,2423567,2812015,2135467,1766282,1359767,1472306,1470634,1649744,1048620,892037,919710,864859,
交易性金融资产(万元),34959100,36116700,16286600,21374300,26885000,28528400,17720300,17005300,15878600,11160600,6374600,4730400,5613700,5243400,3284100,3043500,3611800,2659800,2862700,3142500,2437900,2524400,1844100,780100,833818,837557,586684,488227,465690,148992,--,0,0,0,0,0,--,133,0,2888,2885,298902,381622,1025280,1594435,2130902,4901817,5484239,10108366,8699256,817091,
衍生金融资产(万元),3535400,4747500,2826400,2201800,909700,947000,1623300,1783800,1172900,1089900,1061000,822400,598100,428700,261200,267600,229600,274100,194600,152800,170500,148500,90700,80690,64607,37060,54879,106261,52835,78541,103335,156333,102451,42943,60734,84657,94979,205608,228777,183373,196249,71364,34757,14187,16858,5749,4165,3215,2996,2042,7241,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,0,0,0,0,0,--,--,0,--,--,0,--,--,0,
应收账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,396182,194578,271873,244834,304179,346072,157527,152538,150946,100869,62126,84633,0,--,--,0,--,--,0,--,--,0,
预付款项(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,0,0,0,0,0,--,--,0,--,--,0,--,--,0,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,0,0,0,0,--,--,0,--,--,0,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,0,0,0,0,--,--,0,--,--,0,--,--,0,
