报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-06-30,2012-12-31,2011-12-31,2010-12-31,
货币资金(万元),1178805,1362832,1270227,1171980,1280785,1458221,1328044,1633673,1576638,1703346,1433159,1488315,1245634,1398826,1600492,1646667,1454668,1126533,786649,1024410,1019437,889594,759242,639064,728454,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),2,3166,15205,292,4026,10,3611,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),69329,70096,62128,37048,35660,35013,30905,24542,14531,17564,12655,7438,6186,12343,4320,2577,2682,1841,829,1003,4562,14286,1669,4184,43273,
应收账款(万元),582808,424157,520276,504911,533614,511323,390064,526197,526504,426480,427788,409869,504171,322981,377162,409419,546383,369992,403425,419548,439597,421806,504138,469704,353015,
预付款项(万元),59294,65586,55337,70430,36863,35517,53005,22923,17708,33017,27992,25542,26372,50110,41725,52371,25097,79133,60499,131472,26710,73907,68032,78377,58381,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),221,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),949,--,56694,37214,38812,--,22570,--,--,--,14891,12293,43581,--,51158,47039,47039,22707,151643,--,--,14746,--,20230,--,
其他应收款(万元),--,--,12106,4557,3819,4297,5241,4425,3463,7446,6242,5250,4387,12120,8686,6301,5658,8663,12538,17827,6151,8362,10055,11029,171694,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),327863,295112,342578,368181,273084,287692,299003,281419,237849,228160,198120,200691,188484,247479,243158,262615,270052,324717,288205,359855,319757,338814,316368,378608,276886,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),93,--,--,5844,6552,5791,7539,6312,5574,1981,2017,1950,1950,151,301,1644,1452,--,--,--,1785,1785,--,--,--,
其他流动资产(万元),105131,71555,89448,95479,131272,74483,77449,67900,98514,77668,89539,110178,138644,118578,120798,100170,117968,90269,76740,65208,88216,28213,21195,60648,11988,
流动资产合计(万元),2347021,2305691,2424000,2295936,2344487,2412347,2217430,2567402,2480783,2495662,2212402,2261526,2159410,2162587,2447800,2528803,2470999,2023855,1780529,2019325,1906215,1791512,1680699,1661845,1643691,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),742691,822870,737833,860912,865362,928875,900446,582954,558233,548718,538841,530022,588775,542767,652174,594764,591244,363990,298075,304398,322881,313441,373196,326481,369594,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),2141336,2096410,2005920,2013798,1941746,1579942,1511443,1572840,1520333,1528181,1513775,1570007,1505584,1540507,1542621,1476941,1416970,1384008,1369115,1515348,1422707,1354097,1067980,792420,627939,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),10798,10808,10964,11119,11274,11151,11455,9577,9713,6041,6145,6272,6373,6275,6376,6477,6578,6679,6780,6883,6986,7192,7399,3317,2300,
固定资产原值(万元),11450058,--,11491958,--,11440472,--,10823244,--,10623187,--,10464023,--,10462345,--,9257139,--,9323907,--,8063977,--,8230073,8083251,8040550,7874999,--,
累计折旧(万元),6160077,--,5951459,--,5673232,--,5415249,--,5161593,--,5018323,--,4788017,--,4596322,--,4402696,--,4207108,--,4061207,3972410,3780431,3422905,--,
固定资产净值(万元),5289981,--,5540499,--,5767239,--,5407995,--,5461594,--,5445700,--,5674328,--,4660818,--,4921211,--,3856870,--,4168866,4110841,4260119,4452094,--,
固定资产减值准备(万元),10286,--,3277,--,3804,--,3995,--,4098,--,4256,--,4277,--,4674,--,4674,--,10010,--,10010,30413,30413,5380,--,
固定资产(万元),5279694,5405270,5537222,5627511,5763436,5347422,5404000,5340581,5457496,5310621,5441444,5550855,5670051,5029462,4656144,4775951,4916537,4941070,3846860,3894275,4158857,4080428,4229706,4446714,4547055,
在建工程(万元),167558,172074,135982,102494,84543,142061,139349,281165,261837,341938,203286,161011,138688,588450,848067,733161,614656,363186,1069097,894350,828143,552436,394120,101378,314021,
工程物资(万元),67,--,2247,1037,964,3753,9923,5577,2984,6690,32023,2789,3306,3029,21977,402,315,5625,107758,21964,87407,1301,1631,740,2914,
固定资产清理(万元),10720,--,941,360,147,20406,23377,11923,15431,892,323,464,452,865,2169,5081,5081,10344,8165,5242,5177,--,17,2141,1918,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
