报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
货币资金(万元),49338200,53423700,55431100,51341500,61641900,56992100,60662300,59910100,59752900,56120100,56964400,59528900,58434200,61695300,62103500,60339100,65478500,59059300,59397100,55327100,51723900,51573800,48371000,46236400,47141500,43198600,41764600,40783000,40830400,38605200,34869800,32352000,29495500,26270000,25313400,22390000,21616700,22553000,20566300,18843600,18160100,21042400,19676700,14609300,15264700,11444800,14048900,8160300,8699400,9582049,8983044,7796351,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,0,0,0,--,0,0,--,--,0,0,--,
拆出资金(万元),31341100,24075200,21194500,15075000,15462800,14931400,16684100,17610400,20025100,18879700,21122900,15211700,18569300,16441300,12057500,17466600,12408500,18821000,18341400,13953400,14804700,10389500,9694700,10739100,10342000,12041200,12126400,12750000,13138100,8153700,5935500,5670900,5891700,6499800,6399900,5892600,6239700,6538500,6986800,8074000,8183600,8954000,3345600,3852700,4294100,3914400,3548200,2768100,4917300,3304597,2113340,2446555,
交易性金融资产(万元),33030200,17416000,19085000,25501900,6479600,5587600,5295600,5670200,5597200,6014100,5285200,5651000,5908100,4819000,5210100,4000500,4019000,4088000,3893200,3486400,2322300,2091800,2261300,2393500,2548900,2275200,1922700,1306600,1553000,1655100,2002500,1947900,1522900,1947000,1763600,1954800,1585600,1737800,1873900,1679300,1541200,1900500,1325200,1448000,1083800,1353700,958800,1044600,796000,0,0,1053980,
衍生金融资产(万元),3422000,3309600,2476400,2605500,1891600,1387000,1148100,597900,868800,760500,1805100,1340800,1017600,1095700,742800,940300,931500,896300,728300,636200,592500,503900,489000,280200,197500,258000,194800,132600,188700,203600,154100,177300,173800,201200,159200,120400,99900,152300,96500,212700,228700,0,0,0,--,0,0,--,--,0,0,7795,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,0,0,0,--,0,0,--,--,0,0,--,
应收账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,0,0,0,--,0,0,--,--,0,0,--,
预付款项(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,0,0,0,--,0,0,--,--,0,0,--,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,--,0,0,0,--,0,0,--,--,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,--,0,0,0,--,0,0,--,--,0,0,--,
