报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),30578,43790,47714,50724,55733,53391,33854,42307,48247,39007,40933,36875,34070,26254,31102,33225,28904,17595,21280,27035,24592,21698,34270,23896,52044,76991,31310,36329,44684,30866,30090,20743,23611,15249,24458,19429,18860,11225,15480,11495,24362,12787,13981,19491,8454,5793,10001,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),12741,15955,16897,16711,14464,14925,16884,13992,16111,14284,14534,15773,12727,21972,20088,17305,19070,23902,18231,12483,7993,7307,17447,17746,13662,8649,14562,17088,17351,13723,13118,14144,16377,11159,11901,12226,10552,8350,8643,7467,7883,4043,6478,4587,2645,677,3566,
应收账款(万元),34854,43290,28957,36006,34188,40969,32166,47421,42635,50645,38862,44947,41383,40379,37511,40689,37370,39664,41077,34440,34337,34489,25649,32773,26772,26262,19710,27547,21795,36713,17124,22406,22181,24158,14787,18354,18089,23385,13299,20536,22899,24098,11443,18757,17526,23515,15019,
预付款项(万元),12772,10101,5041,7760,6454,6550,5325,16197,8809,8714,4186,11655,14281,13776,14411,13357,13275,17047,7878,33173,29158,27484,21368,31265,32388,18393,14542,16458,15854,6727,10861,10998,7438,9199,2170,7977,4158,6164,1722,7772,4112,6359,5234,6909,6958,4144,7379,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),1836,2075,2145,1879,1824,2115,2500,2434,1951,1598,1329,1482,2509,2548,2700,2054,1841,1815,1314,1976,2005,1951,1453,2556,2276,1644,1602,5536,5332,4840,556,746,777,886,215,360,1127,155,175,1530,1411,1510,1690,1833,1785,1924,2500,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
存货(万元),43022,28540,29148,31000,32855,31167,32759,34228,32116,35670,35249,32847,30366,31997,29541,29225,28304,30698,31229,45883,45278,46080,36592,36581,35219,35281,31141,37142,30009,18952,19736,24273,22038,21883,22891,22915,20712,24326,21749,19557,17660,20710,22685,21288,17610,17172,15010,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),540,327,14454,182,232,30,23995,160,225,44,12109,174,2487,44,117,--,--,--,--,--,--,--,--,--,--,--,--,1,3,6,--,1,4,6,0,1,4,6,--,1,4,7,--,266,304,16,--,
流动资产合计(万元),136344,144078,144356,144262,145749,149146,147483,156738,150093,149962,147202,143752,137823,136970,135470,135856,128763,130722,121009,154991,143364,139008,136778,144816,162361,167220,112867,140100,135031,111827,91486,93312,92425,82540,76422,81262,73502,73611,61069,68357,78332,69515,61511,73132,55282,53240,53474,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),274413,--,260274,--,240301,--,253162,--,247082,--,244946,--,242600,--,242397,--,233730,--,234440,--,233685,--,233724,--,204239,--,179179,--,140139,--,140086,--,139266,--,134567,--,134585,--,134586,--,132697,--,132348,--,126467,--,125651,
累计折旧(万元),181798,--,173078,--,158893,--,162258,--,158266,--,150937,--,141949,--,132965,--,124359,--,116718,--,108439,--,99126,--,90933,--,83388,--,77078,--,70991,--,64833,--,58890,--,52852,--,46844,--,40842,--,34698,--,30107,--,25689,
固定资产净值(万元),92615,--,87196,--,81408,--,90904,--,88816,--,94009,--,100651,--,109432,--,109371,--,117722,--,125245,--,134597,--,113306,--,95791,--,63062,--,69095,--,74433,--,75677,--,81733,--,87742,--,91855,--,97650,--,96361,--,99962,
固定资产减值准备(万元),375,--,375,--,375,--,430,--,--,--,430,--,430,--,430,--,430,--,430,--,430,--,430,--,430,--,430,--,430,--,430,--,430,--,430,--,430,--,430,--,430,--,430,--,430,--,993,
固定资产(万元),92240,83719,86821,78098,81033,87341,90474,86620,88386,89622,93579,96300,100221,104522,109002,104839,108942,113114,117293,118584,124815,129487,134168,114062,112877,91536,95361,92381,62632,65661,68665,71023,74003,76830,75247,78296,81303,84263,87312,88382,91426,94289,97220,93178,95931,98728,98969,
在建工程(万元),5036,9602,7060,12054,5250,2363,1881,2543,1658,329,121,1751,1771,1152,519,6348,4491,2168,1099,1896,1040,468,64,13505,10379,25566,20766,10041,34951,30465,25384,15780,5338,3868,7874,6685,677,592,81,674,350,31,--,6679,3185,2180,4159,
工程物资(万元),1307,1241,1209,94,195,51,55,122,46,35,34,37,66,84,97,176,146,232,206,69,91,104,94,526,426,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),4,--,--,1542,3236,0,--,8,14,6,--,58,--,58,--,51,51,3,--,1686,--,--,--,--,--,--,--,--,--,--,--,242,242,595,0,--,0,--,--,-2,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),29219,29436,29697,29420,29600,29847,30033,22564,22760,22942,23133,23048,23302,23478,23664,24966,25001,25084,25273,4734,4711,4868,4859,3349,3235,3265,3288,3259,3301,3388,3355,3370,2980,1615,1630,1635,1647,1659,1671,341,346,351,367,--,--,--,--,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,5,10,15,20,25,30,35,42,45,51,56,61,66,71,76,81,86,91,96,101,106,111,116,121,126,131,136,142,148,153,158,163,169,174,179,187,192,197,199,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
