报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),599112,627554,474377,587421,678597,703867,393630,534681,516965,522854,518881,507317,218414,222253,169924,349109,176987,190158,163672,200428,180233,180975,180427,147993,156885,106592,92909,64955,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),8529,3384,1166,3622,5044,3324,1469,4014,4751,2788,3243,4563,5721,4812,4167,5990,5530,2563,2544,3271,3708,4689,1875,2122,2408,3007,1430,630,
应收账款(万元),59024,71784,72612,67110,69960,51372,53352,50015,37304,28267,46252,40037,23590,21005,44157,36626,26617,17964,27826,22712,27458,13315,16672,21634,15150,5119,6098,5991,
预付款项(万元),20049,15977,15529,15291,24424,12981,14417,8230,12378,9909,23106,23156,28068,23171,32703,24437,26036,25078,32265,28574,26229,38729,36997,30603,33635,38296,5024,24256,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,174,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6,--,--,--,--,--,--,--,--,
应收股利(万元),148,148,--,--,--,--,1223,1223,--,--,1303,1303,--,--,960,960,--,--,--,--,--,--,--,--,--,720,350,--,
其他应收款(万元),15141,17567,18028,15946,23555,23369,5837,4730,3588,4253,4604,4639,4783,4755,7652,5501,9603,5027,3679,2526,5412,1375,3523,4820,2895,9025,19906,14184,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7682,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
