报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2009-06-30,2008-12-31,2008-06-30,2007-12-31,2007-06-30,
货币资金(万元),9634854,9618610,8623180,9692775,10201304,10437094,12082936,11296423,13435372,16088630,16247321,20385098,28165751,13106299,10512712,4977223,4003979,4297634,3969324,4421881,4925500,5604764,6081831,7491941,8765269,5341342,5160259,4730085,7675926,6939790,
结算备付金(万元),1435761,1458652,1138797,1090830,1026740,1401752,1527202,1291414,1469341,1429089,1665716,1871433,2072759,1269490,1128499,464435,483820,368903,434298,345100,292126,264266,1822094,367710,381443,256724,381239,4510567,485453,676800,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),11608937,10162266,9850212,8554764,8382479,7554537,7672324,7676181,8929004,8638581,9101216,8884791,6731844,5474094,5671023,4183315,4228373,2661395,3031446,2240293,1956805,1622783,937501,683566,803373,574330,848386,361610,549260,--,
衍生金融资产(万元),31434,37480,31523,18142,13574,34443,17542,15790,15199,12553,18244,2055,308,2355,139,--,--,--,20,64,--,--,--,--,690,--,--,242,7941,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收账款(万元),720991,774451,718456,295737,578247,477216,350600,354232,226977,218667,197790,192566,264810,543985,169420,425384,83855,--,65450,--,31709,--,--,--,--,--,--,--,--,85093,
预付款项(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),210307,188105,190747,187031,176461,170146,165811,164536,177549,190816,211656,180784,188201,170528,157090,107101,149053,52033,54165,33141,45399,22418,19183,16427,9473,5143,6640,4691,4963,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
