报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),330085,345262,478594,393360,355688,396383,403480,429404,388456,522404,441470,433085,375848,430829,449482,435459,447325,475342,422664,475595,472263,427571,450023,179377,166992,108242,61862,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,19,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),54254,54215,40501,28865,23555,14169,20887,14624,16042,16479,13856,11307,7259,41751,18744,13982,18554,23534,34760,23852,32796,29393,34912,48559,44167,35540,28157,
应收账款(万元),235688,246772,260080,274735,289084,276587,280485,294193,294272,243292,254865,258058,267897,266961,291688,276347,239342,256114,235198,248888,248767,238351,215622,192559,192589,117348,79536,
预付款项(万元),31080,24480,46412,32749,40489,31552,66827,69917,70271,57980,65329,63991,54072,53058,92992,68468,66541,42193,64003,56795,62730,58760,81825,84818,75890,63347,87973,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),7421,6827,9233,5162,7643,5050,6152,4264,4931,2879,8189,7249,7576,3451,6709,6859,7572,5415,5461,5464,5044,4191,1895,934,--,1227,773,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),11445,7602,12055,11151,7236,4697,11080,9783,8490,8119,9385,15235,19243,6434,16551,16946,16834,11373,29224,29394,30026,21191,9887,14946,16743,16315,208566,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),404572,392959,396077,393819,387140,378424,452554,458441,461334,451231,490388,475994,432592,412858,362399,358923,311174,275408,308320,294022,252223,218780,258452,262997,224883,168275,198149,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,60000,60000,40000,40000,39700,49800,49800,30000,20000,30000,30000,20000,16875,223114,--,
其他流动资产(万元),10608,20104,3131,5648,3948,10286,4472,3437,2903,2733,15426,8152,38251,42069,--,--,--,--,--,--,--,--,--,--,--,--,6,
流动资产合计(万元),1085155,1098221,1246082,1145490,1114783,1117148,1245936,1284064,1246698,1305117,1298909,1273070,1262739,1317428,1278565,1216984,1147042,1139180,1149431,1164010,1123850,1028236,1082616,804190,738139,733407,665022,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),127261,153185,153839,155262,165112,149121,127886,149316,160224,125539,135917,139916,15,17,18,19,20,19,19,19,19,19,19,18,19,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,50000,40000,50000,40000,40000,39900,39900,40000,40000,10000,--,30000,105500,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),12588,12511,12741,12602,12501,12401,12533,12485,12386,7319,7209,--,--,--,--,--,--,--,--,--,--,--,375,375,375,375,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,787447,--,764839,--,767696,--,752397,--,719503,--,700606,--,677436,--,674425,--,664463,--,613463,--,610957,--,578030,568187,473181,401436,
累计折旧(万元),--,414183,--,390266,--,390637,--,378634,--,362945,--,345157,--,323617,--,301601,--,278542,--,256665,--,235365,--,216480,196510,160241,140177,
固定资产净值(万元),--,373264,--,374573,--,377059,--,373763,--,356559,--,355449,--,353819,--,372823,--,385921,--,356798,--,375592,--,361550,371676,312940,261258,
固定资产减值准备(万元),--,1,--,--,--,237,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),371960,373264,375913,374573,375583,376822,373147,373763,368178,356559,348503,355449,355790,353819,362794,372823,377043,385921,370924,356798,365790,375592,357456,361550,371676,312940,261258,
在建工程(万元),139729,140159,129747,133849,137621,130802,134421,112506,113338,106110,63981,63151,61129,71513,67978,64095,57232,50793,62312,77245,66021,60271,56787,53618,42739,74284,61483,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,1,1,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),105647,106689,106439,106952,106909,103868,104885,105401,106122,95429,96040,96144,96551,98537,99628,101312,102073,102640,101827,102032,102625,103740,104121,104166,105811,89739,92232,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),68720,68720,68720,68720,68720,68720,71808,71808,70001,25238,25238,25238,25238,25238,25238,25238,25238,25238,25238,25238,25238,25238,25238,25391,25391,--,--,
长期待摊费用(万元),1064,1099,--,--,--,--,--,--,--,--,907,639,741,857,948,1083,1166,1221,1213,1206,1197,1319,1244,1217,1041,1102,1051,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
