报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),545416,483135,507152,658861,268648,215360,392571,354529,254680,364176,544680,412063,290837,339426,649948,729170,678241,699052,836075,736415,674173,633698,680656,642759,621026,710709,812970,390536,293589,309462,259179,209246,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
交易性金融资产(万元),27326,31799,--,40000,--,--,--,--,49600,--,89700,130900,--,21,1433,--,--,427,854,1627,2259,1165,44,--,118,118,5,5,1,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收票据(万元),--,4907511,2618819,1564415,3466398,3978625,2717631,2458685,2757429,2816175,1923459,1819001,2292003,2335237,1608857,1336296,1618839,1754826,1516242,1365810,1459555,1479089,1200232,1069619,983314,870298,763723,894188,936793,772610,323773,95810,
应收账款(万元),89393,87344,80814,192347,60517,51798,72169,74688,63938,67592,92511,63403,72814,73011,89937,83571,70083,65631,52303,67208,66142,69149,62826,62241,61593,67937,63085,38002,27581,32700,14783,25194,
预付款项(万元),46731,57954,94302,84805,116296,105718,131978,125469,98348,88072,70017,63922,71378,72333,75591,58289,38285,44607,53971,37872,40996,39155,47086,36629,49536,36060,66341,40358,41664,35483,42888,39705,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
