报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),556776,622171,568815,612350,587273,655916,665416,794216,396254,605935,376508,435402,451421,571550,527760,303745,405617,443467,345202,322105,364037,440013,334680,391480,346452,453941,377169,383767,383398,480336,467725,515831,528177,571413,509708,145659,180517,142246,95842,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8,8,8,8,8,9,9,8,10,8,8,10,6,10,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收票据(万元),20965,24936,31224,31767,30017,34692,23642,30880,102290,72626,31786,36597,36528,45637,28971,27093,24792,47251,22268,28489,28826,53137,18898,28455,21046,32621,29328,38789,27524,26087,25279,18611,17281,12362,7733,11319,6871,5489,6875,
应收账款(万元),341615,375426,342929,330980,353541,360364,298507,285222,175919,131084,280464,265241,201157,142210,277270,185929,187462,164128,192365,179418,161762,109626,245886,195724,166853,124650,169137,147200,106128,87387,60647,63153,68227,43488,100353,102238,49525,44630,62846,
预付款项(万元),88114,73172,128562,100392,86062,78140,103662,113430,128188,95504,100882,112212,135194,85638,123415,148288,146987,98124,172357,162462,210677,156615,197055,207685,201474,156509,109210,142783,141163,71574,128752,86654,96149,60167,69080,64031,43017,36964,19042,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收利息(万元),2564,8187,7371,5844,5942,4836,3805,1594,282,1897,2791,1866,2351,1865,273,485,44,98,473,1249,897,1521,2369,1395,1951,1810,2264,2340,1137,2117,1618,2605,2375,743,1296,224,142,257,0,
应收股利(万元),--,--,--,417,--,--,--,384,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,51,--,--,--,32,--,--,--,0,0,0,211,
其他应收款(万元),--,196407,--,175361,167443,188257,236822,193410,176314,212031,83489,81571,106372,91807,78334,92577,82703,89428,54496,50788,48196,45193,61689,64338,50140,45837,36143,47802,30483,25090,34105,35366,32984,18726,36542,33384,17703,17963,23973,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
存货(万元),597362,519945,568969,576911,518339,486794,399889,396069,383058,315783,433324,441265,399920,390874,422424,372106,373875,361709,375338,329582,302856,315442,354916,318908,315291,320111,348089,338053,332348,345260,270577,286748,221320,290269,275279,281062,275469,308125,246799,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,208,206,203,201,--,--,--,--,8984,9319,9311,9311,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他流动资产(万元),15939,17996,14458,13262,12079,15651,14924,12513,8688,11821,11922,7567,8205,13883,7277,9244,7372,8549,8623,39280,38383,40515,111,20111,25111,111,33683,43683,43683,3083,83,83,83,83,83,97,83,83,135,
流动资产合计(万元),1823725,1838239,1845845,1847284,1760697,1824649,1746668,1827719,1370993,1446682,1321166,1381722,1341149,1343464,1465934,1139673,1229055,1212956,1171122,1113373,1155634,1162062,1224589,1237414,1137628,1144910,1105030,1144475,1065872,1040941,988795,1009091,966603,997262,1000082,638022,573335,555762,455732,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
可供出售金融资产(万元),30955,17585,14228,14099,14733,14738,13933,13912,14056,13360,12727,12845,12975,14211,16478,16825,14163,14721,11078,5607,5461,5555,6194,5883,7106,7106,6533,6533,6476,6476,7232,7232,7198,7189,7789,7789,11132,5627,12912,
持有至到期投资(万元),520,514,508,503,520,514,508,503,520,514,508,503,514,514,503,497,517,514,715,706,721,716,717,709,716,716,1042,1031,1043,2081,2067,2320,2938,2460,2444,1855,2605,3587,4979,
长期应收款(万元),20000,20000,20000,20000,20000,20000,20600,20600,95070,114911,154411,156188,156188,156188,154777,154777,42731,42731,6000,6000,6000,6000,6000,6000,6000,6000,14983,14983,15417,20156,25955,26005,25760,25960,25960,24960,27760,30108,20826,
长期股权投资(万元),9836,9950,5306,6246,6499,6501,2115,2139,641,1011,627,633,610,610,634,773,634,634,525,5398,5135,5135,4873,4873,4873,4873,4873,4873,4873,4873,4873,4873,4873,4873,4876,4877,4877,2901,3033,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
