报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),1262148,775391,599639,613787,838498,561250,520944,572584,728210,923934,375126,372151,324664,347353,328400,388403,278254,294604,460659,384192,286401,259454,221097,362388,285955,231180,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),423,443,--,90,90,240,305,220,500,610,200,3897,2870,1632,1591,1073,14,44,61,170,--,300,772,793,--,--,
应收账款(万元),110129,98107,92605,79981,104087,97529,96070,92148,93751,83030,86349,57375,69586,62402,50667,33679,9099,7404,10757,6388,15392,16055,20151,48605,6733,4792,
预付款项(万元),30379,28643,20365,16484,18020,14725,13197,9288,17471,12062,18007,17259,24003,19194,15417,17794,29232,26027,30708,17631,27745,29039,71802,12258,10456,21452,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,22,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),124495,70956,83868,97868,78051,59699,62043,50705,82422,54689,54669,42349,53815,42123,43826,34556,47505,47503,66102,121025,166997,109335,82447,87925,175320,105868,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),10469,6260,4202,4542,7903,4526,4560,3511,4910,4318,3469,3849,5324,3482,6693,5716,2259,1754,1070,894,598,596,534,450,177429,3957,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),5500,4500,4500,4500,--,--,--,7000,--,--,--,7000,--,--,--,--,--,--,--,--,40546,103967,--,--,--,--,
其他流动资产(万元),59000,93227,71958,62356,32341,29840,28191,52291,20293,21540,22560,9286,7000,20086,9898,10232,35637,31612,48631,31568,959,--,--,--,10417,--,
流动资产合计(万元),1602542,1077527,877137,879608,1082678,767809,725310,787747,947556,1100184,560381,513167,487262,496271,456514,491453,401999,408948,617988,561868,538638,518745,396804,512419,666309,367250,
发放贷款及垫款(万元),--,--,--,--,3688,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),268116,283186,222601,54440,56705,54705,43155,40293,25805,19231,19231,19231,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
