报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),83990,198062,108374,146496,225013,173313,225189,189751,113178,180764,141043,138837,139523,145007,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),1566,1423,1300,835,1647,1635,1380,1422,6,144,873,2251,3674,108,
应收账款(万元),116450,57549,90853,82748,102163,59157,117531,73641,115252,69663,66258,67770,45535,44111,
预付款项(万元),11014,11407,7890,11286,90117,92810,8448,7256,12392,10729,8921,12322,7189,4009,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,419,--,229,356,429,0,83,82,--,49,41,28,9,
应收股利(万元),3,3,3,3,--,611,--,--,--,--,--,--,--,--,
其他应收款(万元),8612,8111,9504,6417,9273,7161,38401,6950,7667,7650,7318,8300,8573,7688,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),107145,80899,85926,93801,88990,76062,72863,73998,81302,65912,68197,68770,58998,53800,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),186694,108639,144706,112368,95143,138332,98831,93592,147417,104365,94188,47501,14278,31501,
流动资产合计(万元),515475,466512,448556,454182,612701,549509,562642,446692,477298,439226,386848,345791,277799,286233,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),12514,12514,12484,12484,12484,12469,12469,12469,12434,8129,8129,8129,406,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),1013,1017,1683,1623,1311,1333,1145,1161,1213,1230,1094,1315,1195,1777,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),41205,41229,40228,40513,41090,41387,41683,41912,42198,42507,43102,7710,5232,5455,
固定资产原值(万元),--,111564,--,105644,--,104771,--,108992,107525,107035,106465,--,--,--,
累计折旧(万元),--,51099,--,49125,--,47327,--,45534,44102,42918,40713,--,--,--,
固定资产净值(万元),--,60465,--,56520,--,57444,--,63457,63423,64116,65752,--,--,--,
