报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),531004,473252,575531,463323,562802,460779,577838,505824,751414,809748,1136930,510847,529787,429357,649168,655962,800544,209270,198541,196383,215484,189647,210897,163850,148370,139860,206167,211151,231044,201906,205534,169696,214588,263858,49896,53461,47628,18366,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
交易性金融资产(万元),201089,315711,195338,74383,98950,187044,104000,6051,95259,144077,6706,6647,6529,8157,6216,10163,7752,5929,113440,98295,77643,25931,2054,1743,1882,1946,2141,2821,--,--,--,--,--,--,0,0,0,121,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,120,148,94,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20,0,0,0,0,
应收账款(万元),210082,208505,119281,77202,78249,98004,86708,64442,63028,48690,21375,15701,11621,10155,10460,7558,10368,11125,7637,8593,10611,9801,20962,16079,16962,17767,9616,12439,13134,10958,12916,6656,6219,4829,3934,5971,2860,2185,
预付款项(万元),276512,210501,251511,221801,227123,190423,144686,168077,151332,144300,137932,136618,128659,106304,143976,121397,112255,130238,114263,102618,113535,92565,95904,88411,67715,76159,80776,85781,83179,64941,53122,46841,41185,39851,37926,37954,21665,6360,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收利息(万元),3561,10968,3448,3035,1907,2048,3965,3645,3218,274,3608,2066,2727,1310,2628,--,--,--,--,--,--,--,--,35,21,40,60,124,82,455,--,--,--,--,0,0,0,0,
应收股利(万元),--,--,--,157,--,--,--,--,--,--,--,--,--,--,--,--,1090,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他应收款(万元),--,72485,--,81412,85112,81206,116947,106650,108848,122102,94570,86111,74156,76735,72066,109573,80308,77980,61357,89193,98953,86355,84219,76645,87856,99917,93409,94887,99967,80692,70877,62040,43053,21981,19065,23493,19542,12317,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
