报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),268732,240631,288751,231358,222312,110795,150737,58834,61037,80818,77300,95451,136754,157434,10360,26497,58681,76059,157455,119787,75687,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),31677,39189,--,29055,--,--,--,--,--,--,24429,18573,--,--,--,--,--,--,7,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),48256,40541,28813,24284,33908,32097,25671,22643,19775,25162,20140,7139,50342,24880,24757,16599,78236,69017,81593,48015,48783,
应收账款(万元),19815,27568,12032,22949,21409,16925,32271,42126,54902,56235,40340,45609,55684,56773,45994,43516,30819,18623,18007,21128,8187,
预付款项(万元),6779,10597,10970,9541,7034,9912,1542,1184,1993,1022,2419,882,1367,2274,1758,3202,2159,1446,3849,4356,3403,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,509,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,144,--,210,--,96,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),6824,9894,19792,16837,18423,16318,4196,13223,3839,5160,5665,5868,3555,6934,7858,8285,3485,6398,2628,3237,2850,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),22604,30966,47023,46706,34773,35472,35145,35364,42282,36631,73242,69631,65955,64284,62640,60445,48502,53865,21265,22250,19467,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,3238,7121,3164,3127,3238,3201,3164,3127,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),44752,47104,23714,38051,27921,23005,26054,25438,28321,28942,49682,30314,21497,27280,9224,--,--,--,2400,--,--,
流动资产合计(万元),449439,446491,434333,425902,368945,247796,278854,202223,215315,237195,293217,273977,335155,339858,162591,158543,221883,225407,287203,218773,158377,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),1682,1782,8904,8931,32369,29939,29715,31619,27040,28663,2295,2295,295,295,295,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,3091,3056,3020,2986,--,--,--,--,--,--,--,--,--,--,--,
