报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,
货币资金(万元),227375400,230302000,235108400,259571700,254045700,234918800,232950500,236212400,224658400,226943400,227890600,224875200,253039400,239121100,256056600,238765100,233679200,211434000,209420400,202732800,197262900,200677200,210397800,224853100,243812700,198148400,210607300,189164000,201444300,162314400,136735600,127199900,129963300,108603700,101979800,100519700,120272000,109747100,96135000,82109500,93333000,82256500,53717500,52555100,44652800,41944300,37817000,37046200,34558500,31294000,29290700,21423400,15527700,16334700,16246500,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
拆出资金(万元),59371300,48655900,53800500,50199600,50732800,48392900,44872500,42486100,39056400,35021800,47792500,40032300,34710000,29911100,25540900,29182600,42641800,40200100,44568600,47323900,36055100,34925100,26701900,36081400,47057700,45466800,30207900,27161700,21849500,13698400,12131400,13341900,11322800,13893300,36689300,42557700,43607500,38574800,25417400,23702300,37194100,38664800,45922800,43861400,39619200,39913800,--,30011400,34453700,34019200,43350000,--,--,0,--,
交易性金融资产(万元),31201200,19361100,16389100,16288000,13841100,12409000,13358800,14578200,12247600,11906200,12116500,11953100,11123700,10452800,9292400,8724000,8769100,7520000,7449700,7231700,8083400,7159000,9067000,7689100,6980400,7380700,6799200,7156400,6941700,8123700,8384500,8179300,7043300,6189700,5968600,6100900,8585800,8781400,8059600,9085700,10832500,12466500,15018600,15385400,13084100,11582800,10270400,11060200,10727100,9101200,11455700,--,--,66205600,40845300,
衍生金融资产(万元),13836000,9491200,9175500,7364300,8406500,13054900,6361400,9103700,6951400,8223600,6037100,5561800,6001700,4796700,4224200,4297600,4190700,4082300,4375500,4780500,3811500,4018800,4064500,4069000,3803500,4275700,4809200,4601700,4170200,3997400,4225900,3531300,2824700,2851400,2788200,3764300,7004300,7612400,7770800,7299600,7188500,4583900,3515600,3352300,2613900,2483700,2169500,2154000,1680800,1607600,1316200,--,--,0,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
应收账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,7969800,8492200,
预付款项(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
应收利息(万元),10787400,9691900,8968900,8619200,9070200,7983600,7757400,7742500,8483400,7735400,8202600,8150100,8192900,7681400,7888200,7797200,7288300,6282000,6263000,6035700,6005600,5418800,6231800,6288700,6256500,5481700,5186500,4896300,4609800,4202500,4097800,3932900,3908300,3439000,3499300,3322500,3582600,3469000,3547200,3551700,0,--,0,0,0,--,2543000,2318700,2040800,1510100,1938700,2969300,4088000,0,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
其他应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,3329200,0,--,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,--,--,0,--,--,0,--,
